;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL22;not TrgSect1.allInstances() -> asSequence() -> select(s | s.title = 'Journals List') -> first().paras -> exists(p1,p2 | p1<>p2 and p1.content=p2.content)

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;3.0;40.0;3.0;97.0;43.0;57.0;-0.060445387062566275;0.0;0.4;0.0;0.0;-0.12472647702407003;0.0;0.0;0.0;-0.20247805496583463;-0.06818181818181818;0.0;0.0;0.03653846153846154;0.0;0.25;0.0;0.0;
TitledEntry_Title_NoArticle;;;;;;;;;;X;;X;X;X;X;;;X;X;X;;;X;X;;X;;;;X;X;;;;X;X;X;;X;;;;X;X;;X;;X;X;X;;;;;;X;;X;X;X;;;X;;X;;;;X;;;;X;X;;X;;;;X;;X;;;;;X;X;;;X;;;X;;X;;X;;X;0.0;57.0;42.0;1.0;42.0;58.0;43.0;57.0;-0.9366197183098591;0.0;0.01;0.0;0.0;-0.9797421731123389;0.0;0.0;0.0;-0.9797467882293412;-0.9545454545454546;0.0;0.0;15.346153846153847;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;4.0;39.0;4.0;96.0;43.0;57.0;-0.08079376328844791;0.0;0.39;0.0;0.0;-0.16084656084656085;0.0;0.0;0.0;-0.23501608059776438;-0.09090909090909091;0.0;0.0;0.04954367666232073;0.0;0.2422360248447205;0.0;0.0;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;57.0;0.0;29.0;14.0;86.0;14.0;43.0;57.0;0.35498220640569395;0.6627906976744186;0.71;0.8313953488372092;0.6627906976744187;0.43666210670314637;0.06896551724137931;0.6627906976744186;0.8141195843820603;0.46453451989391115;56.34090909090909;0.57;0.7461682206313854;0.0;0.46450747982384516;0.5503875968992248;112.03448275862068;0.5972222222222223;
Author;;;;;;;;;;X;;X;;X;X;;;X;X;X;;;X;X;;X;;;;X;X;;;;X;X;X;;X;;;;X;X;;X;X;X;X;X;;;;;;X;;X;X;X;;;X;;X;;;;X;;;;X;X;;X;;;;X;;X;;;;;X;X;;;X;;;X;;X;;X;;X;0.0;57.0;42.0;1.0;42.0;58.0;43.0;57.0;-0.9366197183098591;0.0;0.01;0.0;0.0;-0.9797421731123389;0.0;0.0;0.0;-0.9797467882293412;-0.9545454545454546;0.0;0.0;15.346153846153847;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;57.0;1.0;42.0;1.0;99.0;43.0;57.0;-0.020049243756595145;0.0;0.42;0.0;0.0;-0.04470588235294118;0.0;0.0;0.0;-0.11571391905959139;-0.022727272727272728;0.0;0.0;0.011801242236024845;0.0;0.26582278481012656;0.0;0.0;
UntitledEntry;;;;;;;;;;X;;X;;;;;;X;;X;;;X;;;;;;;X;;;;;X;X;X;;X;;;;;;;X;X;;X;;;;;;;X;;X;;;;;;;X;;;;X;;;;X;X;;X;;;;X;;;;;;;X;X;;;X;;;X;;;;X;;X;0.0;57.0;27.0;16.0;27.0;73.0;43.0;57.0;-0.5783540022547914;0.0;0.16;0.0;0.0;-0.6960651289009498;0.0;0.0;0.0;-0.7002024919882506;-0.6136363636363636;0.0;0.0;0.6821808510638298;0.0;0.08695652173913043;0.0;0.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;57.0;0.0;43.0;0.0;100.0;0.0;43.0;57.0;0.0;0.57;0.57;0.7849999999999999;0.5700000000000001;0.0;0.046511627906976744;0.57;0.754983443527075;0.0;56.02272727272727;0.57;0.57;0.0;0.0;0.3986013986013986;75.55813953488372;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;X;;X;;X;X;;;X;X;X;;;X;X;;X;;;;;X;;;;X;X;X;;X;;;;;X;;X;;X;X;X;;;;;;;;X;X;X;;;;;X;;;;X;;;;X;X;;X;;;;X;;X;;;;;X;X;;;X;;;X;;X;;;;X;0.0;57.0;36.0;7.0;36.0;64.0;43.0;57.0;-0.789838337182448;0.0;0.07;0.0;0.0;-0.8630914826498423;0.0;0.0;0.0;-0.8635042182199928;-0.8181818181818182;0.0;0.0;1.9542857142857142;0.0;0.03626943005181347;0.0;0.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Pass;Fail;Pass;
