;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL5;SrcBooklet.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['.concat(b.id).concat('] Booklet ').concat(b.year) and p.section.title = 'References List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;;;;X;;;X;;;X;;;;;;;;;;;X;;;;X;;X;X;;;;;;;;;;;;X;;;;X;;;;;;X;;X;;;;X;;;;X;X;;;;X;;;;;X;;;;;;;;;;X;;;X;;X;;;;;;;;;X;;;;X;;0.0;39.0;22.0;39.0;22.0;78.0;61.0;39.0;-0.3914233576642336;0.0;0.39;0.0;0.0;-0.41904761904761906;0.0;0.0;0.0;-0.4246502900652006;-0.3548387096774194;0.0;0.0;0.22;0.0;0.2422360248447205;0.0;0.0;
TitledEntry_Title_NoArticle;X;;X;X;X;X;;X;;X;X;;X;X;X;;;X;X;X;;X;X;X;;X;;X;X;X;X;;;X;X;X;;;;;X;X;X;X;X;;;X;;X;X;X;X;;;;X;;X;X;X;X;X;X;;X;X;;;;X;X;X;;X;X;;;;X;X;X;;X;X;X;X;;;X;;;;;X;X;;;X;;0.0;39.0;60.0;1.0;60.0;40.0;61.0;39.0;-0.896551724137931;0.0;0.01;0.0;0.0;-0.9792843691148776;0.0;0.0;0.0;-0.9792938238560596;-0.967741935483871;0.0;0.0;16.956521739130434;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_Journal;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;;;;X;;;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;39.0;8.0;53.0;8.0;92.0;61.0;39.0;-0.15309126594700687;0.0;0.53;0.0;0.0;-0.20032102728731943;0.0;0.0;0.0;-0.23578624481307345;-0.12903225806451613;0.0;0.0;0.06845107503290918;0.0;0.36054421768707484;0.0;0.0;
Article_Title_Journal;X;;X;X;X;X;;X;;X;X;;;;X;;;X;;X;;X;;;;X;;X;X;;X;;;X;;;;;;X;X;X;X;X;X;;;;;X;X;X;X;;;;X;;X;X;X;X;;X;;X;X;;;;X;X;X;;X;X;;;;X;X;X;;X;X;X;X;;;X;;;;;X;X;;;X;;0.0;39.0;51.0;10.0;51.0;49.0;61.0;39.0;-0.7921146953405018;0.0;0.1;0.0;0.0;-0.8154981549815498;0.0;0.0;0.0;-0.8157450254033987;-0.8225806451612904;0.0;0.0;1.541860465116279;0.0;0.05263157894736842;0.0;0.0;
Author;X;;X;X;X;X;;X;;X;X;;;X;X;;;X;X;X;;X;X;X;;X;;X;X;X;X;;;X;X;X;;;;X;X;X;X;X;X;;;X;;X;X;X;X;;;;X;;X;X;X;X;X;X;;X;X;;;;X;X;X;;X;X;;;;X;X;X;;X;X;X;X;;;X;;;;;X;X;;;X;;0.0;39.0;60.0;1.0;60.0;40.0;61.0;39.0;-0.896551724137931;0.0;0.01;0.0;0.0;-0.9792843691148776;0.0;0.0;0.0;-0.9792938238560596;-0.967741935483871;0.0;0.0;16.956521739130434;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;X;;;;;;0.0;39.0;8.0;53.0;8.0;92.0;61.0;39.0;-0.15309126594700687;0.0;0.53;0.0;0.0;-0.20032102728731943;0.0;0.0;0.0;-0.23578624481307345;-0.12903225806451613;0.0;0.0;0.06845107503290918;0.0;0.36054421768707484;0.0;0.0;
UntitledEntry;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;X;;X;X;;X;;X;;X;;;X;;X;X;;X;X;X;X;X;;;X;;;;X;X;;X;;;X;;X;X;X;;X;;;;;;;X;;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;;X;;X;X;X;;X;X;X;X;X;;X;X;;X;39.0;0.0;23.0;38.0;62.0;38.0;61.0;39.0;0.5630699088145896;0.6290322580645161;0.77;0.814516129032258;0.6290322580645161;0.6259767687434002;0.08695652173913043;0.6290322580645161;0.793115538912532;0.6259841537622992;38.62903225806452;0.39;0.7711368846428143;0.0;0.6259577138426102;0.6260162601626016;66.1304347826087;0.7261904761904762;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;39.0;0.0;61.0;0.0;100.0;0.0;61.0;39.0;0.0;0.39;0.39;0.6950000000000001;0.39;0.0;0.03278688524590164;0.39;0.6244997998398398;0.0;38.016129032258064;0.39;0.39;0.0;0.0;0.2422360248447205;24.934426229508198;0.5;
TitledEntry_NoTitle_NoArticle;X;;;X;X;X;;X;;X;X;;;X;X;;;X;X;X;;X;X;X;;X;;X;X;;X;;;X;X;X;;;;;X;X;;X;X;;;X;;X;X;X;X;;;;X;;X;X;X;X;;X;;X;X;;;;X;X;X;;;X;;;;X;X;X;;X;X;X;X;;;;;;;;X;X;;;X;;0.0;39.0;53.0;8.0;53.0;47.0;61.0;39.0;-0.8160284247927359;0.0;0.08;0.0;0.0;-0.848870636550308;0.0;0.0;0.0;-0.8490952118333278;-0.8548387096774194;0.0;0.0;1.9723282442748091;0.0;0.041666666666666664;0.0;0.0;
;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;
