;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;X;;;X;;;X;X;;X;X;;;;;;;;;;X;;;X;X;X;X;X;;;X;;;;;X;;;;X;;;;X;;;;;;X;;;X;X;;X;;;;X;X;;;;X;;;;X;X;;;;;;;X;X;;X;;X;X;;X;;;;;;;;;X;;X;;X;;0.0;6.0;35.0;59.0;35.0;65.0;94.0;6.0;-0.11413043478260869;0.0;0.59;0.0;0.0;-0.1479394152870729;0.0;0.0;0.0;-0.1853911687047558;-0.3684210526315789;0.0;0.0;0.07573025604038947;0.0;0.41843971631205673;0.0;0.0;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;0.0;6.0;90.0;4.0;90.0;10.0;94.0;6.0;-0.1267605633802817;0.0;0.04;0.0;0.0;-0.7377049180327869;0.0;0.0;0.0;-0.7579367289598671;-0.9473684210526315;0.0;0.0;1.3235294117647058;0.0;0.02040816326530612;0.0;0.0;
Article_NoTitle_Journal;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;X;X;;;X;;X;;;X;X;;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;0.0;6.0;14.0;80.0;14.0;86.0;94.0;6.0;-0.09170305676855896;0.0;0.8;0.0;0.0;-0.09502262443438914;0.0;0.0;0.0;-0.1019357424863305;-0.14736842105263157;0.0;0.0;0.04038461538461539;0.0;0.6666666666666666;0.0;0.0;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;6.0;0.0;80.0;14.0;86.0;14.0;94.0;6.0;0.02056807051909892;0.06976744186046512;0.2;0.5348837209302325;0.06976744186046513;0.09502262443438914;0.025;0.06976744186046512;0.26413527189768715;0.1019357424863305;5.157894736842105;0.06;0.15935614212157198;0.0;0.10192337387348228;0.1111111111111111;0.45;0.5402298850574713;
Author;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;0.0;6.0;93.0;1.0;93.0;7.0;94.0;6.0;-0.12704918032786885;0.0;0.01;0.0;0.0;-0.9185185185185185;0.0;0.0;0.0;-0.9208823573667934;-0.9789473684210527;0.0;0.0;5.314285714285714;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_NoJournal;;X;;;;;;;X;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;X;;;X;;;;;;0.0;6.0;11.0;83.0;11.0;89.0;94.0;6.0;-0.08418367346938775;0.0;0.83;0.0;0.0;-0.08554763447828904;0.0;0.0;0.0;-0.08882046400846719;-0.11578947368421053;0.0;0.0;0.03457307490832897;0.0;0.7094017094017094;0.0;0.0;
UntitledEntry;X;X;X;X;X;;;;X;X;X;X;;;;X;;X;;X;X;;X;;X;;X;;;X;;X;X;;X;X;X;X;X;;;X;;;;X;X;;X;;;X;;X;X;;;X;;;;;;;X;;;;X;X;;X;X;X;X;X;X;X;X;X;X;;X;;X;;X;X;;;X;X;X;X;X;;X;X;;X;0.0;6.0;57.0;37.0;57.0;43.0;94.0;6.0;-0.12179487179487179;0.0;0.37;0.0;0.0;-0.22686567164179106;0.0;0.0;0.0;-0.2908806944892038;-0.6;0.0;0.0;0.13396004700352526;0.0;0.22699386503067484;0.0;0.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;6.0;0.0;94.0;0.0;100.0;0.0;94.0;6.0;0.0;0.06;0.06;0.53;0.06000000000000005;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;5.010526315789473;0.06;0.06;0.0;0.0;0.030927835051546393;0.3829787234042553;0.5;
TitledEntry_NoTitle_NoArticle;X;X;;X;X;X;;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;X;X;;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;X;X;X;;;X;X;X;X;X;X;X;;X;X;0.0;6.0;83.0;11.0;83.0;17.0;94.0;6.0;-0.12601214574898786;0.0;0.11;0.0;0.0;-0.5043037974683544;0.0;0.0;0.0;-0.5582468534947563;-0.8736842105263158;0.0;0.0;0.47655502392344495;0.0;0.0582010582010582;0.0;0.0;
;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;
