In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.05024509803921569;0.22727272727272727;0.69;0.24521531100478466;0.2272727272727273;0.05038402457757297;0.01584786053882726;1.0503407305329849E-5;0.24455799402225925;0.05045868180472397;4.7926829268292686;0.05;0.4247385844466679;0.10440677966101695;0.19689981276843516;0.5267175572519084;0.8064516129032258;0.5563186813186813
TitledEntry_Title_NoArticle;0.024390243902439025;0.2;0.24;0.6;0.19999999999999996;0.09433962264150944;0.02631578947368421;0.2;0.4472135954999579;0.1111111111111111;18.073170731707318;0.19;0.27444080293454437;0.0;0.11109811717927727;0.13636363636363635;4.75;0.5159235668789809
Article_NoTitle_Journal;0.0704879938032533;0.15789473684210525;0.76;0.21531100478468898;0.2727272727272727;0.07227958697378872;0.018292682926829267;7.030805081865913E-6;0.2075143391598224;0.07413627082151947;2.902439024390244;0.03;0.425818757032882;0.05929919137466307;0.1784013264726081;0.6129032258064516;0.375;0.6151898734177215
Article_Title_Journal;0.18064024390243902;0.2777777777777778;0.57;0.5336257309941521;0.2777777777777778;0.23564504101416853;0.03134796238244514;1.441503776739895E-4;0.46829290579084704;0.2424282553145694;14.524390243902438;0.15;0.4825499027904014;0.10619469026548672;0.32219829082537493;0.3986013986013986;5.232558139534884;0.6211656441717792
Author;0.2803166606693055;0.3220338983050847;0.6;0.6610169491525424;0.3220338983050848;0.393633148054573;0.05;0.3220338983050847;0.5674803065350239;0.4037385450044705;18.51219512195122;0.19;0.5397567945803957;0.0;0.4037176212092228;0.42857142857142855;9.025;0.6694214876033058
Article_NoTitle_NoJournal;0.14794732765298219;0.21052631578947367;0.78;0.28708133971291866;0.36363636363636365;0.1517077045274027;0.026845637583892617;1.5236586090520559E-5;0.27668578554642986;0.15560470029571669;3.9146341463414633;0.04;0.4907955572365147;0.05897069335239457;0.24112690701320547;0.639344262295082;0.7272727272727273;0.7089715536105032
UntitledEntry;0.24975798644724104;0.3333333333333333;0.69;0.48245614035087714;0.33333333333333337;0.2685402029664325;0.03389830508474576;8.568796726719651E-5;0.45883146774112354;0.27402434878983767;11.707317073170731;0.12;0.5517212047197985;0.112;0.36322228952928987;0.5267175572519084;4.645161290322581;0.680672268907563
Main;0.0;0.19;0.19;0.595;0.18999999999999995;0.0;0.024691358024691357;0.19;0.43588989435406733;0.0;18.01219512195122;0.19;0.19;0.0;0.0;0.10497237569060773;4.45679012345679;0.5
TitledEntry_NoTitle_NoArticle;0.3;0.34;0.65;0.6173684210526316;0.33999999999999997;0.37137905422134193;0.04676753782668501;4.372930801774593E-4;0.5515528318445926;0.3823595564509363;16.597560975609756;0.17;0.5655720233029655;0.055248618784530384;0.4159859899228058;0.48148148148148145;8.257142857142858;0.687125748502994
EXAM-BC;1.0;0.8888888888888888;1.0;0.4444444444444444;1.0;1.0;0.7777777777777778;0.3333333333333333;0.6666666666666666;1.0;0.3333333333333333;0.1111111111111111;1.0;0.7777777777777778;1.0;1.0;0.6666666666666666;1.0
EXAM-WC;1.0;0.8888888888888888;1.0;0.4444444444444444;1.0;1.0;0.7777777777777778;0.3333333333333333;0.6666666666666666;1.0;0.3333333333333333;0.3333333333333333;1.0;1.0;1.0;1.0;0.6666666666666666;1.0
EXAM-AVG;1.0;0.8888888888888888;1.0;0.4444444444444444;1.0;1.0;0.7777777777777778;0.3333333333333333;0.6666666666666666;1.0;0.3333333333333333;0.2222222222222222;1.0;0.8888888888888888;1.0;1.0;0.6666666666666666;1.0

OCL7;SrcPhDThesis.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] PhDThesis ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.school and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.3006993006993007;0.45454545454545453;0.76;0.45454545454545453;0.4545454545454546;0.3006993006993007;0.03787878787878788;6.942805171001291E-5;0.45454545454545453;0.3006993006993007;9.848101265822784;0.1;0.5979257334192061;0.10576923076923077;0.3845929724375037;0.6129032258064516;4.166666666666667;0.7471264367816093
