;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL3;SrcAuthor.allInstances()->forAll(au|TrgArticle.allInstances()->exists(a|a.sections_1->at(2).paras->exists(p|p.content=au.author )))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;X;;;X;;;;;;;;;;;X;;;X;X;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;X;;;;;;;X;;;;;;;X;;;X;;;;;;;X;X;;;;;;;;;;;;;;;;X;;X;;X;;16.0;40.0;2.0;42.0;18.0;82.0;44.0;56.0;0.2199108469539376;0.2857142857142857;0.58;0.5873015873015872;0.8888888888888888;0.300507614213198;0.038461538461538464;3.19629230093092E-4;0.5039526306789696;0.3104260624799073;15.955555555555556;0.16;0.4995410242691384;0.1762977473065622;0.35235705389394417;0.4084507042253521;6.095238095238095;0.8627450980392156;
TitledEntry_Title_NoArticle;;;X;;;X;;X;;X;X;;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;X;;X;X;X;X;;X;X;;X;;X;X;;X;;X;X;X;;X;X;X;X;X;;X;;;X;;X;;X;;;;X;;X;X;;X;;X;;X;;X;;X;;;X;;X;X;;;X;X;X;;X;X;X;X;X;;34.0;22.0;29.0;15.0;63.0;37.0;44.0;56.0;-0.05284888521882741;0.5396825396825397;0.49;0.5734126984126984;0.5396825396825398;-0.05338894681960375;0.022591362126245847;1.8110918408432546E-4;0.5724197752462528;-0.05340949617011669;33.355555555555554;0.34;0.5259481993514362;0.7520347259902334;0.21279458220013445;0.32450331125827814;22.666666666666668;0.4794871794871795;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;X;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;3.0;53.0;3.0;41.0;6.0;94.0;44.0;56.0;-0.013024602026049204;0.05357142857142857;0.44;0.2767857142857143;0.5;-0.023778071334214;0.012345679012345678;5.659747311148382E-6;0.1636634176769943;-0.030538141073707066;2.933333333333333;0.03;0.20103336639634525;0.06871218668971478;0.10432979856264722;0.28205128205128205;0.16071428571428573;0.44;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;56.0;0.0;30.0;14.0;86.0;14.0;44.0;56.0;0.3432574430823117;0.6511627906976745;0.7;0.8255813953488372;0.6511627906976745;0.42748091603053434;0.06666666666666667;0.6511627906976745;0.806946584785929;0.45517926213364857;55.333333333333336;0.56;0.7368421052631579;0.0;0.45515283660656636;0.5384615384615384;104.53333333333333;0.5945945945945946;
Author;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;56.0;0.0;43.0;1.0;99.0;1.0;44.0;56.0;0.025385312783318223;0.5656565656565656;0.57;0.7828282828282829;0.5656565656565656;0.04369879047990636;0.046511627906976744;0.5656565656565656;0.7521014330903549;0.11338355717496792;55.044444444444444;0.56;0.5961808655990313;0.0;0.11336060498097462;0.3986013986013986;72.93023255813954;0.5057471264367817;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;5.0;51.0;2.0;42.0;7.0;93.0;44.0;56.0;0.03915881073241479;0.08928571428571429;0.47;0.4017857142857143;0.7142857142857143;0.06934189406099518;0.021321961620469083;2.450283742857423E-5;0.2525381361380527;0.08527326845503794;4.955555555555556;0.05;0.26887855661003174;0.07722258273848151;0.16579604239365542;0.30718954248366015;0.4716981132075472;0.6626506024096386;
UntitledEntry;;;X;;;;;;;X;X;;;;;;;X;;X;X;;X;;X;;;;;X;;;;;X;X;;X;X;;;;;;;X;;;X;;;X;;X;;X;;X;;;;;;;X;;;X;X;;;;;X;;X;;X;X;X;;;;;X;;X;X;;;X;X;;;X;;X;X;;;22.0;34.0;13.0;31.0;35.0;65.0;44.0;56.0;0.09266409266409266;0.39285714285714285;0.53;0.5107142857142857;0.6285714285714286;0.10128719139058873;0.022940563086548488;1.094646680167309E-4;0.4969293465978882;0.10136783931241417;21.711111111111112;0.22;0.5058619996511047;0.3651426818042344;0.2880414441549326;0.36054421768707484;10.297872340425531;0.570754716981132;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;56.0;0.0;44.0;0.0;100.0;0.0;44.0;56.0;0.0;0.56;0.56;0.78;0.56;0.0;0.045454545454545456;0.56;0.7483314773547882;0.0;55.022222222222226;0.56;0.56;0.0;0.0;0.3888888888888889;71.27272727272727;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;X;;X;;X;X;;;X;X;;;X;X;X;X;X;X;X;X;X;;X;X;;X;;;X;X;X;;X;X;;X;;;X;;X;;X;X;X;;X;X;X;;;;X;;;X;;;;X;;;X;X;X;X;;;X;;X;;X;;X;;X;;;X;;X;X;;;X;X;;;X;X;X;;X;;32.0;24.0;21.0;23.0;53.0;47.0;44.0;56.0;0.09347300564061241;0.5714285714285714;0.55;0.5876010781671159;0.6037735849056604;0.09364278506559032;0.026143790849673203;2.0307532190611574E-4;0.5873784785714818;0.09364417531976608;31.533333333333335;0.32;0.5678450600736662;0.5401273885350318;0.2970660826918747;0.3793103448275862;22.755555555555556;0.544891640866873;
;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;
