;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL10;SrcTechReport.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] TechReport ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and	p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;;;;;;X;X;X;;X;;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;X;;;;X;X;;;;X;;X;;X;;;;;;;;X;X;;X;;X;X;;X;;;X;;;;;;;;;;X;;2.0;38.0;22.0;38.0;24.0;76.0;60.0;40.0;-0.3392857142857143;0.05;0.4;0.06666666666666667;0.08333333333333337;-0.35984848484848486;0.002232142857142857;4.784618027196725E-7;0.06454972243679027;-0.36324157862838946;1.639344262295082;0.02;0.15155729119556285;0.24;0.036322421834701205;0.25;0.06666666666666667;0.12000000000000002;
TitledEntry_Title_NoArticle;X;;;X;;X;X;X;X;;X;;;X;X;X;;X;X;X;X;;X;;X;;;X;X;;X;;X;;;;;;;;;X;;;;X;;;;X;X;;;;X;;X;X;X;X;X;X;;;;X;X;X;X;X;;;;X;;X;X;X;;X;X;X;X;X;X;X;;;X;;;X;;X;;;;;X;X;2.0;38.0;50.0;10.0;52.0;48.0;60.0;40.0;-0.746031746031746;0.038461538461538464;0.12;0.04423076923076923;0.038461538461538436;-0.7679738562091504;0.001006036217303823;2.105243213485346E-7;0.043852900965351466;-0.7681215292912208;1.180327868852459;0.02;0.06850841139108453;1.4790419161676647;0.008171171776876745;0.06382978723404255;0.045454545454545456;0.05660377358490566;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;X;X;;;X;X;;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;;;;;;;;;;;;;1.0;39.0;11.0;49.0;12.0;88.0;60.0;40.0;-0.1792452830188679;0.025;0.5;0.05416666666666667;0.08333333333333337;-0.2199074074074074;0.0022026431718061676;2.3309746201152388E-7;0.04564354645876384;-0.23869648112406286;0.819672131147541;0.01;0.13793103448275862;0.10636363636363637;0.030777349817287133;0.3333333333333333;0.02;0.12000000000000002;
Article_Title_Journal;X;;X;X;;X;X;X;X;;X;;;;X;X;;X;;X;X;;;;X;;;X;X;;X;;X;;;;;;;X;;X;X;;;X;X;;;X;X;;;;X;X;X;X;X;X;X;X;;;;X;X;X;;X;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;;X;;X;;;;;X;X;2.0;38.0;54.0;6.0;56.0;44.0;60.0;40.0;-0.796875;0.03571428571428571;0.08;0.04285714285714286;0.0357142857142857;-0.8388157894736842;9.328358208955224E-4;1.9492998797087045E-7;0.042257712736425826;-0.8388884110737054;1.1147540983606556;0.02;0.056062709495996524;2.485981308411215;0.00493443479846456;0.041666666666666664;0.043478260869565216;0.05263157894736842;
Author;X;;X;X;;X;X;X;X;;X;;;X;X;X;;X;X;X;X;;X;;X;;;X;X;;X;;X;;;;;;;X;;X;X;;;X;X;;;X;X;;;;X;X;X;X;X;X;X;X;;;;X;X;X;X;X;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;;X;;X;;;;X;X;X;2.0;38.0;59.0;1.0;61.0;39.0;60.0;40.0;-0.8582375478927203;0.03278688524590164;0.03;0.04139344262295082;0.032786885245901676;-0.9374346097509939;8.550662676357417E-4;1.7841055640989433E-7;0.0404888165089458;-0.9374436604434074;1.0327868852459017;0.02;0.03400129763753344;10.985781990521327;8.369682409953855E-4;0.015228426395939087;0.041237113402061855;0.048387096774193554;
Article_NoTitle_NoJournal;;;;;;;X;;X;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;X;;;X;;;;;;;;;0.0;40.0;11.0;49.0;11.0;89.0;60.0;40.0;-0.20853080568720378;0.0;0.49;0.0;0.0;-0.2604320804971885;0.0;0.0;0.0;-0.2870487828668123;-0.18032786885245902;0.0;0.0;0.09867683337071093;0.0;0.32450331125827814;0.0;0.0;
UntitledEntry;X;;X;X;;;X;;X;;X;;;;;X;;X;;X;X;;X;;X;;;;;;;;X;;;;;;;;;X;;;;X;X;;;;;;;;X;X;;X;;;;;;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;;X;;X;;;;X;;;X;;X;;;;X;;X;1.0;39.0;36.0;24.0;37.0;63.0;60.0;40.0;-0.5822784810126582;0.025;0.25;0.026013513513513515;0.027027027027026973;-0.5833861762840837;6.93721817551162E-4;7.122468567833964E-8;0.02599376224550182;-0.5834482328466172;0.4098360655737705;0.01;0.072917847951578;0.52;0.010146496806344702;0.14285714285714285;0.013333333333333334;0.04;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;40.0;0.0;60.0;0.0;100.0;0.0;60.0;40.0;0.0;0.4;0.4;0.7;0.4;0.0;0.03333333333333333;0.4;0.6324555320336759;0.0;39.01639344262295;0.4;0.4;0.0;0.0;0.25;26.666666666666668;0.5;
TitledEntry_NoTitle_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;40.0;0.0;55.0;5.0;95.0;5.0;60.0;40.0;0.06779661016949153;0.42105263157894735;0.45;0.7105263157894737;0.42105263157894735;0.1391304347826087;0.03636363636363636;0.42105263157894735;0.6488856845230502;0.1873171623163388;39.09836065573771;0.4;0.49606996706007955;0.0;0.18729962009966883;0.2903225806451613;29.09090909090909;0.5217391304347826;
;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Pass;
