;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL11;SrcManual.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['.concat(b.id).concat('] Manual ').concat(b.title) and p.section.title = 'References List')	and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;X;;;X;;;;X;;X;X;;;;;X;;;;;X;;;X;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;;;;X;;;X;;;;X;X;;;;X;;X;;X;X;;;;;;;;X;;X;;;X;;;;;;;;;;;X;;X;;X;;2.0;34.0;24.0;40.0;26.0;74.0;64.0;36.0;-0.34011090573012936;0.05555555555555555;0.42;0.06623931623931624;0.07692307692307687;-0.34815515610217596;0.002288329519450801;4.90188869771523E-7;0.06537204504606134;-0.34956991031712414;1.6307692307692307;0.02;0.15874084397157706;0.23585912486659552;0.037994924778702706;0.26582278481012656;0.06896551724137931;0.12903225806451613;
TitledEntry_Title_NoArticle;;X;;;X;;;;X;;X;X;;X;X;;X;;X;X;X;X;X;;X;;X;;;;X;X;;X;X;X;X;X;;;X;X;;X;;X;;X;X;X;;X;;X;;;X;X;;;X;X;;X;X;X;;X;X;X;X;;X;X;;X;X;;;X;X;X;;X;;;;;;;;X;;X;X;;X;;X;X;2.0;34.0;54.0;10.0;56.0;44.0;64.0;36.0;-0.7027863777089783;0.03571428571428571;0.12;0.04563492063492063;0.0357142857142857;-0.761744966442953;0.0010395010395010396;2.1786278783759202E-7;0.0445435403187374;-0.7621742201406722;1.169230769230769;0.02;0.06850841139108453;1.4782608695652173;0.008393636928108735;0.06382978723404255;0.045454545454545456;0.06177606177606177;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;X;;;;X;;;;;X;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;X;;;;1.0;35.0;8.0;56.0;9.0;91.0;64.0;36.0;-0.11630321910695743;0.027777777777777776;0.57;0.06944444444444445;0.11111111111111116;-0.14345180915786104;0.003316749585406302;3.571372449861502E-7;0.05555555555555555;-0.16306653015674283;0.8769230769230769;0.01;0.16477794428859519;0.07154213036565978;0.040763665043911074;0.3986013986013986;0.023255813953488372;0.1818181818181818;
Article_Title_Journal;;X;X;;X;;;;X;;X;X;;;X;;X;;;X;X;X;;;X;;X;;;;X;X;;X;;;X;X;;X;X;X;X;X;;X;X;;X;X;;X;;X;;;X;X;;;X;X;;X;X;X;;X;;X;X;;X;X;X;X;X;;X;X;X;X;;X;;;;;;X;;X;;X;X;;X;;X;X;2.0;34.0;54.0;10.0;56.0;44.0;64.0;36.0;-0.7027863777089783;0.03571428571428571;0.12;0.04563492063492063;0.0357142857142857;-0.761744966442953;0.0010395010395010396;2.1786278783759202E-7;0.0445435403187374;-0.7621742201406722;1.169230769230769;0.02;0.06850841139108453;1.4782608695652173;0.008393636928108735;0.06382978723404255;0.045454545454545456;0.06177606177606177;
Author;;X;X;;X;;;;X;;X;X;;X;X;;X;;X;X;X;X;X;;X;;X;;;X;X;X;;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;;X;;X;;;X;X;;;X;X;X;X;X;X;;X;X;X;X;;X;X;X;X;X;;X;X;X;X;;X;;;;;;X;;X;;X;X;;X;X;X;X;2.0;34.0;64.0;0.0;66.0;34.0;64.0;36.0;-0.7988252569750367;0.030303030303030304;0.02;0.04292929292929293;0.030303030303030276;-0.9569041336851363;8.795074758135445E-4;1.8382183987279528E-7;0.041030496993110906;-0.9569874167536979;1.0153846153846153;0.02;0.02;33.0;0.0;0.010101010101010102;0.04081632653061224;0.05263157894736842;
Article_NoTitle_NoJournal;;X;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;X;;;X;;;;;;0.0;36.0;9.0;55.0;9.0;91.0;64.0;36.0;-0.16822429906542055;0.0;0.55;0.0;0.0;-0.207492795389049;0.0;0.0;0.0;-0.2358640882624316;-0.13846153846153847;0.0;0.0;0.07272727272727272;0.0;0.3793103448275862;0.0;0.0;
UntitledEntry;;X;X;;X;;;;X;;X;X;;;;;X;;;X;X;;X;;X;;X;;;X;;X;;;X;X;X;X;;;;X;;;;X;X;;X;;;X;;X;;;;X;;;;;;;X;;;X;X;X;;;X;X;X;X;X;;X;X;X;;;;;;;;;;;X;;X;X;;X;X;;X;1.0;35.0;42.0;22.0;43.0;57.0;64.0;36.0;-0.6028309741881765;0.023255813953488372;0.23;0.025516795865633074;0.023255813953488413;-0.609043112513144;6.629101756711965E-4;6.802684992555822E-8;0.025416428388767447;-0.6093343606152776;0.3538461538461538;0.01;0.06881590457050546;0.6022408963585434;0.00925745293171257;0.12994350282485875;0.012987012987012988;0.04060913705583756;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;36.0;0.0;64.0;0.0;100.0;0.0;64.0;36.0;0.0;0.36;0.36;0.6799999999999999;0.36;0.0;0.03125;0.36;0.6;0.0;35.01538461538462;0.36;0.36;0.0;0.0;0.21951219512195122;20.25;0.5;
TitledEntry_NoTitle_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;36.0;0.0;60.0;4.0;96.0;4.0;64.0;36.0;0.04580152671755725;0.375;0.4;0.6875;0.375;0.10714285714285714;0.03333333333333333;0.375;0.6123724356957945;0.15309310892394862;35.07692307692308;0.36;0.4444444444444444;0.0;0.15307683461247984;0.25;21.6;0.5161290322580645;
;Fail;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Pass;
