;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;X;;;X;;X;X;;;X;;;;;;X;;;;;X;;;X;;X;X;X;;;X;;;;;X;;;;X;;;;X;;;;;;X;;;X;X;;X;;;;X;;;;;;;X;;;X;;;;;;;X;X;;X;;X;X;;;;;X;;;;;;X;;X;;X;;1.0;29.0;31.0;39.0;32.0;68.0;70.0;30.0;-0.40186915887850466;0.03125;0.4;0.03229166666666666;0.03125;-0.402245088868101;0.001076426264800861;1.1123395047041394E-7;0.03227486121839514;-0.4023086388537519;0.5633802816901409;0.01;0.10774032588373274;0.2651428571428571;0.018243375544811594;0.25;0.016666666666666666;0.07;
TitledEntry_Title_NoArticle;X;X;;;X;X;X;X;;X;X;;;;X;X;X;X;;;;X;X;X;X;;X;X;X;;X;X;;X;X;;X;;X;;X;X;;X;X;;;;X;X;X;;;X;X;;X;X;;;X;;;X;X;;X;X;;;X;;X;;;X;X;X;;X;X;X;X;X;X;;;X;X;;X;;X;X;X;;X;;X;X;1.0;29.0;60.0;10.0;61.0;39.0;70.0;30.0;-0.6360294117647058;0.01639344262295082;0.11;0.024863387978142075;0.016393442622950838;-0.77249386023666;5.603810591202018E-4;5.747096710419314E-8;0.02337622911060922;-0.773996924034909;0.15492957746478875;0.01;0.044677714679231866;1.4631927212572373;0.004473770503981618;0.0582010582010582;0.011235955056179775;0.03743315508021391;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;X;X;X;;;;X;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;1.0;29.0;11.0;59.0;12.0;88.0;70.0;30.0;-0.14942528735632185;0.03333333333333333;0.6;0.058333333333333334;0.08333333333333337;-0.16476552598225602;0.0029498525073746312;3.1347559482777807E-7;0.05270462766947299;-0.1745949755388324;0.8450704225352113;0.01;0.17832665222857233;0.08487804878048781;0.03961696870931861;0.42857142857142855;0.025;0.17500000000000002;
Article_Title_Journal;X;X;;;X;X;X;X;;X;X;;;;X;X;X;X;;;;X;;;X;;X;X;X;;X;X;;X;;;X;;X;X;X;X;X;X;X;;X;;X;X;X;;;X;X;X;X;X;;;X;;;X;X;;X;X;;;X;;X;;X;X;X;X;X;X;X;X;X;X;X;;;;X;X;;;X;X;X;;X;;X;X;1.0;29.0;62.0;8.0;63.0;37.0;70.0;30.0;-0.6485507246376812;0.015873015873015872;0.09;0.024603174603174603;0.015873015873015928;-0.8079440306928458;5.424464334147003E-4;5.561706803279983E-8;0.023002185311411807;-0.8090441963795111;0.12676056338028174;0.01;0.04037214621001695;1.8473205257836198;0.0036156765624705046;0.04712041884816754;0.01098901098901099;0.036269430051813475;
Author;X;X;;;X;X;X;X;;X;X;;;;X;X;X;X;;;;X;X;X;X;;X;X;X;X;X;X;;X;X;;X;;X;X;X;X;X;X;X;;X;;X;X;X;;;X;X;X;X;X;;;X;;X;X;X;;X;X;;;X;;X;;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;X;X;X;X;2.0;28.0;69.0;1.0;71.0;29.0;70.0;30.0;-0.660958904109589;0.028169014084507043;0.03;0.047417840375586856;0.028169014084507005;-0.9281077182014907;9.857072449482504E-4;2.070372156641459E-7;0.04333513900174395;-0.9281528195905001;1.028169014084507;0.02;0.03400129763753344;10.98342541436464;9.617701410436163E-4;0.015228426395939087;0.041237113402061855;0.06334841628959276;
Article_NoTitle_NoJournal;;X;;;;;X;;;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;X;;;;;;X;;;;;;0.0;30.0;12.0;58.0;12.0;88.0;70.0;30.0;-0.20689655172413793;0.0;0.58;0.0;0.0;-0.22813688212927757;0.0;0.0;0.0;-0.24174688920761409;-0.16901408450704225;0.0;0.0;0.08620689655172414;0.0;0.4084507042253521;0.0;0.0;
UntitledEntry;X;X;;;X;;X;;;X;X;;;;;X;X;X;;;;;X;;X;;X;;;X;;X;;;X;;X;;X;;;X;;;;;X;;X;;;;;X;X;X;;X;;;;;;;X;;;X;;;;;X;;X;X;X;X;X;X;X;;X;;X;;;X;X;;X;;X;X;X;;X;X;;X;2.0;28.0;43.0;27.0;45.0;55.0;70.0;30.0;-0.4791666666666667;0.044444444444444446;0.29;0.05555555555555555;0.0444444444444444;-0.5027322404371585;0.001568627450980392;3.3222188501700895E-7;0.05443310539518173;-0.5044296328024895;1.3943661971830985;0.02;0.11634906449532076;0.4617075851960425;0.023685222103083138;0.1695906432748538;0.056338028169014086;0.0979020979020979;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;30.0;0.0;70.0;0.0;100.0;0.0;70.0;30.0;0.0;0.3;0.3;0.65;0.30000000000000004;0.0;0.02857142857142857;0.3;0.5477225575051661;0.0;29.014084507042252;0.3;0.3;0.0;0.0;0.17647058823529413;12.857142857142858;0.5;
TitledEntry_NoTitle_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;30.0;0.0;65.0;5.0;95.0;5.0;70.0;30.0;0.04411764705882353;0.3157894736842105;0.35;0.6578947368421053;0.3157894736842105;0.11650485436893204;0.03076923076923077;0.3157894736842105;0.5619514869490164;0.15018785229652765;29.08450704225352;0.3;0.3939249764962854;0.0;0.15017281620803458;0.21212121212121213;13.846153846153847;0.5185185185185185;
;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Pass;
