;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL7;SrcPhDThesis.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] PhDThesis ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.school and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;X;;;X;;X;;X;;X;X;;;;;;;;;;X;;;X;X;;;;;;X;;;;;X;;;;;;;;;;;;;;;;X;X;X;;X;;;;;X;;;;;;X;;X;;;;;;;;X;X;;;;X;X;;X;;;X;;;;;;;;X;;X;;1.0;31.0;25.0;43.0;26.0;74.0;68.0;32.0;-0.3539651837524178;0.03125;0.44;0.03485576923076923;0.038461538461538436;-0.3570731707317073;0.0012453300124533001;1.290313090600495E-7;0.03466876226407682;-0.35774955456795093;0.6376811594202898;0.01;0.11890722313191267;0.21367974549310711;0.021014315656031887;0.28205128205128205;0.017857142857142856;0.07834101382488479;
TitledEntry_Title_NoArticle;;X;;;X;X;X;;X;;X;X;;X;X;X;;;X;X;;X;X;X;X;X;;;;;;X;X;X;X;;X;X;X;;;X;;X;;;;;;;;X;X;X;X;;X;X;X;;;X;;X;X;;X;X;X;X;;X;X;X;;X;X;X;;X;;X;X;X;;X;X;X;X;;X;;X;;;;X;;X;X;1.0;31.0;58.0;10.0;59.0;41.0;68.0;32.0;-0.6716754320060105;0.01694915254237288;0.11;0.02409957627118644;0.016949152542372836;-0.7782372143634385;5.42740841248304E-4;5.561707421931703E-8;0.023014365447458086;-0.7793277393445387;0.1594202898550725;0.01;0.04467771467923187;1.4857839155158408;0.00435846628975242;0.0582010582010582;0.011235955056179775;0.035343035343035345;
Article_NoTitle_Journal;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;X;;X;X;X;;;;;;;;;;;;;;;;;X;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;0.0;32.0;11.0;57.0;11.0;89.0;68.0;32.0;-0.19577308120133483;0.0;0.57;0.0;0.0;-0.2231378763866878;0.0;0.0;0.0;-0.2411692162757267;-0.15942028985507245;0.0;0.0;0.08233918128654971;0.0;0.3986013986013986;0.0;0.0;
Article_Title_Journal;;X;;;X;X;X;;X;;X;X;;;X;X;;;;X;;X;;;X;X;;;;;;X;X;X;;;X;X;X;X;;X;X;X;;;X;;;;;X;X;X;X;X;X;X;X;;;X;;X;X;;X;X;;X;;X;X;X;X;X;X;X;X;X;;X;X;X;;X;X;;X;X;;;X;;;;X;;X;X;1.0;31.0;57.0;11.0;58.0;42.0;68.0;32.0;-0.6641452344931922;0.017241379310344827;0.12;0.024245689655172414;0.017241379310344862;-0.7614917606244579;5.521811154058532E-4;5.659281059648313E-8;0.023211917272131483;-0.762704702520817;0.17391304347826086;0.01;0.046758910436317976;1.3417910447761194;0.004777555433558892;0.06382978723404255;0.011363636363636364;0.035940803382663845;
Author;;X;;;X;X;X;;X;;X;X;;X;X;X;;;X;X;;X;X;X;X;X;;;;X;;X;X;X;X;;X;X;X;X;;X;X;X;;;X;;;;;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;;X;;;;X;;X;X;1.0;31.0;67.0;1.0;68.0;32.0;68.0;32.0;-0.7351274787535411;0.014705882352941176;0.02;0.02297794117647059;0.014705882352941124;-0.9540441176470589;4.7036688617121356E-4;4.814613546136684E-8;0.021437323142813602;-0.9540441176470589;0.02898550724637683;0.01;0.02;13.175;4.595377050687009E-4;0.010101010101010102;0.01020408163265306;0.03074141048824593;
Article_NoTitle_NoJournal;;X;;;;;X;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;1.0;31.0;9.0;59.0;10.0;90.0;68.0;32.0;-0.12359550561797752;0.03125;0.6;0.065625;0.09999999999999998;-0.14304291287386217;0.0033444816053511705;3.584176719983685E-7;0.05590169943749474;-0.1572070363806331;0.8695652173913043;0.01;0.17832665222857233;0.07345971563981042;0.04215705639939748;0.42857142857142855;0.025;0.19101123595505617;
UntitledEntry;;X;;;X;;X;;X;;X;X;;;;X;;;;X;;;X;;X;;;;;X;;X;X;;X;;X;X;X;;;X;;;;;X;;;;;X;;X;X;X;;X;;;;;;;X;;;X;X;X;;X;X;X;X;X;X;X;X;X;;;X;;;;X;X;X;;X;;X;;;;X;;;X;1.0;31.0;44.0;24.0;45.0;55.0;68.0;32.0;-0.5560165975103735;0.022222222222222223;0.25;0.026736111111111113;0.022222222222222254;-0.5762201677058697;7.135212272565109E-4;7.331337450025939E-8;0.026352313834736494;-0.5774145871611047;0.3623188405797102;0.01;0.072917847951578;0.541747572815534;0.010341308186303584;0.14285714285714285;0.013333333333333334;0.04607046070460705;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;32.0;0.0;68.0;0.0;100.0;0.0;68.0;32.0;0.0;0.32;0.32;0.66;0.31999999999999995;0.0;0.029411764705882353;0.32;0.565685424949238;0.0;31.014492753623188;0.32;0.32;0.0;0.0;0.19047619047619047;15.058823529411764;0.5;
TitledEntry_NoTitle_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;31.0;1.0;64.0;4.0;95.0;5.0;68.0;32.0;0.01812688821752266;0.3263157894736842;0.35;0.6475328947368422;0.3263157894736842;0.04526593738211995;0.028931404573028466;0.001494612551634898;0.5622440938352591;0.05901671065234753;30.07246376811594;0.31;0.39329183536822515;0.3220338983050847;0.12195587295740709;0.21212121212121213;14.784615384615385;0.507218479307026;
;Fail;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Pass;
