;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL8;SrcBook.allInstances()->select(b|b.oclIsTypeOf(SrcBook))->forAll(b | TrgPara.allInstances()->exists(p | p.content ='['+b.id+'] Book ' + b.title + ' ' + b.authors->iterate(e; str : String =  '' | str + e.author + ' ') + b.year + ' ' + b.publisher and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;X;;X;;X;X;;;;;X;;;;;;;;;X;X;X;X;;;X;;;;;X;;;;X;;;;;;;;;;;;X;X;;;X;;;;X;;;;;X;;X;;X;X;;;;;;;;X;;X;;;;;;;;;;;;;;X;;X;;X;;2.0;36.0;23.0;39.0;25.0;75.0;62.0;38.0;-0.3409090909090909;0.05263157894736842;0.41;0.06631578947368422;0.07999999999999996;-0.3545261167572678;0.002254791431792559;4.830846695254007E-7;0.06488856845230502;-0.3568395510523549;1.6349206349206349;0.02;0.1551122402177719;0.23828435266084194;0.03710954768886664;0.2578616352201258;0.06779661016949153;0.12424849699398798;
TitledEntry_Title_NoArticle;;;;X;;X;X;;X;;X;X;;X;;X;X;;X;X;X;;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;;X;X;;X;;;;;X;X;;;X;X;;;X;X;;X;X;;;X;X;X;;X;;X;X;X;;X;;;;;;;X;;;;;;X;X;;;X;X;X;X;X;X;X;;X;X;4.0;34.0;51.0;11.0;55.0;45.0;62.0;38.0;-0.66015625;0.07272727272727272;0.15;0.08899521531100478;0.07272727272727275;-0.6996481059821983;0.0021008403361344537;9.227030863726212E-7;0.08749572785196143;-0.6998604632874466;3.1904761904761907;0.04;0.11118778905172248;1.2941176470588236;0.01822046461915188;0.08108108108108109;0.18823529411764706;0.11344922232387922;
Article_NoTitle_Journal;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;X;X;;;X;X;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;1.0;37.0;10.0;52.0;11.0;89.0;62.0;38.0;-0.15649606299212598;0.02631578947368421;0.53;0.05861244019138756;0.09090909090909094;-0.1907046476761619;0.0025412960609911056;2.70266764106844E-7;0.04891159880445185;-0.2093862365222645;0.8412698412698413;0.01;0.14872194489059282;0.0923950056753689;0.03423700447611965;0.36054421768707484;0.02127659574468085;0.14027149321266968;
Article_Title_Journal;;;X;X;;X;X;;X;;X;X;;;;X;X;;;X;X;;;;;X;X;X;X;;X;X;X;;;;X;X;X;X;X;X;X;X;;;X;;X;X;;;X;X;;X;X;X;;X;X;;;X;X;X;;X;;X;X;X;;X;X;;;;X;;X;;;;;;X;;;;;X;X;X;X;X;X;;X;X;4.0;34.0;52.0;10.0;56.0;44.0;62.0;38.0;-0.671850699844479;0.07142857142857142;0.14;0.08834586466165413;0.0714285714285714;-0.7170124481327801;0.002061855670103093;9.04958948799685E-7;0.086710996952412;-0.7171925066637738;3.174603174603175;0.04;0.10718508158175699;1.4251497005988023;0.016600989384277773;0.07526881720430108;0.18604651162790697;0.11151079136690646;
Author;;;X;X;;X;X;;X;;X;X;;X;;X;X;;X;X;X;;X;;;X;X;X;X;X;X;X;X;;;X;X;X;X;X;X;X;X;X;;;X;;X;X;;;X;X;;X;X;X;;X;X;;X;X;X;X;;X;;X;X;X;;X;X;;;;X;;X;;;;;;X;X;;;X;X;X;X;X;X;X;X;X;X;4.0;34.0;61.0;1.0;65.0;35.0;62.0;38.0;-0.7723880597014925;0.06153846153846154;0.05;0.08340080971659919;0.06153846153846154;-0.8939753832865471;0.0017667844522968198;7.71441393886597E-7;0.08048436365855337;-0.894112161114128;3.0317460317460316;0.04;0.0594059405940594;8.339622641509434;0.00172767834330183;0.02564102564102564;0.16842105263157894;0.09664848012470773;
Article_NoTitle_NoJournal;;;;;;;X;;X;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;X;;;X;;;;;;0.0;38.0;12.0;50.0;12.0;88.0;62.0;38.0;-0.22309197651663404;0.0;0.5;0.0;0.0;-0.2672919109026964;0.0;0.0;0.0;-0.2890981020518306;-0.19047619047619047;0.0;0.0;0.10363636363636364;0.0;0.3333333333333333;0.0;0.0;
UntitledEntry;;;X;X;;;X;;X;;X;X;;;;X;X;;;X;X;;X;;;;X;;;X;;X;X;;;X;X;X;X;;;X;;;;;X;;X;;;;;X;;X;;X;;;;;;;X;;;X;;X;;X;;X;X;;;;X;;X;;;;;;X;X;;;X;X;X;X;X;;X;X;;X;3.0;35.0;40.0;22.0;43.0;57.0;62.0;38.0;-0.5521523178807947;0.06976744186046512;0.25;0.07435740514075886;0.06976744186046513;-0.5550239234449761;0.0019834710743801653;6.428463981387739E-7;0.07421560439929402;-0.5551323430731107;2.365079365079365;0.03;0.12916299108469542;0.596039603960396;0.027464175425502137;0.14285714285714285;0.12;0.10902696365767878;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;38.0;0.0;62.0;0.0;100.0;0.0;62.0;38.0;0.0;0.38;0.38;0.69;0.38;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;37.01587301587302;0.38;0.38;0.0;0.0;0.2345679012345679;23.29032258064516;0.5;
TitledEntry_NoTitle_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;38.0;0.0;58.0;4.0;96.0;4.0;62.0;38.0;0.04980340760157274;0.3958333333333333;0.42;0.6979166666666666;0.39583333333333337;0.11094890510948906;0.034482758620689655;0.3958333333333333;0.6291528696058958;0.15980498868496612;37.07936507936508;0.38;0.46459311830807604;0.0;0.15978818937589034;0.26582278481012656;24.896551724137932;0.5166666666666666;
;Fail;Fail;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Fail;Fail;
