;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL19;SrcTitledEntry.allInstances()->forAll(te | TrgSect1.allInstances() -> exists(s | s.paras -> exists(p | p.content = te.title)))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;82.0;1.0;17.0;1.0;99.0;18.0;82.0;-0.02015732546705998;0.0;0.17;0.0;0.0;-0.10412698412698412;0.0;0.0;0.0;-0.2145127331474273;-0.05263157894736842;0.0;0.0;0.02923351158645276;0.0;0.09289617486338798;0.0;0.0;
TitledEntry_Title_NoArticle;;;;;;;;;;;;;X;X;;;;;X;;;;X;X;;;;;;X;;;;;X;X;X;;;;;;;;;;;X;;;;;;;;X;;;;X;;;X;;;;;;X;;;;;X;;;;;;;;;;;;;;X;;;X;;;;;;;X;;;0.0;82.0;18.0;0.0;18.0;82.0;18.0;82.0;-0.4188422247446084;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9473684210526315;0.0;0.0;1.0;0.0;0.0;0.0;0.0;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;82.0;4.0;14.0;4.0;96.0;18.0;82.0;-0.08257804632426989;0.0;0.14;0.0;0.0;-0.35268817204301073;0.0;0.0;0.0;-0.43567742059328113;-0.21052631578947367;0.0;0.0;0.13945578231292516;0.0;0.07526881720430108;0.0;0.0;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;82.0;0.0;4.0;14.0;86.0;14.0;18.0;82.0;0.8516320474777448;0.9534883720930233;0.96;0.9767441860465116;0.9534883720930233;0.8567164179104477;0.5;0.9534883720930233;0.9764672918705589;0.8611632058927405;81.78947368421052;0.82;0.966633898010368;0.0;0.8610986112550526;0.9230769230769231;1681.0;0.8181818181818181;
Author;;;;;;;;;;;;;;X;;;;;X;;;;X;X;;;;;;X;;;;;X;X;X;;;;;;;;;;;X;;;;;;;;X;;;;X;;;X;;;;;;X;;;;;X;;;;;;;;;;;;;;X;;;X;;;;;;;X;;;0.0;82.0;17.0;1.0;17.0;83.0;18.0;82.0;-0.39201349831271093;0.0;0.01;0.0;0.0;-0.9657083477658469;0.0;0.0;0.0;-0.9659532057590565;-0.8947368421052632;0.0;0.0;7.701657458563536;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;82.0;1.0;17.0;1.0;99.0;18.0;82.0;-0.02015732546705998;0.0;0.17;0.0;0.0;-0.10412698412698412;0.0;0.0;0.0;-0.2145127331474273;-0.05263157894736842;0.0;0.0;0.02923351158645276;0.0;0.09289617486338798;0.0;0.0;
UntitledEntry;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;X;;;X;;;;;;;X;;;0.0;82.0;11.0;7.0;11.0;89.0;18.0;82.0;-0.2406616862326574;0.0;0.07;0.0;0.0;-0.734826883910387;0.0;0.0;0.0;-0.7503640398231218;-0.5789473684210527;0.0;0.0;0.7363265306122448;0.0;0.03626943005181347;0.0;0.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;82.0;0.0;18.0;0.0;100.0;0.0;18.0;82.0;0.0;0.82;0.82;0.9099999999999999;0.8200000000000001;0.0;0.1111111111111111;0.82;0.9055385138137416;0.0;81.05263157894737;0.82;0.82;0.0;0.0;0.6949152542372882;373.55555555555554;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;X;;;;;X;;;;X;X;;;;;;;;;;;X;X;X;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;X;;;X;;;;;;;;;;0.0;82.0;13.0;5.0;13.0;87.0;18.0;82.0;-0.2893593919652552;0.0;0.05;0.0;0.0;-0.8177982355197545;0.0;0.0;0.0;-0.8250546636172522;-0.6842105263157895;0.0;0.0;1.2045197740112994;0.0;0.02564102564102564;0.0;0.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;
