;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL12;SrcProceedings.allInstances()->select(p|p.oclIsTypeOf(SrcProceedings))->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Proceedings ' + b.title + ' ' + b.year and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;;;;;;X;X;X;;;;;;;;X;;;;;X;;;X;X;;X;X;;;X;;;;;X;;;;X;;;;X;;;;;;X;;X;;X;;X;;;;X;X;;;;;;X;;X;X;;;;;;;X;X;;;;X;X;;;;;X;;;;;;;;X;;X;;0.0;19.0;30.0;51.0;30.0;70.0;81.0;19.0;-0.30319148936170215;0.0;0.51;0.0;0.0;-0.31327287716405605;0.0;0.0;0.0;-0.3170632437371139;-0.36585365853658536;0.0;0.0;0.1643598615916955;0.0;0.3422818791946309;0.0;0.0;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;19.0;0.0;76.0;5.0;95.0;5.0;81.0;19.0;0.024390243902439025;0.2;0.24;0.6;0.19999999999999996;0.09433962264150944;0.02631578947368421;0.2;0.4472135954999579;0.1111111111111111;18.073170731707318;0.19;0.27444080293454437;0.0;0.11109811717927727;0.13636363636363635;4.75;0.5159235668789809;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;X;X;;X;X;X;;;X;X;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;0.0;19.0;14.0;67.0;14.0;86.0;81.0;19.0;-0.19219653179190752;0.0;0.67;0.0;0.0;-0.19394823186292381;0.0;0.0;0.0;-0.1954110342176189;-0.17073170731707318;0.0;0.0;0.07634902411021814;0.0;0.5037593984962406;0.0;0.0;
Article_Title_Journal;X;;X;X;;X;X;X;X;X;;;;;X;;X;X;;X;;X;;;X;X;;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;;X;X;X;X;;X;X;X;;X;X;;X;X;;X;X;X;X;;X;;X;X;X;X;;X;X;X;X;;X;;X;X;;X;;X;;X;X;;X;X;0.0;19.0;69.0;12.0;69.0;31.0;81.0;19.0;-0.424409193913888;0.0;0.12;0.0;0.0;-0.7128874388254486;0.0;0.0;0.0;-0.7225667774740266;-0.8414634146341463;0.0;0.0;1.0210280373831775;0.0;0.06382978723404255;0.0;0.0;
Author;X;;X;X;;X;X;X;X;X;;;;;X;;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;X;;X;X;X;X;X;X;;X;X;;X;X;X;X;;X;;X;X;X;X;;X;X;X;X;;X;X;X;X;X;X;;X;;X;X;X;X;X;0.0;19.0;80.0;1.0;80.0;20.0;81.0;19.0;-0.44314868804664725;0.0;0.01;0.0;0.0;-0.9684612934055432;0.0;0.0;0.0;-0.9686442096757053;-0.975609756097561;0.0;0.0;12.88135593220339;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_NoJournal;;;;;;;X;;X;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;0.0;19.0;12.0;69.0;12.0;88.0;81.0;19.0;-0.17246596066565809;0.0;0.69;0.0;0.0;-0.17572254335260115;0.0;0.0;0.0;-0.17884778999621995;-0.14634146341463414;0.0;0.0;0.06608695652173913;0.0;0.5267175572519084;0.0;0.0;
UntitledEntry;X;;X;X;;;X;;X;X;;;;;;;X;X;;X;;;X;;X;;;;;X;;X;X;;X;X;X;X;X;;;X;;;;X;X;;X;;;X;;;X;X;;X;;;;;;;X;;;X;;X;;X;X;;X;;X;X;X;X;;;X;;X;;X;X;X;;X;X;;X;;;X;X;;X;0.0;19.0;48.0;33.0;48.0;52.0;81.0;19.0;-0.37407711238720265;0.0;0.33;0.0;0.0;-0.45204460966542753;0.0;0.0;0.0;-0.4653216269680752;-0.5853658536585366;0.0;0.0;0.321353065539112;0.0;0.19760479041916168;0.0;0.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;19.0;0.0;81.0;0.0;100.0;0.0;81.0;19.0;0.0;0.19;0.19;0.595;0.18999999999999995;0.0;0.024691358024691357;0.19;0.43588989435406733;0.0;18.01219512195122;0.19;0.19;0.0;0.0;0.10497237569060773;4.45679012345679;0.5;
TitledEntry_NoTitle_NoArticle;X;;;X;;X;X;X;X;X;;;;;X;;X;X;X;X;;X;X;X;X;X;;X;X;;X;X;X;X;X;X;X;X;X;;X;X;;;X;X;;X;X;X;X;X;X;;X;;X;X;;X;X;X;;X;X;;X;X;;X;X;X;X;;;;X;X;;X;;X;X;X;X;;X;X;X;;X;X;;X;;X;X;;X;X;0.0;19.0;69.0;12.0;69.0;31.0;81.0;19.0;-0.424409193913888;0.0;0.12;0.0;0.0;-0.7128874388254486;0.0;0.0;0.0;-0.7225667774740266;-0.8414634146341463;0.0;0.0;1.0210280373831775;0.0;0.06382978723404255;0.0;0.0;
;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;
