In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL4;SrcAuthor.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.author and p.section.title = 'Authors List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.08069164265129683;0.0;0.85;0.0;0.0;-0.08074981975486661;0.0;0.0;0.0;-0.0809018821752896;-0.0851063829787234;0.0;0.0;0.029946524064171122;0.0;0.7391304347826086;0.0;0.0
TitledEntry_Title_NoArticle;0.007891770011273957;0.07368421052631578;0.12;0.5368421052631579;0.0736842105263158;0.06216696269982238;0.022727272727272728;0.07368421052631578;0.27144835701531844;0.06294058066909786;6.0638297872340425;0.07;0.12798832268217644;0.0;0.06292926408503331;0.06382978723404255;0.5568181818181818;0.5138121546961326
Article_NoTitle_Journal;-0.061946902654867256;0.0;0.88;0.0;0.0;-0.06216696269982238;0.0;0.0;0.0;-0.06294058066909786;-0.05319148936170213;0.0;0.0;0.020933014354066987;0.0;0.7857142857142857;0.0;0.0
Article_Title_Journal;-0.12397820163487738;0.0;0.67;0.0;0.0;-0.14135922330097087;0.0;0.0;0.0;-0.16262164874133156;-0.2765957446808511;0.0;0.0;0.06791044776119402;0.0;0.5037593984962406;0.0;0.0
Author;0.2028985507246377;0.175;0.67;0.5875;0.17500000000000004;0.2753195673549656;0.06060606060606061;0.175;0.4183300132670378;0.3360107525161235;6.648936170212766;0.07;0.45449046657062164;0.0;0.33598387294612786;0.5037593984962406;1.4848484848484849;0.738095238095238
Article_NoTitle_NoJournal;-0.03211009174311927;0.0;0.91;0.0;0.0;-0.03305785123966942;0.0;0.0;0.0;-0.03919309008348102;-0.02127659574468085;0.0;0.0;0.009615384615384616;0.0;0.8348623853211009;0.0;0.0
UntitledEntry;-0.11008325624421832;0.0;0.76;0.0;0.0;-0.11542192046556742;0.0;0.0;0.0;-0.12416321809856487;-0.18085106382978725;0.0;0.0;0.05050933786078098;0.0;0.6129032258064516;0.0;0.0
Main;0.0;0.07;0.07;0.535;0.06999999999999995;0.0;0.021505376344086023;0.07;0.2645751311064591;0.0;6.01063829787234;0.07;0.07;0.0;0.0;0.03626943005181347;0.5268817204301075;0.5
TitledEntry_NoTitle_NoArticle;-0.10552763819095477;0.0;0.78;0.0;0.0;-0.10903426791277258;0.0;0.0;0.0;-0.11525073729836975;-0.1595744680851064;0.0;0.0;0.046419098143236075;0.0;0.639344262295082;0.0;0.0
EXAM-BC;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222
