;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL14;SrcInCollection.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] InCollection ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.booktitle + ' ' + b.publisher) and	TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;X;;;X;;X;;;;X;;;;;;X;;;;;X;;;X;X;X;X;X;;;X;;;;;X;;;;X;;;;;;;;;;X;;X;X;X;;X;;;;X;;;;;;;X;;;X;;;;;;;X;X;;X;;;X;;X;;;;;;;;;X;;X;;X;;0.0;25.0;31.0;44.0;31.0;69.0;75.0;25.0;-0.38271604938271603;0.0;0.44;0.0;0.0;-0.3861484803188839;0.0;0.0;0.0;-0.38698637457445473;-0.40789473684210525;0.0;0.0;0.21745230078563413;0.0;0.28205128205128205;0.0;0.0;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;25.0;0.0;67.0;8.0;92.0;8.0;75.0;25.0;0.056338028169014086;0.2717391304347826;0.33;0.6358695652173914;0.2717391304347826;0.15319800842589046;0.029850746268656716;0.2717391304347826;0.5212860351426869;0.17025130615174972;24.11842105263158;0.25;0.36877094467448857;0.0;0.17023681463172663;0.19760479041916168;9.328358208955224;0.528169014084507;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;X;;X;;X;X;X;;;X;X;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;X;;;;0.0;25.0;14.0;61.0;14.0;86.0;75.0;25.0;-0.21875;0.0;0.61;0.0;0.0;-0.2273465410847678;0.0;0.0;0.0;-0.23294541397390264;-0.18421052631578946;0.0;0.0;0.08965163934426229;0.0;0.43884892086330934;0.0;0.0;
Article_Title_Journal;X;X;X;X;X;X;X;;;;X;;;;X;X;X;;;;;X;;;X;X;X;X;X;;X;X;X;;;;X;X;X;X;X;;X;;;X;X;;X;X;X;;X;X;X;X;X;;;X;X;;;X;;;X;X;;;X;;;X;X;X;X;X;X;X;X;X;;X;X;X;X;;;X;;;X;;X;X;X;;X;X;0.0;25.0;62.0;13.0;62.0;38.0;75.0;25.0;-0.5535714285714286;0.0;0.13;0.0;0.0;-0.7326873079650201;0.0;0.0;0.0;-0.7374684055082001;-0.8157894736842105;0.0;0.0;1.0645604395604396;0.0;0.06951871657754011;0.0;0.0;
Author;X;X;X;X;X;X;X;;;;X;;;X;X;X;X;;X;;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;;;X;X;X;X;X;X;;X;X;X;X;X;;;X;X;;X;X;;;X;X;X;;X;;;X;X;X;X;X;X;X;X;X;;X;X;X;X;;;X;X;;X;;X;X;X;X;X;X;0.0;25.0;74.0;1.0;74.0;26.0;75.0;25.0;-0.5967741935483871;0.0;0.01;0.0;0.0;-0.9739405106607002;0.0;0.0;0.0;-0.9740215340114143;-0.9736842105263158;0.0;0.0;14.919354838709678;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_NoJournal;;X;;;;;X;;;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;;;;;;;X;;;;;;0.0;25.0;12.0;63.0;12.0;88.0;75.0;25.0;-0.1935483870967742;0.0;0.63;0.0;0.0;-0.2047082906857728;0.0;0.0;0.0;-0.21320071635561044;-0.15789473684210525;0.0;0.0;0.07680491551459294;0.0;0.45985401459854014;0.0;0.0;
UntitledEntry;X;X;X;X;X;;X;;;;X;;;;;X;X;;;;;;X;;X;;X;;;X;;X;X;;X;X;X;X;X;;;;;;;X;X;;X;;;;;X;X;X;;;;;;;;;;;;X;X;;;;;X;X;X;X;X;X;X;X;;;;X;;X;;;;X;;X;;X;;X;X;;X;0.0;25.0;44.0;31.0;44.0;56.0;75.0;25.0;-0.46808510638297873;0.0;0.31;0.0;0.0;-0.5070292694169164;0.0;0.0;0.0;-0.511766315719159;-0.5789473684210527;0.0;0.0;0.37748798901853126;0.0;0.1834319526627219;0.0;0.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;25.0;0.0;75.0;0.0;100.0;0.0;75.0;25.0;0.0;0.25;0.25;0.625;0.25;0.0;0.02666666666666667;0.25;0.5;0.0;24.013157894736842;0.25;0.25;0.0;0.0;0.14285714285714285;8.333333333333334;0.5;
TitledEntry_NoTitle_NoArticle;X;X;;X;X;X;X;;;;X;;;X;X;X;X;;X;;;X;X;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;;X;;;;;X;;X;X;X;X;;X;X;X;;X;;;X;X;;;X;;;X;X;X;;X;;;X;;X;X;X;;X;X;X;;X;X;X;X;;;;X;;X;;X;X;X;;X;X;0.0;25.0;63.0;12.0;63.0;37.0;75.0;25.0;-0.5575221238938053;0.0;0.12;0.0;0.0;-0.7489300998573466;0.0;0.0;0.0;-0.7533708035008839;-0.8289473684210527;0.0;0.0;1.1615044247787611;0.0;0.06382978723404255;0.0;0.0;
;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;
