In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.0;0.55;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3793103448275862;0.0;0.0
TitledEntry_Title_NoArticle;-0.94831013916501;0.0;0.02;0.0;0.0;-0.9605316149818768;0.0;0.0;0.0;-0.9605366005147504;-0.9464285714285714;0.0;0.0;8.339160839160838;0.0;0.010101010101010102;0.0;0.0
Article_NoTitle_Journal;0.0;0.0;0.55;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3793103448275862;0.0;0.0
Article_Title_Journal;0.23507462686567165;0.5232558139534884;0.59;0.7616279069767442;0.5232558139534884;0.342484370752922;0.04878048780487805;0.5232558139534884;0.7233642332556182;0.36495532467185965;44.267857142857146;0.45;0.6309624346197034;0.0;0.3649341842474635;0.41843971631205673;49.390243902439025;0.5729166666666666
Author;-0.9642857142857143;0.0;0.01;0.0;0.0;-0.9800362976406534;0.0;0.0;0.0;-0.9800379116648474;-0.9642857142857143;0.0;0.0;16.875;0.0;0.005025125628140704;0.0;0.0
Article_NoTitle_NoJournal;-0.03982300884955752;0.0;0.53;0.0;0.0;-0.06739049045301385;0.0;0.0;0.0;-0.1292191476761844;-0.03571428571428571;0.0;0.0;0.018457752255947497;0.0;0.36054421768707484;0.0;0.0
UntitledEntry;-0.6494845360824743;0.0;0.2;0.0;0.0;-0.6631578947368421;0.0;0.0;0.0;-0.6637465183030646;-0.625;0.0;0.0;0.63;0.0;0.1111111111111111;0.0;0.0
Main;0.0;0.45;0.45;0.725;0.44999999999999996;0.0;0.03636363636363636;0.45;0.6708203932499369;0.0;44.017857142857146;0.45;0.45;0.0;0.0;0.2903225806451613;36.81818181818182;0.5
TitledEntry_NoTitle_NoArticle;-0.8181818181818182;0.0;0.1;0.0;0.0;-0.8181818181818182;0.0;0.0;0.0;-0.8181818181818182;-0.8035714285714286;0.0;0.0;1.5;0.0;0.05263157894736842;0.0;0.0
EXAM-BC;0.2222222222222222;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.2222222222222222;0.2222222222222222;0.3333333333333333;0.3333333333333333
EXAM-WC;0.4444444444444444;1.0;0.3333333333333333;1.0;0.2222222222222222;0.4444444444444444;1.0;1.0;1.0;0.4444444444444444;0.4444444444444444;1.0;1.0;1.0;1.0;0.3333333333333333;1.0;1.0
EXAM-AVG;0.3333333333333333;0.6666666666666666;0.2777777777777778;0.6666666666666666;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.38888888888888884;0.6666666666666666;0.6666666666666666;0.8333333333333333;0.6111111111111112;0.2777777777777778;0.6666666666666666;0.6666666666666666


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL15;0.2222222222222222;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.2222222222222222;0.2222222222222222;0.3333333333333333;0.3333333333333333

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL15;0.4444444444444444;1.0;0.3333333333333333;1.0;0.2222222222222222;0.4444444444444444;1.0;1.0;1.0;0.4444444444444444;0.4444444444444444;1.0;1.0;1.0;1.0;0.3333333333333333;1.0;1.0

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL15;0.3333333333333333;0.6666666666666666;0.2777777777777778;0.6666666666666666;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.38888888888888884;0.6666666666666666;0.6666666666666666;0.8333333333333333;0.6111111111111112;0.2777777777777778;0.6666666666666666;0.6666666666666666
