In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;TrgBook.allInstances()->forAll(b | b.articles->exists(a | a.title = 'BibTeXML to DocBook'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.26;0.26;0.63;1.0;0.0;0.02702702702702703;0.26;0.5099019513592785;0.0;26.0;0.26;0.26;1.0;0.0;0.14942528735632185;9.135135135135135;1.0
TitledEntry_Title_NoArticle;0.0;0.95;0.95;0.975;1.0;0.0;0.4;0.95;0.9746794344808963;0.0;95.0;0.95;0.95;1.0;0.0;0.9047619047619048;1805.0;1.0
Article_NoTitle_Journal;0.0;0.12;0.12;0.56;1.0;0.0;0.022727272727272728;0.12;0.3464101615137754;0.0;12.0;0.12;0.12;1.0;0.0;0.06382978723404255;1.6363636363636365;1.0
Article_Title_Journal;0.0;0.58;0.58;0.79;1.0;0.0;0.047619047619047616;0.58;0.7615773105863908;0.0;58.0;0.58;0.58;1.0;0.0;0.4084507042253521;80.0952380952381;1.0
Author;0.0;0.63;0.63;0.815;1.0;0.0;0.05405405405405406;0.63;0.7937253933193772;0.0;63.0;0.63;0.63;1.0;0.0;0.45985401459854014;107.27027027027027;1.0
Article_NoTitle_NoJournal;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
UntitledEntry;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
Main;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
TitledEntry_NoTitle_NoArticle;0.0;0.54;0.54;0.77;1.0;0.0;0.043478260869565216;0.54;0.7348469228349533;0.0;54.0;0.54;0.54;1.0;0.0;0.3698630136986301;63.391304347826086;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
EXAM-WC;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.8888888888888888;1.0;0.1111111111111111;0.1111111111111111;1.0
EXAM-AVG;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.5555555555555556

OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.03926096997690531;0.15384615384615385;0.64;0.18803418803418803;0.15384615384615385;-0.04;0.010526315789473684;5.194535348813049E-6;0.1849000654084097;-0.04035182673625629;3.7349397590361444;0.04;0.3512570601866677;0.11910994764397906;0.1424097612838268;0.47058823529411764;0.4444444444444444;0.4530386740331491
TitledEntry_Title_NoArticle;0.02284263959390863;0.18947368421052632;0.23;0.5947368421052631;0.18947368421052635;0.09226037929267042;0.025974025974025976;0.18947368421052632;0.435285750066007;0.1074861545850028;17.072289156626507;0.18;0.26306504079450427;0.0;0.10747331914745208;0.12994350282485875;4.207792207792208;0.5157232704402516
Article_NoTitle_Journal;0.06542056074766354;0.16666666666666666;0.76;0.20833333333333331;0.25;0.06635071090047394;0.017543859649122806;6.666266690665227E-6;0.2041241452319315;0.06728281420951933;2.891566265060241;0.03;0.425818757032882;0.06224066390041494;0.17540185903351665;0.6129032258064516;0.375;0.6029411764705882
Article_Title_Journal;0.12917271407837447;0.2413793103448276;0.52;0.5095785440613027;0.24137931034482762;0.18200408997955012;0.02734375;1.1130874091641168E-4;0.43328912241312106;0.18774491245600855;13.46987951807229;0.14;0.4357264520194434;0.1141732283464567;0.28054782664011607;0.35135135135135137;4.083333333333333;0.5917525773195876
Author;0.22839506172839505;0.2857142857142857;0.55;0.6428571428571428;0.2857142857142857;0.34988179669030733;0.044444444444444446;0.2857142857142857;0.5345224838248488;0.35905411935692605;17.457831325301203;0.18;0.49328304906168774;0.0;0.3590347630640326;0.3793103448275862;7.2;0.6456692913385826
Article_NoTitle_NoJournal;0.12613981762917933;0.2222222222222222;0.77;0.26495726495726496;0.3076923076923077;0.12734944380514002;0.023255813953488372;1.2697324356325013E-5;0.26148818018424536;0.12847943167022877;3.891566265060241;0.04;0.4783161837176348;0.06601378309756982;0.22598247372125116;0.6260162601626016;0.6956521739130435;0.6693877551020408
UntitledEntry;0.19659735349716445;0.2894736842105263;0.66;0.45029239766081874;0.2894736842105263;0.21711899791231734;0.02925531914893617;6.400440096376874E-5;0.4205955120960299;0.2230809620917054;10.674698795180722;0.11;0.5114714250598038;0.11406518010291596;0.324415252352934;0.4925373134328358;3.5588235294117645;0.6498559077809798
Main;0.0;0.18;0.18;0.59;0.18000000000000005;0.0;0.024390243902439025;0.18;0.4242640687119285;0.0;17.012048192771083;0.18;0.18;0.0;0.0;0.0989010989010989;3.951219512195122;0.5
TitledEntry_NoTitle_NoArticle;0.2389649923896499;0.2962962962962963;0.6;0.5925925925925926;0.2962962962962963;0.31717171717171716;0.04040404040404041;3.364454537808058E-4;0.5132002392796673;0.3279749460075622;15.542168674698795;0.16;0.5153453671520263;0.0574468085106383;0.36764698103415344;0.42857142857142855;6.4;0.657314629258517
EXAM-BC;0.7777777777777778;0.6666666666666666;0.8888888888888888;0.2222222222222222;0.7777777777777778;0.6666666666666666;0.5555555555555556;0.2222222222222222;0.3333333333333333;0.6666666666666666;0.2222222222222222;0.1111111111111111;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.8888888888888888;0.3333333333333333;0.7777777777777778
EXAM-WC;0.7777777777777778;0.6666666666666666;0.8888888888888888;0.2222222222222222;0.7777777777777778;0.6666666666666666;0.5555555555555556;0.2222222222222222;0.3333333333333333;0.6666666666666666;0.2222222222222222;0.3333333333333333;0.8888888888888888;1.0;0.8888888888888888;0.8888888888888888;0.3333333333333333;0.7777777777777778
EXAM-AVG;0.7777777777777778;0.6666666666666666;0.8888888888888888;0.2222222222222222;0.7777777777777778;0.6666666666666666;0.5555555555555556;0.2222222222222222;0.3333333333333333;0.6666666666666666;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.3333333333333333;0.7777777777777778

OCL7;SrcPhDThesis.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] PhDThesis ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.school and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.19623059866962306;0.34615384615384615;0.71;0.3873626373626373;0.34615384615384615;0.19759977672341614;0.026905829596412557;3.969922689431478E-5;0.3851644432598216;0.1981424529612343;8.7875;0.09;0.5293890350327625;0.11773584905660377;0.31230875872885644;0.5503875968992248;2.793103448275862;0.6657303370786517
TitledEntry_Title_NoArticle;0.02759526938239159;0.22105263157894736;0.26;0.6105263157894737;0.2210526315789474;0.09840674789128398;0.02702702702702703;0.22105263157894736;0.47016234598162726;0.11828217483942162;20.075;0.21;0.29689174402253476;0.0;0.11826885188988133;0.14942528735632185;5.95945945945946;0.5163398692810457
Article_NoTitle_Journal;0.17739628040057226;0.23809523809523808;0.77;0.3273809523809524;0.41666666666666663;0.18268876611418047;0.029498525073746312;2.2318638741585874E-5;0.314970394174356;0.1873684778700824;4.9125;0.05;0.5103639554321612;0.0664819944598338;0.2719659526152108;0.6260162601626016;1.0869565217391304;0.7287822878228782
Article_Title_Journal;0.2862371888726208;0.3448275862068966;0.61;0.6486042692939245;0.3448275862068966;0.3819291819291819;0.04672897196261682;0.0010493729996327195;0.5730682550612528;0.3889958052017841;19.525;0.2;0.5549755892279428;0.03493975903614458;0.4078781252909026;0.43884892086330934;10.256410256410257;0.6644238856181665
