In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL7;SrcPhDThesis.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] PhDThesis ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.school and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.042027194066749075;0.03125;0.69;0.515625;0.03125;0.05978021978021978;0.06451612903225806;0.03125;0.17677669529663687;0.1465081788319221;0.69;0.01;0.2297411598203922;0.0;0.14647661997481332;0.5267175572519084;0.03225806451612903;0.7615384615384615
TitledEntry_Title_NoArticle;-0.020114942528735632;0.0;0.29;0.0;0.0;-0.06366530241018645;0.0;0.0;0.0;-0.15352206215727943;-0.7;0.0;0.0;0.033524904214559385;0.0;0.1695906432748538;0.0;0.0
Article_NoTitle_Journal;-0.019021739130434784;0.0;0.85;0.0;0.0;-0.021488871834228703;0.0;0.0;0.0;-0.040550591630206634;-0.14;0.0;0.0;0.010294117647058823;0.0;0.7391304347826086;0.0;0.0
Article_Title_Journal;0.009461856889414548;0.014705882352941176;0.33;0.5073529411764706;0.014705882352941124;0.028131868131868132;0.029850746268656716;0.014705882352941176;0.12126781251816648;0.06894502533266922;0.32999999999999996;0.01;0.09037657550435312;0.0;0.06893017410579451;0.19760479041916168;0.014925373134328358;0.5963855421686747
Author;0.006016217630133403;0.012987012987012988;0.24;0.5064935064935064;0.012987012987012991;0.02459893048128342;0.02631578947368421;0.012987012987012988;0.11396057645963795;0.05492890710151308;0.24;0.01;0.0708572969474715;0.0;0.0549157920387335;0.13636363636363635;0.013157894736842105;0.5657142857142857
Article_NoTitle_NoJournal;0.10828025477707007;0.06666666666666667;0.86;0.5333333333333333;0.06666666666666665;0.12372634643377002;0.14285714285714285;0.06666666666666667;0.2581988897471611;0.23924685418842448;0.86;0.01;0.42195444572928875;0.0;0.23917953306975012;0.7543859649122807;0.07142857142857142;0.8761061946902655
UntitledEntry;0.02;0.02;0.51;0.51;0.020000000000000018;0.038476337052712584;0.04081632653061224;0.02;0.1414213562373095;0.10050378152592121;0.51;0.01;0.1414213562373095;0.0;0.10048358356566195;0.3422818791946309;0.02040816326530612;0.6689189189189189
Main;0.0;0.01;0.01;0.505;0.010000000000000009;0.0;0.020202020202020204;0.01;0.1;0.0;0.010000000000000009;0.01;0.01;0.0;0.0;0.005025125628140704;0.010101010101010102;0.5
TitledEntry_NoTitle_NoArticle;0.009461856889414548;0.014705882352941176;0.33;0.5073529411764706;0.014705882352941124;0.028131868131868132;0.029850746268656716;0.014705882352941176;0.12126781251816648;0.06894502533266922;0.32999999999999996;0.01;0.09037657550435312;0.0;0.06893017410579451;0.19760479041916168;0.014925373134328358;0.5963855421686747
EXAM-BC;1.0;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.8888888888888888;1.0;0.8888888888888888;0.8888888888888888;0.8888888888888888;1.0;1.0;0.8888888888888888;0.8888888888888888;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.8888888888888888;0.8888888888888888
