;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL18;SrcArticle.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.journal and p.section.title = 'Journals List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;20.0;49.0;0.0;7.0;20.0;56.0;7.0;69.0;0.06993006993006994;0.2898550724637681;0.35526315789473684;0.644927536231884;1.0;0.17467248908296942;0.04081632653061224;0.2898550724637681;0.5383819020581655;0.19034674690672027;20.0;0.2631578947368421;0.3938056305439866;0.5882352941176471;0.19032087050774196;0.216;8.16326530612245;1.0;
TitledEntry_Title_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;20.0;49.0;0.0;7.0;20.0;56.0;7.0;69.0;0.06993006993006994;0.2898550724637681;0.35526315789473684;0.644927536231884;1.0;0.17467248908296942;0.04081632653061224;0.2898550724637681;0.5383819020581655;0.19034674690672027;20.0;0.2631578947368421;0.3938056305439866;0.5882352941176471;0.19032087050774196;0.216;8.16326530612245;1.0;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;29.0;40.0;0.0;7.0;29.0;47.0;7.0;69.0;0.11781775972141613;0.42028985507246375;0.47368421052631576;0.7101449275362319;1.0;0.2199349945828819;0.05;0.42028985507246375;0.648297659314349;0.2501926485606066;29.0;0.3815789473684211;0.5195068613319439;0.6744186046511628;0.2501618167145511;0.3103448275862069;21.025;1.0;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;;;69.0;0.0;3.0;4.0;72.0;4.0;7.0;69.0;0.7076923076923077;0.9583333333333334;0.9605263157894737;0.9791666666666667;0.9583333333333334;0.7159533073929961;0.6666666666666666;0.9583333333333334;0.978945010372561;0.7400128699009549;68.625;0.9078947368421053;0.9661450169473326;0.0;0.7398145103868151;0.9240506329113924;1587.0;0.7;
Author;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;X;;;44.0;25.0;2.0;5.0;46.0;30.0;7.0;69.0;0.14214046822742474;0.6376811594202898;0.6447368421052632;0.7971014492753623;0.9565217391304348;0.18250134192163178;0.06832298136645963;0.0038479579586742033;0.7809967295830422;0.2082264105852867;43.75;0.5789473684210527;0.6854334615853901;0.8455882352941176;0.2694364702932593;0.47572815533980584;71.70370370370371;0.6905829596412556;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;69.0;0.0;7.0;0.0;76.0;7.0;69.0;0.0;0.0;0.09210526315789473;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04827586206896552;0.0;0.0;
UntitledEntry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;20.0;49.0;0.0;7.0;20.0;56.0;7.0;69.0;0.06993006993006994;0.2898550724637681;0.35526315789473684;0.644927536231884;1.0;0.17467248908296942;0.04081632653061224;0.2898550724637681;0.5383819020581655;0.19034674690672027;20.0;0.2631578947368421;0.3938056305439866;0.5882352941176471;0.19032087050774196;0.216;8.16326530612245;1.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;69.0;0.0;7.0;0.0;76.0;0.0;7.0;69.0;0.0;0.9078947368421053;0.9078947368421053;0.9539473684210527;0.9078947368421053;0.0;0.2857142857142857;0.9078947368421053;0.9528351047490354;0.0;68.125;0.9078947368421053;0.9078947368421053;0.0;0.0;0.8313253012048193;680.1428571428571;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;20.0;49.0;0.0;7.0;20.0;56.0;7.0;69.0;0.06993006993006994;0.2898550724637681;0.35526315789473684;0.644927536231884;1.0;0.17467248908296942;0.04081632653061224;0.2898550724637681;0.5383819020581655;0.19034674690672027;20.0;0.2631578947368421;0.3938056305439866;0.5882352941176471;0.19032087050774196;0.216;8.16326530612245;1.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;
