;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL12;SrcProceedings.allInstances()->select(p|p.oclIsTypeOf(SrcProceedings))->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Proceedings ' + b.title + ' ' + b.year and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;X;;17.0;33.0;5.0;14.0;22.0;47.0;19.0;50.0;0.052745664739884394;0.34;0.4492753623188406;0.5563636363636364;0.7727272727272727;0.07358870967741936;0.03483606557377049;1.7505231883750724E-4;0.5125692857821981;0.07365475480528084;16.75;0.2463768115942029;0.46043611323307404;0.46688102893890676;0.24011045364380695;0.2897196261682243;7.605263157894737;0.5636998254799302;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;X;;X;;50.0;0.0;14.0;5.0;64.0;5.0;19.0;50.0;0.34106412005457026;0.78125;0.7971014492753623;0.890625;0.78125;0.3937007874015748;0.14285714285714285;0.78125;0.8838834764831843;0.4534226563187573;49.3;0.7246376811594203;0.8245864368725394;0.0;0.45334043438916627;0.6626506024096386;178.57142857142858;0.5757575757575757;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;50.0;0.0;19.0;0.0;69.0;19.0;50.0;0.0;0.0;0.2753623188405797;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15966386554621848;0.0;0.0;
Article_Title_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;X;;17.0;33.0;5.0;14.0;22.0;47.0;19.0;50.0;0.052745664739884394;0.34;0.4492753623188406;0.5563636363636364;0.7727272727272727;0.07358870967741936;0.03483606557377049;1.7505231883750724E-4;0.5125692857821981;0.07365475480528084;16.75;0.2463768115942029;0.46043611323307404;0.46688102893890676;0.24011045364380695;0.2897196261682243;7.605263157894737;0.5636998254799302;
Author;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;X;;X;;21.0;29.0;8.0;11.0;29.0;40.0;19.0;50.0;-7.840062720501764E-4;0.42;0.463768115942029;0.5720689655172414;0.7241379310344828;-9.478672985781991E-4;0.03384367445608381;1.899864640029502E-4;0.5514870180108347;-9.525969852639353E-4;20.6;0.30434782608695654;0.4945264327105377;0.6299625468164795;0.22002894370512466;0.3018867924528302;11.91891891891892;0.4993742177722153;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;50.0;0.0;19.0;0.0;69.0;19.0;50.0;0.0;0.0;0.2753623188405797;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15966386554621848;0.0;0.0;
UntitledEntry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;50.0;0.0;19.0;0.0;69.0;19.0;50.0;0.0;0.0;0.2753623188405797;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15966386554621848;0.0;0.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;50.0;0.0;19.0;0.0;69.0;0.0;19.0;50.0;0.0;0.7246376811594203;0.7246376811594203;0.8623188405797102;0.7246376811594203;0.0;0.10526315789473684;0.7246376811594203;0.8512565307587486;0.0;49.05;0.7246376811594203;0.7246376811594203;0.0;0.0;0.5681818181818182;131.57894736842104;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;X;;X;;21.0;29.0;8.0;11.0;29.0;40.0;19.0;50.0;-7.840062720501764E-4;0.42;0.463768115942029;0.5720689655172414;0.7241379310344828;-9.478672985781991E-4;0.03384367445608381;1.899864640029502E-4;0.5514870180108347;-9.525969852639353E-4;20.6;0.30434782608695654;0.4945264327105377;0.6299625468164795;0.22002894370512466;0.3018867924528302;11.91891891891892;0.4993742177722153;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;
