In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL8;SrcBook.allInstances()->select(b|b.oclIsTypeOf(SrcBook))->forAll(b | TrgPara.allInstances()->exists(p | p.content ='['+b.id+'] Book ' + b.title + ' ' + b.authors->iterate(e; str : String =  '' | str + e.author + ' ') + b.year + ' ' + b.publisher and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.019860440150295224;0.0;0.62;0.0;0.0;-0.030452674897119343;0.0;0.0;0.0;-0.07702168049109678;-0.015625;0.0;0.0;0.007956989247311828;0.0;0.4492753623188406;0.0;0.0
TitledEntry_Title_NoArticle;0.03567984570877531;0.38144329896907214;0.4;0.6907216494845361;0.38144329896907214;0.08466819221967964;0.03333333333333333;0.38144329896907214;0.6176109608556767;0.13477376086454984;36.0625;0.37;0.4420455178717105;0.0;0.1347573989172918;0.25;22.816666666666666;0.5121951219512195
Article_NoTitle_Journal;0.0;0.0;0.63;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45985401459854014;0.0;0.0
Article_Title_Journal;-0.13636363636363635;0.02702702702702703;0.55;0.06351351351351352;0.09999999999999998;-0.1671309192200557;0.002886002886002886;3.0863759341688356E-7;0.05198752449100364;-0.18641092980036003;0.859375;0.01;0.15648938665166298;0.08163265306122448;0.03727961213519767;0.3793103448275862;0.022222222222222223;0.15909090909090912
Author;-0.015847216578626575;0.3617021276595745;0.5;0.410580793559517;0.36170212765957444;-0.016175860638739114;0.016585365853658537;4.815752476321578E-5;0.40766096705449306;-0.01618477277365693;16.53125;0.17;0.44864356625068763;0.35471698113207545;0.2328020702861707;0.3333333333333333;5.78;0.49105914718019256
Article_NoTitle_NoJournal;0.0;0.0;0.63;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45985401459854014;0.0;0.0
UntitledEntry;-0.019860440150295224;0.0;0.62;0.0;0.0;-0.030452674897119343;0.0;0.0;0.0;-0.07702168049109678;-0.015625;0.0;0.0;0.007956989247311828;0.0;0.4492753623188406;0.0;0.0
Main;0.0;0.37;0.37;0.685;0.37;0.0;0.031746031746031744;0.37;0.6082762530298219;0.0;36.015625;0.37;0.37;0.0;0.0;0.22699386503067484;21.73015873015873;0.5
TitledEntry_NoTitle_NoArticle;0.5627376425855514;0.6166666666666667;0.77;0.8083333333333333;0.6166666666666667;0.6256605368843796;0.08695652173913043;0.6166666666666667;0.7852812659593164;0.6257270902992706;36.640625;0.37;0.7664281447343783;0.0;0.6257006363912566;0.6260162601626016;59.52173913043478;0.7325581395348837
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111

OCL9;SrcInBook.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] InBook ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.publisher + ' ' + b.chapter.toString() and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.020179372197309416;0.0;0.09;0.0;0.0;-0.18018018018018017;0.0;0.0;0.0;-0.3015113445777636;-0.09090909090909091;0.0;0.0;0.055248618784530384;0.0;0.04712041884816754;0.0;0.0
TitledEntry_Title_NoArticle;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;0.9278350515463918;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;89.36363636363636;0.9;0.9382888430983789;0.0;0.5274862709417402;0.8691588785046729;1157.142857142857;0.5882352941176471
Article_NoTitle_Journal;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Article_Title_Journal;-0.12195121951219512;0.044444444444444446;0.08;0.22222222222222224;0.4;-0.5555555555555556;0.005714285714285714;3.1005444556064047E-6;0.13333333333333333;-0.5555555555555556;3.4545454545454546;0.04;0.08;0.8143939393939394;0.017775802688590157;0.041666666666666664;0.17391304347826086;0.06896551724137932
Author;-0.16412213740458015;0.4222222222222222;0.39;0.6153664302600472;0.8085106382978724;-0.25361250368622823;0.023355869698832205;3.0829918343417106E-4;0.5842697650849605;-0.2871840640594752;37.18181818181818;0.38;0.4199558797686272;1.169937769267592;0.02537736194620041;0.2422360248447205;23.672131147540984;0.319327731092437
Article_NoTitle_NoJournal;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
UntitledEntry;-0.020179372197309416;0.0;0.09;0.0;0.0;-0.18018018018018017;0.0;0.0;0.0;-0.3015113445777636;-0.09090909090909091;0.0;0.0;0.055248618784530384;0.0;0.04712041884816754;0.0;0.0
Main;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
TitledEntry_NoTitle_NoArticle;0.19047619047619047;0.6444444444444445;0.66;0.8055555555555556;0.9666666666666667;0.24242424242424243;0.05523809523809524;0.005212788376907533;0.7892800282301351;0.2721655269759087;57.81818181818182;0.58;0.7005478017212866;0.8053691275167785;0.3156905312721029;0.4925373134328358;98.94117647058823;0.763157894736842
EXAM-BC;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.1111111111111111
EXAM-WC;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.1111111111111111
EXAM-AVG;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.1111111111111111

OCL10;SrcTechReport.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] TechReport ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and	p.section.title = 'Titles List'))
