In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL11;SrcManual.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['.concat(b.id).concat('] Manual ').concat(b.title) and p.section.title = 'References List')	and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.9054726368159204;0.875;0.9605263157894737;0.9375;1.0;0.9088639200998752;0.6666666666666666;0.875;0.9354143466934853;0.9095453409658737;21.0;0.27631578947368424;0.9474103297458336;0.168;0.9094695896995677;0.9240506329113924;147.0;1.0
TitledEntry_Title_NoArticle;0.07610993657505286;0.34285714285714286;0.39473684210526316;0.6714285714285715;0.34285714285714286;0.17266187050359713;0.043478260869565216;0.34285714285714286;0.5855400437691199;0.19889806323953876;23.132075471698112;0.3157894736842105;0.43902439024390244;0.0;0.1988705945061481;0.2459016393442623;12.521739130434783;0.5306122448979592
Article_NoTitle_Journal;0.9054726368159204;0.875;0.9605263157894737;0.9375;1.0;0.9088639200998752;0.6666666666666666;0.875;0.9354143466934853;0.9095453409658737;21.0;0.27631578947368424;0.9474103297458336;0.168;0.9094695896995677;0.9240506329113924;147.0;1.0
Article_Title_Journal;0.9116279069767442;0.8888888888888888;0.9605263157894737;0.9444444444444444;0.8888888888888888;0.9148191365227538;0.6666666666666666;0.8888888888888888;0.9428090415820634;0.9152086306448587;23.943396226415093;0.3157894736842105;0.9510546550405068;0.0;0.9151374111162126;0.9240506329113924;192.0;0.9454545454545454
Author;0.40550688360450565;0.4897959183673469;0.6710526315789473;0.7448979591836735;0.4897959183673469;0.5040840140023337;0.08;0.4897959183673469;0.6998542122237651;0.5042986332124731;23.528301886792452;0.3157894736842105;0.6642305208601783;0.0;0.5042593897987294;0.504950495049505;23.04;0.6753246753246753
Article_NoTitle_NoJournal;0.9054726368159204;0.875;0.9605263157894737;0.9375;1.0;0.9088639200998752;0.6666666666666666;0.875;0.9354143466934853;0.9095453409658737;21.0;0.27631578947368424;0.9474103297458336;0.168;0.9094695896995677;0.9240506329113924;147.0;1.0
UntitledEntry;0.8558421851289834;0.8275862068965517;0.9342105263157895;0.9137931034482758;0.8275862068965517;0.8640367675220222;0.4;0.8275862068965517;0.909717652294684;0.8648760663121483;23.90566037735849;0.3157894736842105;0.9201095601481998;0.0;0.8648097583988547;0.8765432098765432;115.2;0.9122807017543859
Main;0.0;0.3157894736842105;0.3157894736842105;0.6578947368421053;0.3157894736842105;0.0;0.038461538461538464;0.3157894736842105;0.5619514869490164;0.0;23.0188679245283;0.3157894736842105;0.3157894736842105;0.0;0.0;0.1875;11.076923076923077;0.5
TitledEntry_NoTitle_NoArticle;0.9054726368159204;0.875;0.9605263157894737;0.9375;1.0;0.9088639200998752;0.6666666666666666;0.875;0.9354143466934853;0.9095453409658737;21.0;0.27631578947368424;0.9474103297458336;0.168;0.9094695896995677;0.9240506329113924;147.0;1.0
EXAM-BC;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.4444444444444444;0.1111111111111111;0.8888888888888888;0.5555555555555556;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888
