;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL14;SrcInCollection.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] InCollection ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.booktitle + ' ' + b.publisher) and	TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;21.0;49.0;0.0;6.0;21.0;55.0;6.0;70.0;0.06338028169014084;0.3;0.35526315789473684;0.65;1.0;0.16;0.04081632653061224;0.3;0.5477225575051661;0.18090680674665816;21.0;0.27631578947368424;0.3967372509123941;0.6363636363636364;0.1808808364494171;0.216;9.0;1.0;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;70.0;0.0;0.0;6.0;70.0;6.0;6.0;70.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;70.0;0.9210526315789473;1.0;0.0;0.9997619614377529;1.0;1.0;1.0;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;21.0;49.0;0.0;6.0;21.0;55.0;6.0;70.0;0.06338028169014084;0.3;0.35526315789473684;0.65;1.0;0.16;0.04081632653061224;0.3;0.5477225575051661;0.18090680674665816;21.0;0.27631578947368424;0.3967372509123941;0.6363636363636364;0.1808808364494171;0.216;9.0;1.0;
Article_Title_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;26.0;44.0;1.0;5.0;27.0;49.0;6.0;70.0;0.04788418708240535;0.37142857142857144;0.40789473684210525;0.6671957671957671;0.962962962962963;0.09868043602983362;0.04133545310015898;0.001529944822404186;0.598056818096707;0.11537026334389275;25.857142857142858;0.34210526315789475;0.453895121420202;0.7476400251730648;0.1743735172423908;0.256198347107438;15.022222222222222;0.6902654867256638;
Author;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;48.0;22.0;1.0;5.0;49.0;27.0;6.0;70.0;0.19963369963369965;0.6857142857142857;0.6973684210526315;0.8326530612244898;0.9795918367346939;0.25014343086632246;0.08362369337979095;0.010312969992122037;0.8195853321150128;0.29245020242986763;47.857142857142854;0.631578947368421;0.7340792476257201;0.8415300546448088;0.32192033952441385;0.5353535353535354;100.17391304347827;0.8044692737430168;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;21.0;49.0;0.0;6.0;21.0;55.0;6.0;70.0;0.06338028169014084;0.3;0.35526315789473684;0.65;1.0;0.16;0.04081632653061224;0.3;0.5477225575051661;0.18090680674665816;21.0;0.27631578947368424;0.3967372509123941;0.6363636363636364;0.1808808364494171;0.216;9.0;1.0;
UntitledEntry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;29.0;41.0;0.0;6.0;29.0;47.0;6.0;70.0;0.10046189376443418;0.4142857142857143;0.4605263157894737;0.7071428571428572;1.0;0.195176668536175;0.04878048780487805;0.4142857142857143;0.6436503043467892;0.22997290708672832;29.0;0.3815789473684211;0.5071576691259394;0.7073170731707317;0.229942515966694;0.29914529914529914;20.51219512195122;1.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;70.0;0.0;6.0;0.0;76.0;0.0;6.0;70.0;0.0;0.9210526315789473;0.9210526315789473;0.9605263157894737;0.9210526315789473;0.0;0.3333333333333333;0.9210526315789473;0.9597148699373931;0.0;69.14285714285714;0.9210526315789473;0.9210526315789473;0.0;0.0;0.8536585365853658;816.6666666666666;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;21.0;49.0;0.0;6.0;21.0;55.0;6.0;70.0;0.06338028169014084;0.3;0.35526315789473684;0.65;1.0;0.16;0.04081632653061224;0.3;0.5477225575051661;0.18090680674665816;21.0;0.27631578947368424;0.3967372509123941;0.6363636363636364;0.1808808364494171;0.216;9.0;1.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;
