In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcAuthor.allInstances()->forAll(au|TrgArticle.allInstances()->exists(a|a.sections_1->at(2).paras->exists(p|p.content=au.author )))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.07124865059373875;0.275;0.34831460674157305;0.6375;1.0;0.1804922515952598;0.034482758620689655;0.275;0.5244044240850758;0.19219859132538586;22.0;0.24719101123595505;0.38344604034332097;0.55;0.19217993641979955;0.2108843537414966;8.344827586206897;1.0
TitledEntry_Title_NoArticle;0.07124865059373875;0.275;0.34831460674157305;0.6375;1.0;0.1804922515952598;0.034482758620689655;0.275;0.5244044240850758;0.19219859132538586;22.0;0.24719101123595505;0.38344604034332097;0.55;0.19217993641979955;0.2108843537414966;8.344827586206897;1.0
Article_NoTitle_Journal;0.0;0.0;0.10112359550561797;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05325443786982249;0.0;0.0
Article_Title_Journal;0.6920415224913494;0.9523809523809523;0.9550561797752809;0.9761904761904762;0.9523809523809523;0.7017543859649122;0.5;0.9523809523809523;0.9759000729485332;0.727392967453308;79.6;0.898876404494382;0.9615384615384616;0.0;0.7272607163706596;0.9139784946236559;1600.0;0.6923076923076923
Author;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;80.0;0.898876404494382;1.0;0.0;0.9998611303985557;1.0;1.0;1.0
Article_NoTitle_NoJournal;0.0;0.0;0.10112359550561797;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05325443786982249;0.0;0.0
UntitledEntry;0.06315789473684211;0.25;0.3258426966292135;0.625;1.0;0.17142857142857143;0.03333333333333333;0.25;0.5;0.1805787796286538;20.0;0.2247191011235955;0.35771454532153124;0.5263157894736842;0.18056066550386177;0.19463087248322147;6.666666666666667;1.0
Main;0.0;0.898876404494382;0.898876404494382;0.949438202247191;0.898876404494382;0.0;0.2222222222222222;0.898876404494382;0.9480909262799544;0.0;79.1;0.898876404494382;0.898876404494382;0.0;0.0;0.8163265306122449;711.1111111111111;0.5
TitledEntry_NoTitle_NoArticle;0.07124865059373875;0.275;0.34831460674157305;0.6375;1.0;0.1804922515952598;0.034482758620689655;0.275;0.5244044240850758;0.19219859132538586;22.0;0.24719101123595505;0.38344604034332097;0.55;0.19217993641979955;0.2108843537414966;8.344827586206897;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.5555555555555556
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.33333333333333337

OCL4;SrcAuthor.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.author and p.section.title = 'Authors List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.07124865059373875;0.275;0.34831460674157305;0.6375;1.0;0.1804922515952598;0.034482758620689655;0.275;0.5244044240850758;0.19219859132538586;22.0;0.24719101123595505;0.38344604034332097;0.55;0.19217993641979955;0.2108843537414966;8.344827586206897;1.0
TitledEntry_Title_NoArticle;0.07124865059373875;0.275;0.34831460674157305;0.6375;1.0;0.1804922515952598;0.034482758620689655;0.275;0.5244044240850758;0.19219859132538586;22.0;0.24719101123595505;0.38344604034332097;0.55;0.19217993641979955;0.2108843537414966;8.344827586206897;1.0
Article_NoTitle_Journal;0.0;0.0;0.10112359550561797;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05325443786982249;0.0;0.0
Article_Title_Journal;0.6920415224913494;0.9523809523809523;0.9550561797752809;0.9761904761904762;0.9523809523809523;0.7017543859649122;0.5;0.9523809523809523;0.9759000729485332;0.727392967453308;79.6;0.898876404494382;0.9615384615384616;0.0;0.7272607163706596;0.9139784946236559;1600.0;0.6923076923076923
Author;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;80.0;0.898876404494382;1.0;0.0;0.9998611303985557;1.0;1.0;1.0
Article_NoTitle_NoJournal;0.0;0.0;0.10112359550561797;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05325443786982249;0.0;0.0
UntitledEntry;0.06315789473684211;0.25;0.3258426966292135;0.625;1.0;0.17142857142857143;0.03333333333333333;0.25;0.5;0.1805787796286538;20.0;0.2247191011235955;0.35771454532153124;0.5263157894736842;0.18056066550386177;0.19463087248322147;6.666666666666667;1.0
Main;0.0;0.898876404494382;0.898876404494382;0.949438202247191;0.898876404494382;0.0;0.2222222222222222;0.898876404494382;0.9480909262799544;0.0;79.1;0.898876404494382;0.898876404494382;0.0;0.0;0.8163265306122449;711.1111111111111;0.5
TitledEntry_NoTitle_NoArticle;0.07124865059373875;0.275;0.34831460674157305;0.6375;1.0;0.1804922515952598;0.034482758620689655;0.275;0.5244044240850758;0.19219859132538586;22.0;0.24719101123595505;0.38344604034332097;0.55;0.19217993641979955;0.2108843537414966;8.344827586206897;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.5555555555555556
