;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL5;SrcBooklet.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['.concat(b.id).concat('] Booklet ').concat(b.year) and p.section.title = 'References List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;21.0;39.0;0.0;7.0;21.0;46.0;7.0;60.0;0.10113519091847266;0.35;0.417910447761194;0.675;1.0;0.21212121212121213;0.05128205128205128;0.35;0.5916079783099616;0.23078316568852544;21.0;0.31343283582089554;0.45926726628042386;0.6;0.2307469394918119;0.2641509433962264;11.307692307692308;1.0;
TitledEntry_Title_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;;29.0;31.0;1.0;6.0;30.0;37.0;7.0;60.0;0.1176954732510288;0.48333333333333334;0.5223880597014925;0.725;0.9666666666666667;0.1869281045751634;0.05858585858585859;0.002697510015428089;0.683536555146996;0.2094353094947193;28.875;0.43283582089552236;0.5686802905736491;0.7282693813625685;0.2548000520231167;0.35353535353535354;26.28125;0.7718631178707225;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;21.0;39.0;0.0;7.0;21.0;46.0;7.0;60.0;0.10113519091847266;0.35;0.417910447761194;0.675;1.0;0.21212121212121213;0.05128205128205128;0.35;0.5916079783099616;0.23078316568852544;21.0;0.31343283582089554;0.45926726628042386;0.6;0.2307469394918119;0.2641509433962264;11.307692307692308;1.0;
Article_Title_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;X;;26.0;34.0;1.0;6.0;27.0;40.0;7.0;60.0;0.09424488219389726;0.43333333333333335;0.47761194029850745;0.6981481481481482;0.962962962962963;0.16266666666666665;0.053169734151329244;0.001979003823341706;0.6459751934999393;0.1811437306295321;25.875;0.3880597014925373;0.5237447012308241;0.7072419106317411;0.2315920232286872;0.3137254901960784;19.314285714285713;0.7520661157024794;
Author;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;X;;29.0;31.0;2.0;5.0;31.0;36.0;7.0;60.0;0.06983592763988221;0.48333333333333334;0.5074626865671642;0.7094086021505376;0.935483870967742;0.10807291666666667;0.05365402405180388;0.0013525292779970343;0.6724213988522441;0.12123313891699546;28.75;0.43283582089552236;0.5543045745066628;0.7883511074651354;0.21176190225244618;0.34;25.484848484848484;0.628482972136223;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;21.0;39.0;0.0;7.0;21.0;46.0;7.0;60.0;0.10113519091847266;0.35;0.417910447761194;0.675;1.0;0.21212121212121213;0.05128205128205128;0.35;0.5916079783099616;0.23078316568852544;21.0;0.31343283582089554;0.45926726628042386;0.6;0.2307469394918119;0.2641509433962264;11.307692307692308;1.0;
UntitledEntry;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;60.0;0.0;0.0;7.0;60.0;7.0;7.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;60.0;0.8955223880597015;1.0;0.0;0.9997619614377529;1.0;1.0;1.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;60.0;0.0;7.0;0.0;67.0;0.0;7.0;60.0;0.0;0.8955223880597015;0.8955223880597015;0.9477611940298507;0.8955223880597015;0.0;0.2857142857142857;0.8955223880597015;0.9463204468147677;0.0;59.125;0.8955223880597015;0.8955223880597015;0.0;0.0;0.8108108108108109;514.2857142857143;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;21.0;39.0;0.0;7.0;21.0;46.0;7.0;60.0;0.10113519091847266;0.35;0.417910447761194;0.675;1.0;0.21212121212121213;0.05128205128205128;0.35;0.5916079783099616;0.23078316568852544;21.0;0.31343283582089554;0.45926726628042386;0.6;0.2307469394918119;0.2641509433962264;11.307692307692308;1.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;
