In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL5;SrcBooklet.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['.concat(b.id).concat('] Booklet ').concat(b.year) and p.section.title = 'References List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.560546875;0.5;0.91;0.6388888888888888;0.7777777777777778;0.5674740484429066;0.15384615384615385;3.4972022382094326E-4;0.6236095644623235;0.5780384103983451;6.977011494252873;0.07;0.776390356163619;0.04522613065326633;0.5920772839251284;0.8348623853211009;5.444444444444445;0.9555555555555555
TitledEntry_Title_NoArticle;0.010019083969465648;0.14432989690721648;0.17;0.5721649484536082;0.14432989690721654;0.05618729096989967;0.024096385542168676;0.14432989690721648;0.37990774789048;0.07095606982915963;13.045977011494253;0.14;0.1979183813353104;0.0;0.07094408432106188;0.09289617486338798;2.36144578313253;0.5088757396449705
Article_NoTitle_Journal;0.0;0.0;0.86;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7543859649122807;0.0;0.0
Article_Title_Journal;0.8094512195121951;0.7647058823529411;0.95;0.8466386554621849;0.7647058823529411;0.8122370936902485;0.3561643835616438;0.0042004274991300885;0.8426648406178138;0.8147938951913788;12.954022988505747;0.13;0.9012826453192115;0.033663366336633666;0.8178000550139158;0.9047619047619048;33.8;0.9522998296422488
Author;0.32088285229202035;0.30434782608695654;0.68;0.6521739130434783;0.30434782608695654;0.40997830802603036;0.0625;0.30434782608695654;0.5516772843673704;0.4371522885184592;13.632183908045977;0.14;0.5645989216408245;0.0;0.4371270119214176;0.5151515151515151;6.125;0.728813559322034
Article_NoTitle_NoJournal;0.0;0.0;0.86;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7543859649122807;0.0;0.0
UntitledEntry;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;14.0;0.14;1.0;0.0;0.9999169504194004;1.0;1.0;1.0
Main;0.0;0.14;0.14;0.5700000000000001;0.14;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;13.011494252873563;0.14;0.14;0.0;0.0;0.07526881720430108;2.2790697674418605;0.5
TitledEntry_NoTitle_NoArticle;0.1677762982689747;0.21875;0.5;0.609375;0.21875;0.28734321550741165;0.04;0.21875;0.46770717334674267;0.30260496929472336;13.425287356321839;0.14;0.4216306280713203;0.0;0.3025868017808619;0.3333333333333333;3.92;0.6323529411764706
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.33333333333333337;0.1111111111111111;0.6666666666666666;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111

OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.028122415219189414;0.10416666666666667;0.53;0.3298611111111111;0.5555555555555556;0.041025641025641026;0.017271157167530225;1.4532686919419157E-5;0.24056261216234406;0.0475603094104086;4.9245283018867925;0.05;0.3036204825840075;0.08533627342888644;0.16784817599087729;0.36054421768707484;0.5319148936170213;0.5752212389380531
TitledEntry_Title_NoArticle;0.05551272166538165;0.4948453608247423;0.51;0.7474226804123711;0.4948453608247423;0.10333692142088267;0.04081632653061224;0.4948453608247423;0.7034524581126591;0.1689638151108457;47.075471698113205;0.48;0.5504587155963303;0.0;0.168943991901532;0.3422818791946309;47.02040816326531;0.5148514851485149
Article_NoTitle_Journal;0.0;0.0;0.52;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35135135135135137;0.0;0.0
Article_Title_Journal;0.11668036154478226;0.22916666666666666;0.57;0.4381127450980392;0.6470588235294117;0.14538008702329153;0.023991275899672846;5.448992476787742E-5;0.3850770231077027;0.15133261708934947;10.88679245283019;0.11;0.4378676687184114;0.15390261805725472;0.2696134651974709;0.3986013986013986;2.813953488372093;0.6651162790697674
Author;0.2375601926163724;0.5833333333333334;0.62;0.5960144927536233;0.6086956521739131;0.23775100401606425;0.03139013452914798;2.1766604254260593E-4;0.595879571531124;0.23775169425278764;27.660377358490567;0.28;0.6076588998710796;0.36334913112164297;0.3823150731807688;0.4492753623188406;20.63157894736842;0.6275862068965518
Article_NoTitle_NoJournal;0.0;0.0;0.52;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35135135135135137;0.0;0.0
UntitledEntry;0.05271828665568369;0.16666666666666666;0.54;0.369047619047619;0.5714285714285714;0.06918918918918919;0.018867924528301886;2.6661867530511174E-5;0.3086066999241838;0.07383706676633772;7.886792452830188;0.08;0.37144152287658566;0.13096351730589337;0.21226932215313324;0.3698630136986301;1.391304347826087;0.5909090909090908
Main;0.0;0.48;0.48;0.74;0.48;0.0;0.038461538461538464;0.48;0.6928203230275508;0.0;47.0188679245283;0.48;0.48;0.0;0.0;0.3157894736842105;44.30769230769231;0.5
TitledEntry_NoTitle_NoArticle;0.6044303797468354;0.71875;0.8;0.8385416666666667;0.71875;0.6366666666666667;0.09274193548387097;0.005828623056666557;0.8299410119600871;0.6371766120160759;45.660377358490564;0.46;0.8105117468952033;0.1523809523809524;0.6521614312774974;0.6666666666666666;105.8;0.7346437346437347
EXAM-BC;0.4444444444444444;0.3333333333333333;0.4444444444444444;0.2222222222222222;0.6666666666666666;0.4444444444444444;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.2222222222222222;0.4444444444444444
EXAM-WC;0.4444444444444444;0.3333333333333333;0.4444444444444444;0.2222222222222222;0.6666666666666666;0.4444444444444444;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.3333333333333333;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.2222222222222222;0.4444444444444444
EXAM-AVG;0.4444444444444444;0.3333333333333333;0.4444444444444444;0.2222222222222222;0.6666666666666666;0.4444444444444444;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.3333333333333333;0.1111111111111111;0.16666666666666666;0.3333333333333333;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.2222222222222222;0.4444444444444444

OCL10;SrcTechReport.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] TechReport ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and	p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.13941018766756033;0.025;0.15;0.1236111111111111;0.2222222222222222;-0.4299297230260438;0.003169572107765452;7.325773867279687E-7;0.07453559924999299;-0.454256762579498;1.6666666666666667;0.02;0.07708029413434797;0.30857142857142855;0.022710854175303153;0.08108108108108109;0.047058823529411764;0.06666666666666667
TitledEntry_Title_NoArticle;0.22018348623853212;0.8247422680412371;0.83;0.9123711340206185;0.8247422680412371;0.25383395029085143;0.11764705882352941;0.8247422680412371;0.9081532183729997;0.35172622905632955;79.19047619047619;0.8;0.8488780529547502;0.0;0.3516746902177275;0.7094017094017094;376.47058823529414;0.5405405405405405
Article_NoTitle_Journal;0.0;0.0;0.2;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0
Article_Title_Journal;-0.10315186246418338;0.125;0.23;0.35661764705882354;0.5882352941176471;-0.2391232148787778;0.011428571428571429;2.040454041833389E-5;0.2711630722733202;-0.23959569062925096;9.666666666666666;0.1;0.21749362512788495;0.45576407506702415;0.08651490811635178;0.12994350282485875;1.2987012987012987;0.2631578947368421
