In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.04612756264236902;0.2872340425531915;0.33;0.6436170212765957;1.0;0.12781065088757396;0.029850746268656716;0.2872340425531915;0.5359422007578722;0.15364985346600668;27.0;0.27;0.3722355058924345;0.6923076923076923;0.15363528183727737;0.19760479041916168;10.880597014925373;1.0
TitledEntry_Title_NoArticle;0.03951701427003293;0.2553191489361702;0.3;0.6276595744680851;1.0;0.12060301507537688;0.02857142857142857;0.2553191489361702;0.5052911526399114;0.1419745572840903;24.0;0.24;0.33962264150943394;0.6666666666666666;0.14196056090368328;0.17647058823529413;8.228571428571428;1.0
Article_NoTitle_Journal;0.7844827586206896;0.9680851063829787;0.97;0.9840425531914894;1.0;0.789587852494577;0.6666666666666666;0.9680851063829787;0.9839131599805843;0.8033617310539418;91.0;0.91;0.9744390746288646;0.883495145631068;0.8032435451336347;0.941747572815534;2760.3333333333335;1.0
Article_Title_Journal;0.4845360824742268;0.9591836734693877;0.96;0.9795918367346939;0.9591836734693877;0.49473684210526314;0.5;0.9591836734693877;0.9793792286287206;0.5654448612875199;93.42857142857143;0.94;0.9641934193716236;0.0;0.5652748443960417;0.9230769230769231;2209.0;0.6000000000000001
Author;-0.021863117870722433;0.5851063829787234;0.57;0.7586548864046159;0.9322033898305084;-0.030841434797184042;0.04109077325364214;0.001932425785267569;0.7385378484710405;-0.03938223374445027;54.42857142857143;0.55;0.6036431224682078;0.996535296665223;0.09416684482217724;0.3986013986013986;70.34883720930233;0.4674220963172805
Article_NoTitle_NoJournal;0.023668639053254437;0.30851063829787234;0.34;0.6375886524822695;0.9666666666666667;0.06006006006006006;0.02837573385518591;0.0012883853819580088;0.5461015934371644;0.0735090461893295;28.857142857142858;0.29;0.3834172570045373;0.7677165354330708;0.13322290485732644;0.20481927710843373;12.742424242424242;0.6492537313432836
UntitledEntry;0.03336864406779661;0.22340425531914893;0.27;0.6117021276595744;1.0;0.11336032388663968;0.0273972602739726;0.22340425531914893;0.4726565934366609;0.1302590181000573;21.0;0.21;0.3062483315388626;0.6363636363636364;0.13024555329221307;0.15606936416184972;6.041095890410959;1.0
Main;0.0;0.94;0.94;0.97;0.94;0.0;0.3333333333333333;0.94;0.9695359714832658;0.0;93.14285714285714;0.94;0.94;0.0;0.0;0.8867924528301887;1472.6666666666667;0.5
TitledEntry_NoTitle_NoArticle;0.03336864406779661;0.22340425531914893;0.27;0.6117021276595744;1.0;0.11336032388663968;0.0273972602739726;0.22340425531914893;0.4726565934366609;0.1302590181000573;21.0;0.21;0.3062483315388626;0.6363636363636364;0.13024555329221307;0.15606936416184972;6.041095890410959;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.33333333333333337;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.33333333333333337

OCL18;SrcArticle.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.04153354632587859;0.2857142857142857;0.34;0.6243386243386243;0.962962962962963;0.1025089605734767;0.028169014084507043;0.0010361868324565598;0.5245305283129621;0.1125513670840928;25.9;0.26;0.37982867450611596;0.6409788166544923;0.16369819516032066;0.20481927710843373;10.242424242424242;0.72
TitledEntry_Title_NoArticle;0.06057206954570948;0.26373626373626374;0.33;0.6318681318681318;1.0;0.16345062429057888;0.029850746268656716;0.26373626373626374;0.5135525910130955;0.17672556682259666;24.0;0.24;0.3661121979663779;0.5714285714285714;0.17671110878053042;0.19760479041916168;8.597014925373134;1.0
Article_NoTitle_Journal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;91.0;0.91;1.0;0.0;0.9998779147845196;1.0;1.0;1.0
Article_Title_Journal;0.34210526315789475;0.9285714285714286;0.93;0.9642857142857143;0.9285714285714286;0.3586206896551724;0.2857142857142857;0.9285714285714286;0.9636241116594315;0.45425676257949793;90.3;0.91;0.9372145152772898;0.0;0.45414341218599985;0.8691588785046729;1183.0;0.5625
Author;0.014547160957297044;0.5934065934065934;0.58;0.7543304153473644;0.9152542372881356;0.019147621988882025;0.04094010614101592;0.0015718117448188427;0.7369653309689014;0.02202428451657867;53.5;0.54;0.620585712797929;0.9433880726015558;0.15344862890176877;0.4084507042253521;69.42857142857143;0.5164718384697131
Article_NoTitle_NoJournal;0.05120481927710843;0.31868131868131866;0.37;0.6426739926739926;0.9666666666666667;0.11647824597464886;0.02972834443874936;0.0013506395061252546;0.5550302767044407;0.12962755308030863;28.9;0.29;0.4124863230489374;0.6647605432451751;0.17688999607585904;0.22699386503067484;13.34920634920635;0.7414772727272727
UntitledEntry;0.051233396584440226;0.23076923076923078;0.3;0.6153846153846154;1.0;0.15254237288135594;0.02857142857142857;0.23076923076923078;0.48038446141526137;0.1621424235993525;21.0;0.21;0.33172774294868096;0.5384615384615384;0.16212851465210368;0.17647058823529413;6.3;1.0
Main;0.0;0.91;0.91;0.9550000000000001;0.91;0.0;0.2222222222222222;0.91;0.9539392014169457;0.0;90.1;0.91;0.91;0.0;0.0;0.8348623853211009;920.1111111111111;0.5
TitledEntry_NoTitle_NoArticle;0.051233396584440226;0.23076923076923078;0.3;0.6153846153846154;1.0;0.15254237288135594;0.02857142857142857;0.23076923076923078;0.48038446141526137;0.1621424235993525;21.0;0.21;0.33172774294868096;0.5384615384615384;0.16212851465210368;0.17647058823529413;6.3;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.4444444444444444
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.2777777777777778

