;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;21.0;45.0;1.0;5.0;22.0;50.0;6.0;66.0;0.03496503496503497;0.3181818181818182;0.3611111111111111;0.6363636363636364;0.9545454545454546;0.08021390374331551;0.03977272727272727;9.769454173284863E-4;0.5511070751355519;0.09090909090909091;20.857142857142858;0.2916666666666667;0.4045072388764009;0.7071428571428572;0.15906680805938495;0.22033898305084745;9.58695652173913;0.65625;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;;;;66.0;0.0;1.0;5.0;67.0;5.0;6.0;66.0;0.9016393442622951;0.9850746268656716;0.9861111111111112;0.9925373134328358;0.9850746268656716;0.9028727770177839;2.0;0.9850746268656716;0.9925092578236596;0.9060328484045486;65.85714285714286;0.9166666666666666;0.9882582116192798;0.0;0.905784160464262;0.9726027397260274;4356.0;0.8571428571428571;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;66.0;0.0;6.0;0.0;72.0;6.0;66.0;0.0;0.0;0.08333333333333333;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;
Article_Title_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;21.0;45.0;1.0;5.0;22.0;50.0;6.0;66.0;0.03496503496503497;0.3181818181818182;0.3611111111111111;0.6363636363636364;0.9545454545454546;0.08021390374331551;0.03977272727272727;9.769454173284863E-4;0.5511070751355519;0.09090909090909091;20.857142857142858;0.2916666666666667;0.4045072388764009;0.7071428571428572;0.15906680805938495;0.22033898305084745;9.58695652173913;0.65625;
Author;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;;X;;44.0;22.0;2.0;4.0;46.0;26.0;6.0;66.0;0.13253012048192772;0.6666666666666666;0.6666666666666666;0.8115942028985508;0.9565217391304348;0.1658291457286432;0.07692307692307693;0.004370282081843465;0.7985494095046906;0.1918053639991929;43.714285714285715;0.6111111111111112;0.7046753551875267;0.8784722222222222;0.2557033298244899;0.5;80.66666666666667;0.6666666666666666;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;66.0;0.0;6.0;0.0;72.0;6.0;66.0;0.0;0.0;0.08333333333333333;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;
UntitledEntry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;;;;23.0;43.0;1.0;5.0;24.0;48.0;6.0;66.0;0.043478260869565216;0.3484848484848485;0.3888888888888889;0.6534090909090909;0.9583333333333334;0.09302325581395349;0.04189435336976321;0.0012258394914967522;0.577896743774047;0.10660035817780521;22.857142857142858;0.3194444444444444;0.4338928744786463;0.7247191011235955;0.17023925602612178;0.2413793103448276;12.022727272727273;0.6764705882352942;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;66.0;0.0;6.0;0.0;72.0;0.0;6.0;66.0;0.0;0.9166666666666666;0.9166666666666666;0.9583333333333333;0.9166666666666666;0.0;0.3333333333333333;0.9166666666666666;0.9574271077563381;0.0;65.14285714285714;0.9166666666666666;0.9166666666666666;0.0;0.0;0.8461538461538461;726.0;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;;X;;26.0;40.0;2.0;4.0;28.0;44.0;6.0;66.0;0.015625;0.3939393939393939;0.4166666666666667;0.6612554112554112;0.9285714285714286;0.029484029484029485;0.04153354632587859;8.431366679638E-4;0.6048147367590061;0.034360406637202474;25.714285714285715;0.3611111111111111;0.46290213255349427;0.8187134502923976;0.1488737814125984;0.2631578947368421;16.095238095238095;0.5416666666666666;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;
