In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;TrgBook.allInstances()->forAll(b | b.articles->exists(a | a.title = 'BibTeXML to DocBook'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.2619047619047619;0.2619047619047619;0.6309523809523809;1.0;0.0;0.03225806451612903;0.2619047619047619;0.511766315719159;0.0;22.0;0.2619047619047619;0.2619047619047619;1.0;0.0;0.1506849315068493;7.806451612903226;1.0
TitledEntry_Title_NoArticle;0.0;0.9166666666666666;0.9166666666666666;0.9583333333333333;1.0;0.0;0.2857142857142857;0.9166666666666666;0.9574271077563381;0.0;77.0;0.9166666666666666;0.9166666666666666;1.0;0.0;0.8461538461538461;847.0;1.0
Article_NoTitle_Journal;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Article_Title_Journal;0.0;0.38095238095238093;0.38095238095238093;0.6904761904761905;1.0;0.0;0.038461538461538464;0.38095238095238093;0.6172133998483676;0.0;32.0;0.38095238095238093;0.38095238095238093;1.0;0.0;0.23529411764705882;19.692307692307693;1.0
Author;0.0;0.6666666666666666;0.6666666666666666;0.8333333333333333;1.0;0.0;0.07142857142857142;0.6666666666666666;0.8164965809277259;0.0;56.0;0.6666666666666666;0.6666666666666666;1.0;0.0;0.5;112.0;1.0
Article_NoTitle_NoJournal;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UntitledEntry;0.0;0.39285714285714285;0.39285714285714285;0.6964285714285714;1.0;0.0;0.0392156862745098;0.39285714285714285;0.6267831705280087;0.0;33.0;0.39285714285714285;0.39285714285714285;1.0;0.0;0.24444444444444444;21.352941176470587;1.0
Main;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;84.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
TitledEntry_NoTitle_NoArticle;0.0;0.3333333333333333;0.3333333333333333;0.6666666666666666;1.0;0.0;0.03571428571428571;0.3333333333333333;0.5773502691896257;0.0;28.0;0.3333333333333333;0.3333333333333333;1.0;0.0;0.2;14.0;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
EXAM-WC;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666;1.0;0.1111111111111111;0.1111111111111111;0.7777777777777778
EXAM-AVG;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.38888888888888884;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.4444444444444444

OCL8;SrcBook.allInstances()->select(b|b.oclIsTypeOf(SrcBook))->forAll(b | TrgPara.allInstances()->exists(p | p.content ='['+b.id+'] Book ' + b.title + ' ' + b.authors->iterate(e; str : String =  '' | str + e.author + ' ') + b.year + ' ' + b.publisher and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.04564315352697095;0.0;0.7142857142857143;0.0;0.0;-0.05759162303664921;0.0;0.0;0.0;-0.0930301170323837;-0.26506024096385544;0.0;0.0;0.028205128205128206;0.0;0.5555555555555556;0.0;0.0
TitledEntry_Title_NoArticle;0.004424778761061947;0.025974025974025976;0.10714285714285714;0.512987012987013;0.025974025974025983;0.03982930298719772;0.02666666666666667;0.025974025974025976;0.16116459280507606;0.047088160934801115;1.0963855421686746;0.023809523809523808;0.07111146306137711;0.0;0.04707232843925023;0.05660377358490566;0.05333333333333334;0.5222929936305732
Article_NoTitle_Journal;0.0;0.0;0.9761904761904762;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9534883720930233;0.0;0.0
Article_Title_Journal;0.07624633431085044;0.0625;0.6428571428571429;0.53125;0.0625;0.1137855579868709;0.06666666666666667;0.0625;0.25;0.19908326484529887;1.6385542168674698;0.023809523809523808;0.2890664900169207;0.0;0.19904516238301148;0.47368421052631576;0.13333333333333333;0.7321428571428572
Author;0.024096385542168676;0.03571428571428571;0.35714285714285715;0.5178571428571429;0.0357142857142857;0.06466512702078522;0.037037037037037035;0.03571428571428571;0.1889822365046136;0.11043152607484655;1.3493975903614457;0.023809523809523808;0.14938279148428105;0.0;0.11040975336492219;0.21739130434782608;0.07407407407407407;0.6029411764705882
Article_NoTitle_NoJournal;0.0;0.0;0.9761904761904762;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9534883720930233;0.0;0.0
UntitledEntry;0.07264957264957266;0.06060606060606061;0.6309523809523809;0.5303030303030303;0.06060606060606055;0.11044937736870601;0.06451612903225806;0.06060606060606061;0.24618298195866545;0.19414946125026822;1.6265060240963856;0.023809523809523808;0.2807341976587887;0.0;0.19411251336802082;0.4608695652173913;0.12903225806451613;0.7256637168141593
Main;0.0;0.023809523809523808;0.023809523809523808;0.5119047619047619;0.023809523809523836;0.0;0.024390243902439025;0.023809523809523808;0.1543033499620919;0.0;1.0120481927710845;0.023809523809523808;0.023809523809523808;0.0;0.0;0.012048192771084338;0.04878048780487805;0.5
TitledEntry_NoTitle_NoArticle;0.09302325581395349;0.07142857142857142;0.6904761904761905;0.5357142857142857;0.0714285714285714;0.12933025404157045;0.07692307692307693;0.07142857142857142;0.2672612419124244;0.2208630521496931;1.6867469879518073;0.023809523809523808;0.32612817909332953;0.0;0.22081950672984438;0.5272727272727272;0.15384615384615385;0.7592592592592592
EXAM-BC;0.5555555555555556;0.5555555555555556;0.8888888888888888;0.5555555555555556;0.7777777777777778;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.1111111111111111;0.5555555555555556;0.2222222222222222;0.5555555555555556;0.8888888888888888;0.5555555555555556;0.5555555555555556
EXAM-WC;0.5555555555555556;0.5555555555555556;0.8888888888888888;0.5555555555555556;0.7777777777777778;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.6666666666666666;0.5555555555555556;1.0;0.5555555555555556;0.8888888888888888;0.5555555555555556;0.5555555555555556
EXAM-AVG;0.5555555555555556;0.5555555555555556;0.8888888888888888;0.5555555555555556;0.7777777777777778;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.38888888888888884;0.5555555555555556;0.6111111111111112;0.5555555555555556;0.8888888888888888;0.5555555555555556;0.5555555555555556

OCL9;SrcInBook.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] InBook ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.publisher + ' ' + b.chapter.toString() and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.04702970297029703;0.28;0.34523809523809523;0.6172727272727273;0.9545454545454546;0.1118195193722413;0.0332541567695962;8.142600757760398E-4;0.5169842621131975;0.11880802590133725;20.9;0.25;0.38175489957647374;0.5922233300099701;0.17506726677007167;0.20863309352517986;8.018181818181818;0.7159090909090909
TitledEntry_Title_NoArticle;0.8620689655172413;0.974025974025974;0.9761904761904762;0.987012987012987;0.974025974025974;0.8649093904448105;1.0;0.974025974025974;0.9869275424396534;0.8703882797784892;74.8;0.8928571428571429;0.9799825605013986;0.0;0.870244003553491;0.9534883720930233;2812.5;0.8181818181818181
Article_NoTitle_Journal;0.0;0.0;0.10714285714285714;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05660377358490566;0.0;0.0
Article_Title_Journal;0.017191977077363897;0.38666666666666666;0.4166666666666667;0.6464583333333334;0.90625;0.030782385634886705;0.03417796110783736;6.084230051900436E-4;0.5919600211726014;0.03396831102433787;28.7;0.34523809523809523;0.4626657177589464;0.773109243697479;0.16416467995955508;0.2631578947368421;17.163265306122447;0.5370370370370371
Author;0.1935483870967742;0.7066666666666667;0.7023809523809523;0.8265476190476191;0.9464285714285714;0.22469906375390103;0.0727522306108442;0.004229568129323299;0.8178077547990872;0.24494897427831783;52.7;0.6309523809523809;0.7391283146901102;0.850828729281768;0.309072234634206;0.5412844036697247;112.36;0.6794871794871795
Article_NoTitle_NoJournal;0.0;0.0;0.10714285714285714;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05660377358490566;0.0;0.0
UntitledEntry;0.06259097525473072;0.41333333333333333;0.4523809523809524;0.6763636363636364;0.9393939393939394;0.10941475826972011;0.03870162297128589;0.001089091294409369;0.6231234454607115;0.12103076153061473;30.8;0.36904761904761907;0.49853331822167135;0.728184553660983;0.20357528189925342;0.2923076923076923;20.891304347826086;0.6503496503496503
Main;0.0;0.8928571428571429;0.8928571428571429;0.9464285714285714;0.8928571428571429;0.0;0.2222222222222222;0.8928571428571429;0.944911182523068;0.0;74.1;0.8928571428571429;0.8928571428571429;0.0;0.0;0.8064516129032258;625.0;0.5
TitledEntry_NoTitle_NoArticle;0.03773584905660377;0.3466666666666667;0.39285714285714285;0.6376190476190476;0.9285714285714286;0.07489968791796701;0.03416557161629435;6.883896366809843E-4;0.5673665146135802;0.08164965809277261;25.8;0.30952380952380953;0.43640640607705483;0.6950354609929078;0.17689039843844495;0.24444444444444444;13.254901960784315;0.609375
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.8333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111

OCL10;SrcTechReport.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] TechReport ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and	p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;22.0;0.2619047619047619;1.0;0.0;0.9999266915915256;1.0;1.0;1.0
