;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL9;SrcInBook.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] InBook ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.publisher + ' ' + b.chapter.toString() and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;X;;21.0;54.0;1.0;8.0;22.0;62.0;9.0;75.0;0.04702970297029703;0.28;0.34523809523809523;0.6172727272727273;0.9545454545454546;0.1118195193722413;0.0332541567695962;8.142600757760398E-4;0.5169842621131975;0.11880802590133725;20.9;0.25;0.38175489957647374;0.5922233300099701;0.17506726677007167;0.20863309352517986;8.018181818181818;0.7159090909090909;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;X;;X;;75.0;0.0;2.0;7.0;77.0;7.0;9.0;75.0;0.8620689655172413;0.974025974025974;0.9761904761904762;0.987012987012987;0.974025974025974;0.8649093904448105;1.0;0.974025974025974;0.9869275424396534;0.8703882797784892;74.8;0.8928571428571429;0.9799825605013986;0.0;0.870244003553491;0.9534883720930233;2812.5;0.8181818181818181;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;75.0;0.0;9.0;0.0;84.0;9.0;75.0;0.0;0.0;0.10714285714285714;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05660377358490566;0.0;0.0;
Article_Title_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;X;X;X;;29.0;46.0;3.0;6.0;32.0;52.0;9.0;75.0;0.017191977077363897;0.38666666666666666;0.4166666666666667;0.6464583333333334;0.90625;0.030782385634886705;0.03417796110783736;6.084230051900436E-4;0.5919600211726014;0.03396831102433787;28.7;0.34523809523809523;0.4626657177589464;0.773109243697479;0.16416467995955508;0.2631578947368421;17.163265306122447;0.5370370370370371;
Author;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;X;X;X;;53.0;22.0;3.0;6.0;56.0;28.0;9.0;75.0;0.1935483870967742;0.7066666666666667;0.7023809523809523;0.8265476190476191;0.9464285714285714;0.22469906375390103;0.0727522306108442;0.004229568129323299;0.8178077547990872;0.24494897427831783;52.7;0.6309523809523809;0.7391283146901102;0.850828729281768;0.309072234634206;0.5412844036697247;112.36;0.6794871794871795;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;75.0;0.0;9.0;0.0;84.0;9.0;75.0;0.0;0.0;0.10714285714285714;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05660377358490566;0.0;0.0;
UntitledEntry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;X;;;;31.0;44.0;2.0;7.0;33.0;51.0;9.0;75.0;0.06259097525473072;0.41333333333333333;0.4523809523809524;0.6763636363636364;0.9393939393939394;0.10941475826972011;0.03870162297128589;0.001089091294409369;0.6231234454607115;0.12103076153061473;30.8;0.36904761904761907;0.49853331822167135;0.728184553660983;0.20357528189925342;0.2923076923076923;20.891304347826086;0.6503496503496503;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;75.0;0.0;9.0;0.0;84.0;0.0;9.0;75.0;0.0;0.8928571428571429;0.8928571428571429;0.9464285714285714;0.8928571428571429;0.0;0.2222222222222222;0.8928571428571429;0.944911182523068;0.0;74.1;0.8928571428571429;0.8928571428571429;0.0;0.0;0.8064516129032258;625.0;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;X;;X;;26.0;49.0;2.0;7.0;28.0;56.0;9.0;75.0;0.03773584905660377;0.3466666666666667;0.39285714285714285;0.6376190476190476;0.9285714285714286;0.07489968791796701;0.03416557161629435;6.883896366809843E-4;0.5673665146135802;0.08164965809277261;25.8;0.30952380952380953;0.43640640607705483;0.6950354609929078;0.17689039843844495;0.24444444444444444;13.254901960784315;0.609375;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;
