;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL5;SrcBooklet.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['.concat(b.id).concat('] Booklet ').concat(b.year) and p.section.title = 'References List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;21.0;40.0;0.0;7.0;21.0;47.0;7.0;61.0;0.09754479097544791;0.3442622950819672;0.4117647058823529;0.6721311475409836;1.0;0.2079207920792079;0.05;0.3442622950819672;0.5867386940384682;0.2264356592459883;21.0;0.3088235294117647;0.4529866329376849;0.6;0.22640078495279467;0.25925925925925924;11.025;1.0;
TitledEntry_Title_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;;26.0;35.0;1.0;6.0;27.0;41.0;7.0;61.0;0.08996282527881042;0.4262295081967213;0.47058823529411764;0.6945962355798421;0.962962962962963;0.1577574967405476;0.05168986083499006;0.0019225737460609991;0.6406584348272965;0.17599390286230232;25.875;0.38235294117647056;0.51671362686678;0.7073353293413174;0.22686823226409916;0.3076923076923077;18.77777777777778;0.7489711934156379;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;61.0;0.0;7.0;0.0;68.0;7.0;61.0;0.0;0.0;0.10294117647058823;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05426356589147287;0.0;0.0;
Article_Title_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;X;;23.0;38.0;1.0;6.0;24.0;44.0;7.0;61.0;0.07012622720897616;0.3770491803278688;0.4264705882352941;0.667691256830601;0.9583333333333334;0.13486176668914363;0.047276464542651594;0.0013869007356603902;0.6011146295127142;0.14892036890780566;22.875;0.3382352941176471;0.47116736774267637;0.6826347305389222;0.20547950900848727;0.27102803738317754;13.564102564102564;0.7252252252252253;
Author;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;X;;26.0;35.0;2.0;5.0;28.0;40.0;7.0;61.0;0.04552352048558422;0.4262295081967213;0.45588235294117646;0.677400468384075;0.9285714285714286;0.07756948933419522;0.047186932849364795;9.634597898061394E-4;0.6291140940445754;0.08676174966202671;25.75;0.38235294117647056;0.5026998977042669;0.7716535433070866;0.1879566118602153;0.29523809523809524;18.27027027027027;0.5986842105263158;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;X;;21.0;40.0;1.0;6.0;22.0;46.0;7.0;61.0;0.05810810810810811;0.3442622950819672;0.39705882352941174;0.6494038748137109;0.9545454545454546;0.11952744961779013;0.044633368756641874;0.0010989230056167177;0.5732486449542448;0.13082605856683635;20.875;0.3088235294117647;0.4400817263510476;0.6636500754147813;0.1916462342706337;0.24770642201834864;10.75609756097561;0.7067307692307693;
UntitledEntry;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;;61.0;0.0;1.0;6.0;62.0;6.0;7.0;61.0;0.915;0.9838709677419355;0.9852941176470589;0.9919354838709677;0.9838709677419355;0.9161451814768461;2.0;0.9838709677419355;0.9919027007433417;0.9183234573668639;60.875;0.8970588235294118;0.9876742744306236;0.0;0.9180931004187324;0.9710144927536232;3721.0;0.875;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;7.0;0.0;68.0;0.0;7.0;61.0;0.0;0.8970588235294118;0.8970588235294118;0.9485294117647058;0.8970588235294118;0.0;0.2857142857142857;0.8970588235294118;0.9471318934179188;0.0;60.125;0.8970588235294118;0.8970588235294118;0.0;0.0;0.8133333333333334;531.5714285714286;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;23.0;38.0;0.0;7.0;23.0;45.0;7.0;61.0;0.11080523055746731;0.3770491803278688;0.4411764705882353;0.6885245901639344;1.0;0.22024623803009577;0.05263157894736842;0.3770491803278688;0.6140433049287882;0.24218194548245847;23.0;0.3382352941176471;0.48431627711715775;0.6216216216216216;0.24214552108905024;0.2830188679245283;13.921052631578947;1.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;
