;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL26;SrcArticle.allInstances()->iterate(e; a : Sequence(SrcArticle) = Sequence {} | if a->collect(ee | ee.journal)->includes(e.journal) then	a else a->including(e) endif ) -> size() = TrgSect1.allInstances()->select(s | s.title = 'Journals List') -> asSequence() -> first().paras -> size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;20.0;48.0;0.0;4.0;20.0;52.0;4.0;68.0;0.04424778761061947;0.29411764705882354;0.3333333333333333;0.6470588235294118;1.0;0.12195121951219512;0.041666666666666664;0.29411764705882354;0.5423261445466404;0.1504142093990467;20.0;0.2777777777777778;0.37617188637323057;0.7142857142857143;0.1503859341723051;0.2;8.333333333333334;1.0;
TitledEntry_Title_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;20.0;48.0;0.0;4.0;20.0;52.0;4.0;68.0;0.04424778761061947;0.29411764705882354;0.3333333333333333;0.6470588235294118;1.0;0.12195121951219512;0.041666666666666664;0.29411764705882354;0.5423261445466404;0.1504142093990467;20.0;0.2777777777777778;0.37617188637323057;0.7142857142857143;0.1503859341723051;0.2;8.333333333333334;1.0;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;29.0;39.0;0.0;4.0;29.0;43.0;4.0;68.0;0.07631578947368421;0.4264705882352941;0.4583333333333333;0.7132352941176471;1.0;0.15273206056616195;0.05128205128205128;0.4264705882352941;0.6530471562110152;0.19917751536390593;29.0;0.4027777777777778;0.5048897193781037;0.7837837837837838;0.19914332150875125;0.2972972972972973;21.564102564102566;1.0;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;68.0;0.0;0.0;4.0;68.0;4.0;4.0;68.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;68.0;0.9444444444444444;1.0;0.0;0.9996324880558617;1.0;1.0;1.0;
Author;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;46.0;22.0;0.0;4.0;46.0;26.0;4.0;68.0;0.1885245901639344;0.6764705882352942;0.6944444444444444;0.8382352941176471;1.0;0.2506811989100817;0.09090909090909091;0.6764705882352942;0.8224783208299743;0.32260253903223585;46.0;0.6388888888888888;0.7302753421751154;0.8518518518518519;0.32254598786123656;0.5319148936170213;96.18181818181819;1.0;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;68.0;0.0;4.0;0.0;72.0;4.0;68.0;0.0;0.0;0.05555555555555555;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02857142857142857;0.0;0.0;
UntitledEntry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;20.0;48.0;0.0;4.0;20.0;52.0;4.0;68.0;0.04424778761061947;0.29411764705882354;0.3333333333333333;0.6470588235294118;1.0;0.12195121951219512;0.041666666666666664;0.29411764705882354;0.5423261445466404;0.1504142093990467;20.0;0.2777777777777778;0.37617188637323057;0.7142857142857143;0.1503859341723051;0.2;8.333333333333334;1.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;68.0;0.0;4.0;0.0;72.0;0.0;4.0;68.0;0.0;0.9444444444444444;0.9444444444444444;0.9722222222222222;0.9444444444444444;0.0;0.5;0.9444444444444444;0.9718253158075502;0.0;67.2;0.9444444444444444;0.9444444444444444;0.0;0.0;0.8947368421052632;1156.0;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;20.0;48.0;0.0;4.0;20.0;52.0;4.0;68.0;0.04424778761061947;0.29411764705882354;0.3333333333333333;0.6470588235294118;1.0;0.12195121951219512;0.041666666666666664;0.29411764705882354;0.5423261445466404;0.1504142093990467;20.0;0.2777777777777778;0.37617188637323057;0.7142857142857143;0.1503859341723051;0.2;8.333333333333334;1.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;
