;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL24;SrcTitledEntry.allInstances()->iterate(e; te : Sequence(SrcTitledEntry) = Sequence {} |	if te->collect(ee | ee.title)->includes(e.title) then	te else	te->including(e) endif) -> size() = TrgSect1.allInstances()->select(s | s.title = 'Titles List') -> asSequence() -> first().paras -> size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;21.0;50.0;0.0;5.0;21.0;55.0;5.0;71.0;0.05236907730673317;0.29577464788732394;0.34210526315789475;0.647887323943662;1.0;0.1390728476821192;0.04;0.29577464788732394;0.5438516782058542;0.16397745074672032;21.0;0.27631578947368424;0.3845922889582617;0.6774193548387096;0.16395184655067974;0.20634920634920634;8.82;1.0;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;71.0;0.0;0.0;5.0;71.0;5.0;5.0;71.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;71.0;0.9342105263157895;1.0;0.0;0.9997183891861446;1.0;1.0;1.0;
Article_NoTitle_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;21.0;50.0;1.0;4.0;22.0;54.0;5.0;71.0;0.017241379310344827;0.29577464788732394;0.32894736842105265;0.6251600512163893;0.9545454545454546;0.0440699935191186;0.035866780529461996;8.793408731994449E-4;0.5313476693377204;0.052354801845069986;20.833333333333332;0.27631578947368424;0.3716515138991168;0.7565337001375516;0.12932724308139437;0.1968503937007874;8.647058823529411;0.5965909090909091;
Article_Title_Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;23.0;48.0;1.0;4.0;24.0;52.0;5.0;71.0;0.023084994753410283;0.323943661971831;0.35526315789473684;0.6411384976525822;0.9583333333333334;0.05489706799750468;0.03761242845461979;0.0010982942182802664;0.5571768205782356;0.0661045277962161;22.833333333333332;0.3026315789473684;0.39944844644238936;0.7721179624664879;0.13819779561931117;0.216;10.795918367346939;0.6182795698924732;
Author;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;;49.0;22.0;1.0;4.0;50.0;26.0;5.0;71.0;0.16603053435114504;0.6901408450704225;0.6973684210526315;0.8350704225352112;0.98;0.21027190332326284;0.08368915456874466;0.010741383629791348;0.8223977311307552;0.25613173750158263;48.833333333333336;0.6447368421052632;0.7325581395348837;0.8744038155802861;0.28847374610418886;0.5353535353535354;104.3913043478261;0.7753164556962026;
Article_NoTitle_NoJournal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;71.0;0.0;5.0;0.0;76.0;5.0;71.0;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0;
UntitledEntry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;29.0;42.0;0.0;5.0;29.0;47.0;5.0;71.0;0.0832854681217691;0.4084507042253521;0.4473684210526316;0.704225352112676;1.0;0.16880093131548313;0.047619047619047616;0.4084507042253521;0.6391014819458269;0.20845191910166025;29.0;0.3815789473684211;0.49422936525924765;0.7435897435897436;0.20842195637284036;0.288135593220339;20.023809523809526;1.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;71.0;0.0;5.0;0.0;76.0;0.0;5.0;71.0;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5;
TitledEntry_NoTitle_NoArticle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;26.0;45.0;0.0;5.0;26.0;50.0;5.0;71.0;0.07065217391304347;0.36619718309859156;0.40789473684210525;0.6830985915492958;1.0;0.15709969788519637;0.044444444444444446;0.36619718309859156;0.6051422833504461;0.19136279238623988;26.0;0.34210526315789475;0.453895121420202;0.7222222222222222;0.19133462751808447;0.256198347107438;15.022222222222222;1.0;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;
