In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL4;SrcOutgoing.allInstances()->forAll(o|TrgSIPMethodName.allInstances()->exists(smn|smn.name=SIPMethod::NOTIFY and TrgMethod.allInstances()->one(m|m.direction=Direction::out and m.methodName = smn)))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.06557377049180328;0.0;0.87;0.0;0.0;-0.06606110652353427;0.0;0.0;0.0;-0.06765100914917382;-0.08333333333333333;0.0;0.0;0.02554278416347382;0.0;0.7699115044247787;0.0;0.0
SubCall2Return;-0.09979633401221996;0.0;0.46;0.0;0.0;-0.16476126429051782;0.0;0.0;0.0;-0.22487239817113244;-0.5104166666666666;0.0;0.0;0.09027266028002948;0.0;0.2987012987012987;0.0;0.0
Busy2SelectCase;-0.0759493670886076;0.0;0.83;0.0;0.0;-0.07838014369693011;0.0;0.0;0.0;-0.08471737420873575;-0.125;0.0;0.0;0.03285870755750274;0.0;0.7094017094017094;0.0;0.0
SubAction2Function;-0.06870229007633588;0.0;0.86;0.0;0.0;-0.0695517774343122;0.0;0.0;0.0;-0.07214791053658227;-0.09375;0.0;0.0;0.027539779681762546;0.0;0.7543859649122807;0.0;0.0
Redirect2Return;-0.09660574412532637;0.0;0.58;0.0;0.0;-0.13186029935851745;0.0;0.0;0.0;-0.17581413440897828;-0.3854166666666667;0.0;0.0;0.06786500366837858;0.0;0.4084507042253521;0.0;0.0
StringSwitch2SelectStat;-0.09510086455331412;0.0;0.62;0.0;0.0;-0.12285927029039465;0.0;0.0;0.0;-0.16100626228959244;-0.34375;0.0;0.0;0.061890472618154536;0.0;0.4492753623188406;0.0;0.0
NoAnswer2SelectCase;-0.0738255033557047;0.0;0.84;0.0;0.0;-0.07565337001375516;0.0;0.0;0.0;-0.08065374517945526;-0.11458333333333333;0.0;0.0;0.031179138321995464;0.0;0.7241379310344828;0.0;0.0
CPL2Program;0.12556053811659193;0.11363636363636363;0.61;0.5568181818181818;0.11363636363636365;0.1905410003402518;0.05128205128205128;0.11363636363636363;0.337099931231621;0.2588158533262875;4.59375;0.05;0.35784711394720947;0.0;0.2587919320924523;0.43884892086330934;0.6410256410256411;0.7089552238805971
Outgoing2Method;-0.05263157894736842;0.0;0.9;0.0;0.0;-0.05263157894736842;0.0;0.0;0.0;-0.05263157894736842;-0.052083333333333336;0.0;0.0;0.018518518518518517;0.0;0.8181818181818182;0.0;0.0
Proxy2Select;-0.08597285067873303;0.0;0.76;0.0;0.0;-0.09433962264150944;0.0;0.0;0.0;-0.1111111111111111;-0.19791666666666666;0.0;0.0;0.04310344827586207;0.0;0.6129032258064516;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.95;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9047619047619048;0.0;0.0
AddressSwitch2SelectStat;-0.08597285067873303;0.0;0.76;0.0;0.0;-0.09433962264150944;0.0;0.0;0.0;-0.1111111111111111;-0.19791666666666666;0.0;0.0;0.04310344827586207;0.0;0.6129032258064516;0.0;0.0
Proxy2Return;-0.046511627906976744;0.0;0.91;0.0;0.0;-0.046565774155995346;0.0;0.0;0.0;-0.0468292905790847;-0.041666666666666664;0.0;0.0;0.015698587127158554;0.0;0.8348623853211009;0.0;0.0
