;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL11;SrcSubAction.allInstances()->size() + SrcOutgoing.allInstances()->size() + SrcCPL.allInstances()->size() = TrgLocalFunctionDeclaration.allInstances()->size() + TrgMethod.allInstances()->select(m|m.direction=Direction::out)->size() + TrgProgram.allInstances()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;5.0;8.0;87.0;8.0;92.0;95.0;5.0;-0.06557377049180328;0.0;0.87;0.0;0.0;-0.06606110652353427;0.0;0.0;0.0;-0.06765100914917382;-0.08333333333333333;0.0;0.0;0.02554278416347382;0.0;0.7699115044247787;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;0.0;5.0;49.0;46.0;49.0;51.0;95.0;5.0;-0.09979633401221996;0.0;0.46;0.0;0.0;-0.16476126429051782;0.0;0.0;0.0;-0.22487239817113244;-0.5104166666666666;0.0;0.0;0.09027266028002948;0.0;0.2987012987012987;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;;;;;X;X;;;;;;;;0.0;5.0;12.0;83.0;12.0;88.0;95.0;5.0;-0.0759493670886076;0.0;0.83;0.0;0.0;-0.07838014369693011;0.0;0.0;0.0;-0.08471737420873575;-0.125;0.0;0.0;0.03285870755750274;0.0;0.7094017094017094;0.0;0.0;
SubAction2Function;;;;;;;;;;;;;;;;X;;;;;;;X;;;X;;;;X;;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;5.0;9.0;86.0;9.0;91.0;95.0;5.0;-0.06870229007633588;0.0;0.86;0.0;0.0;-0.0695517774343122;0.0;0.0;0.0;-0.07214791053658227;-0.09375;0.0;0.0;0.027539779681762546;0.0;0.7543859649122807;0.0;0.0;
Redirect2Return;;;X;;;;;X;X;;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;;X;;;X;;X;X;;;X;X;X;0.0;5.0;37.0;58.0;37.0;63.0;95.0;5.0;-0.09660574412532637;0.0;0.58;0.0;0.0;-0.13186029935851745;0.0;0.0;0.0;-0.17581413440897828;-0.3854166666666667;0.0;0.0;0.06786500366837858;0.0;0.4084507042253521;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;0.0;5.0;33.0;62.0;33.0;67.0;95.0;5.0;-0.09510086455331412;0.0;0.62;0.0;0.0;-0.12285927029039465;0.0;0.0;0.0;-0.16100626228959244;-0.34375;0.0;0.0;0.061890472618154536;0.0;0.4492753623188406;0.0;0.0;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;X;;;X;;;;0.0;5.0;11.0;84.0;11.0;89.0;95.0;5.0;-0.0738255033557047;0.0;0.84;0.0;0.0;-0.07565337001375516;0.0;0.0;0.0;-0.08065374517945526;-0.11458333333333333;0.0;0.0;0.031179138321995464;0.0;0.7241379310344828;0.0;0.0;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;5.0;0.0;39.0;56.0;44.0;56.0;95.0;5.0;0.12556053811659193;0.11363636363636363;0.61;0.5568181818181818;0.11363636363636365;0.1905410003402518;0.05128205128205128;0.11363636363636363;0.337099931231621;0.2588158533262875;4.59375;0.05;0.35784711394720947;0.0;0.2587919320924523;0.43884892086330934;0.6410256410256411;0.7089552238805971;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;0.0;5.0;5.0;90.0;5.0;95.0;95.0;5.0;-0.05263157894736842;0.0;0.9;0.0;0.0;-0.05263157894736842;0.0;0.0;0.0;-0.05263157894736842;-0.052083333333333336;0.0;0.0;0.018518518518518517;0.0;0.8181818181818182;0.0;0.0;
Proxy2Select;X;;;;;;;;;;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;;;X;;;;;X;;;;;X;X;X;;;X;;;;0.0;5.0;19.0;76.0;19.0;81.0;95.0;5.0;-0.08597285067873303;0.0;0.76;0.0;0.0;-0.09433962264150944;0.0;0.0;0.0;-0.1111111111111111;-0.19791666666666666;0.0;0.0;0.04310344827586207;0.0;0.6129032258064516;0.0;0.0;
