In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL32;SrcFailure.allInstances()->size()+SrcNotPresent.allInstances()->size()+SrcBusy.allInstances()->size()+SrcNoAnswer.allInstances()->size()+SrcRedirect.allInstances()->size()+SrcRedirection.allInstances()->size()=TrgErrorResponse.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.11514522821576763;0.0;0.57;0.0;0.0;-0.1533678756476684;0.0;0.0;0.0;-0.19361646458830867;-0.09375;0.0;0.0;0.04868421052631579;0.0;0.3986013986013986;0.0;0.0
SubCall2Return;-0.4955357142857143;0.0;0.33;0.0;0.0;-0.5010155721056195;0.0;0.0;0.0;-0.5016977977548923;-0.46875;0.0;0.0;0.32342657342657344;0.0;0.19760479041916168;0.0;0.0
Busy2SelectCase;-0.18686868686868688;0.0;0.53;0.0;0.0;-0.2290312596719282;0.0;0.0;0.0;-0.25545201491160446;-0.15625;0.0;0.0;0.08310871518418689;0.0;0.36054421768707484;0.0;0.0
SubAction2Function;-0.2042147516307075;0.0;0.52;0.0;0.0;-0.2459214501510574;0.0;0.0;0.0;-0.26942129951579635;-0.171875;0.0;0.0;0.09208144796380091;0.0;0.35135135135135137;0.0;0.0
Redirect2Return;-0.3659915214319359;0.0;0.42;0.0;0.0;-0.3894736842105263;0.0;0.0;0.0;-0.39511788552268245;-0.328125;0.0;0.0;0.19473684210526315;0.0;0.26582278481012656;0.0;0.0
StringSwitch2SelectStat;-0.11974405850091407;0.1891891891891892;0.51;0.2292099792099792;0.2692307692307693;-0.12314923619271445;0.009440323668240054;8.595900071433683E-6;0.22568905807670636;-0.12371649874826245;6.703125;0.07;0.3337858946125983;0.2116115029842648;0.1454308488355803;0.3422818791946309;1.0;0.3854895104895105
NoAnswer2SelectCase;-0.16929334011184544;0.0;0.54;0.0;0.0;-0.21142857142857144;0.0;0.0;0.0;-0.2410078263677067;-0.140625;0.0;0.0;0.07429718875502007;0.0;0.3698630136986301;0.0;0.0
CPL2Program;-0.5090989791389259;0.0;0.32;0.0;0.0;-0.5131991051454139;0.0;0.0;0.0;-0.5136731776386136;-0.484375;0.0;0.0;0.3413690476190476;0.0;0.19047619047619047;0.0;0.0
Outgoing2Method;-0.15148413510747186;0.0;0.55;0.0;0.0;-0.19302249755461362;0.0;0.0;0.0;-0.2259860686936615;-0.125;0.0;0.0;0.06563192904656319;0.0;0.3793103448275862;0.0;0.0
Proxy2Select;-0.2713936430317848;0.0;0.48;0.0;0.0;-0.30782029950083195;0.0;0.0;0.0;-0.3219339320149913;-0.234375;0.0;0.0;0.12991573033707865;0.0;0.3157894736842105;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.63;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45985401459854014;0.0;0.0
AddressSwitch2SelectStat;-0.28765792031098153;0.0;0.47;0.0;0.0;-0.3221768707482993;0.0;0.0;0.0;-0.33446519850326156;-0.25;0.0;0.0;0.13995271867612294;0.0;0.30718954248366015;0.0;0.0
Proxy2Return;-0.07781282860147214;0.0;0.59;0.0;0.0;-0.10902394106813997;0.0;0.0;0.0;-0.15643177257481763;-0.0625;0.0;0.0;0.03215993046501521;0.0;0.41843971631205673;0.0;0.0
Default2SelectDefault;-0.1334363730036064;0.0;0.56;0.0;0.0;-0.17370892018779344;0.0;0.0;0.0;-0.21025103048118227;-0.109375;0.0;0.0;0.05709876543209876;0.0;0.3888888888888889;0.0;0.0
