;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL32;SrcFailure.allInstances()->size()+SrcNotPresent.allInstances()->size()+SrcBusy.allInstances()->size()+SrcNoAnswer.allInstances()->size()+SrcRedirect.allInstances()->size()+SrcRedirection.allInstances()->size()=TrgErrorResponse.allInstances()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;37.0;6.0;57.0;6.0;94.0;63.0;37.0;-0.11514522821576763;0.0;0.57;0.0;0.0;-0.1533678756476684;0.0;0.0;0.0;-0.19361646458830867;-0.09375;0.0;0.0;0.04868421052631579;0.0;0.3986013986013986;0.0;0.0;
SubCall2Return;;;;;;;;;;;X;;;;;;X;;;;;X;X;;X;;;;X;;;;;;;X;;;;;;X;;;;X;;X;;X;;X;;;X;;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;;;X;;;;;;X;;;;;X;X;X;;0.0;37.0;30.0;33.0;30.0;70.0;63.0;37.0;-0.4955357142857143;0.0;0.33;0.0;0.0;-0.5010155721056195;0.0;0.0;0.0;-0.5016977977548923;-0.46875;0.0;0.0;0.32342657342657344;0.0;0.19760479041916168;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;;;;;;;;;0.0;37.0;10.0;53.0;10.0;90.0;63.0;37.0;-0.18686868686868688;0.0;0.53;0.0;0.0;-0.2290312596719282;0.0;0.0;0.0;-0.25545201491160446;-0.15625;0.0;0.0;0.08310871518418689;0.0;0.36054421768707484;0.0;0.0;
SubAction2Function;;;;;;X;;;;;;;;;;;;;;;;;X;;;X;;;;;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;0.0;37.0;11.0;52.0;11.0;89.0;63.0;37.0;-0.2042147516307075;0.0;0.52;0.0;0.0;-0.2459214501510574;0.0;0.0;0.0;-0.26942129951579635;-0.171875;0.0;0.0;0.09208144796380091;0.0;0.35135135135135137;0.0;0.0;
Redirect2Return;;;;;;X;;;;;;;;;;;;X;X;X;;;;;X;;;;X;;;;;;;;;;;;;X;;;;;X;;;;;X;;;X;;;;;;X;;;;;;;;;;;X;X;X;X;;;X;;;;;X;;;;;X;;;;X;;;;;;X;X;;0.0;37.0;21.0;42.0;21.0;79.0;63.0;37.0;-0.3659915214319359;0.0;0.42;0.0;0.0;-0.3894736842105263;0.0;0.0;0.0;-0.39511788552268245;-0.328125;0.0;0.0;0.19473684210526315;0.0;0.26582278481012656;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;;;;X;X;;;;;X;;;;;;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;;;;X;;;;;X;;X;X;;;;X;X;;;;;X;;;;;;;;;X;;;;;;;;;X;X;;X;;7.0;30.0;19.0;44.0;26.0;74.0;63.0;37.0;-0.11974405850091407;0.1891891891891892;0.51;0.2292099792099792;0.2692307692307693;-0.12314923619271445;0.009440323668240054;8.595900071433683E-6;0.22568905807670636;-0.12371649874826245;6.703125;0.07;0.3337858946125983;0.2116115029842648;0.1454308488355803;0.3422818791946309;1.0;0.3854895104895105;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;;;;;X;;;;0.0;37.0;9.0;54.0;9.0;91.0;63.0;37.0;-0.16929334011184544;0.0;0.54;0.0;0.0;-0.21142857142857144;0.0;0.0;0.0;-0.2410078263677067;-0.140625;0.0;0.0;0.07429718875502007;0.0;0.3698630136986301;0.0;0.0;
CPL2Program;;;;;;X;;;;;;;;;;;X;;X;X;;;X;;;X;;;;;X;;X;;;;X;X;;;;X;X;;;X;;X;X;X;;X;;;X;;;;;X;;;;X;X;;X;;;X;;;X;;X;;;;X;X;;;X;;;;X;X;;;X;;;;;;;;;;0.0;37.0;31.0;32.0;31.0;69.0;63.0;37.0;-0.5090989791389259;0.0;0.32;0.0;0.0;-0.5131991051454139;0.0;0.0;0.0;-0.5136731776386136;-0.484375;0.0;0.0;0.3413690476190476;0.0;0.19047619047619047;0.0;0.0;
Outgoing2Method;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;0.0;37.0;8.0;55.0;8.0;92.0;63.0;37.0;-0.15148413510747186;0.0;0.55;0.0;0.0;-0.19302249755461362;0.0;0.0;0.0;-0.2259860686936615;-0.125;0.0;0.0;0.06563192904656319;0.0;0.3793103448275862;0.0;0.0;
Proxy2Select;;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;;;;;X;;;;0.0;37.0;15.0;48.0;15.0;85.0;63.0;37.0;-0.2713936430317848;0.0;0.48;0.0;0.0;-0.30782029950083195;0.0;0.0;0.0;-0.3219339320149913;-0.234375;0.0;0.0;0.12991573033707865;0.0;0.3157894736842105;0.0;0.0;
