;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL19;SrcCPL.allInstances()->size() = TrgProgram.allInstances()->collect(p|p.service)->flatten()->collect(s|s.sessions)->flatten()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;44.0;5.0;51.0;5.0;95.0;56.0;44.0;-0.09865470852017937;0.0;0.51;0.0;0.0;-0.1497107859816264;0.0;0.0;0.0;-0.2033553133277973;-0.08771929824561403;0.0;0.0;0.04638414505587181;0.0;0.3422818791946309;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;;;;;X;X;;;X;;;;X;;;X;;;;X;;;;;;;;X;;;;;;;;;X;X;;;;X;;;X;;X;;;X;;;;;;;;;;;X;;;;;X;;;X;X;;;X;;;X;X;;;X;X;X;X;X;0.0;44.0;31.0;25.0;31.0;69.0;56.0;44.0;-0.5716680637049455;0.0;0.25;0.0;0.0;-0.592656962850315;0.0;0.0;0.0;-0.5941397734484494;-0.543859649122807;0.0;0.0;0.4584873949579832;0.0;0.14285714285714285;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;0.0;44.0;6.0;50.0;6.0;94.0;56.0;44.0;-0.11806797853309481;0.0;0.5;0.0;0.0;-0.17437252311756934;0.0;0.0;0.0;-0.22394636787385183;-0.10526315789473684;0.0;0.0;0.05617021276595745;0.0;0.3333333333333333;0.0;0.0;
SubAction2Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;44.0;0.0;56.0;0.0;100.0;56.0;44.0;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0;
Redirect2Return;;;X;;;;;X;X;;;X;;X;;;;X;;;;;;;X;;X;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;;X;;X;;;;X;;;X;;;;X;;;;X;;;X;;X;;;;X;X;X;0.0;44.0;22.0;34.0;22.0;78.0;56.0;44.0;-0.41509433962264153;0.0;0.34;0.0;0.0;-0.4631578947368421;0.0;0.0;0.0;-0.47075654176200427;-0.38596491228070173;0.0;0.0;0.25882352941176473;0.0;0.20481927710843373;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;;;;;;;;;;X;;;;;;;;;X;X;;;;;;;;;;;;X;;;;;;X;;;;X;;;;;;;;;;;;X;;X;X;;;;;;X;;;;;;;;;;;;;;;X;X;;X;X;;X;;0.0;44.0;20.0;36.0;20.0;80.0;56.0;44.0;-0.3793103448275862;0.0;0.36;0.0;0.0;-0.4330708661417323;0.0;0.0;0.0;-0.44320263021395917;-0.3508771929824561;0.0;0.0;0.22633744855967078;0.0;0.21951219512195122;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;;;X;;;;0.0;44.0;8.0;48.0;8.0;92.0;56.0;44.0;-0.15658362989323843;0.0;0.48;0.0;0.0;-0.22;0.0;0.0;0.0;-0.2613866510869666;-0.14035087719298245;0.0;0.0;0.0763888888888889;0.0;0.3157894736842105;0.0;0.0;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;44.0;0.0;0.0;56.0;44.0;56.0;56.0;44.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;44.0;0.44;1.0;0.0;0.9999594172314435;1.0;1.0;1.0;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;44.0;0.0;56.0;0.0;100.0;56.0;44.0;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0;
Proxy2Select;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;X;X;;;X;;;;0.0;44.0;11.0;45.0;11.0;89.0;56.0;44.0;-0.21359223300970873;0.0;0.45;0.0;0.0;-0.28115015974440893;0.0;0.0;0.0;-0.3116259848185404;-0.19298245614035087;0.0;0.0;0.10864197530864197;0.0;0.2903225806451613;0.0;0.0;
