;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL22;TrgLocalFunctionDeclaration.allInstances()->collect(lfd|lfd.statements)->flatten()->size() <= SrcSubAction.allInstances()->collect(sa|sa.contents)->flatten()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;2.0;8.0;90.0;8.0;92.0;98.0;2.0;-0.03305785123966942;0.0;0.9;0.0;0.0;-0.034334763948497854;0.0;0.0;0.0;-0.04212627318711346;-0.08080808080808081;0.0;0.0;0.014814814814814815;0.0;0.8181818181818182;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;1.0;1.0;48.0;50.0;49.0;51.0;98.0;2.0;8.156606851549756E-4;0.02040816326530612;0.51;0.2602040816326531;0.020408163265306145;0.001484230055658627;0.013793103448275862;2.0831163420477034E-6;0.10101525445522107;0.0028577144572000204;0.5151515151515151;0.01;0.1414213562373095;0.019592163134746102;0.07143265472349453;0.3422818791946309;0.02040816326530612;0.5051546391752577;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;;;;;;;;;0.0;2.0;12.0;86.0;12.0;88.0;98.0;2.0;-0.03550295857988166;0.0;0.86;0.0;0.0;-0.038338658146964855;0.0;0.0;0.0;-0.05275349613399974;-0.12121212121212122;0.0;0.0;0.01744186046511628;0.0;0.7543859649122807;0.0;0.0;
SubAction2Function;;;;;;X;X;;;X;;;;;;;;X;;;;;;;;X;X;;;;X;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;X;;X;;;;;;2.0;0.0;13.0;85.0;15.0;85.0;98.0;2.0;0.2073170731707317;0.13333333333333333;0.87;0.5666666666666667;0.1333333333333333;0.23113528212100612;0.15384615384615385;0.13333333333333333;0.3651483716701107;0.3400680204068024;1.8686868686868687;0.02;0.5363502279139795;0.0;0.34000000680136044;0.7699115044247787;0.3076923076923077;0.8828828828828829;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;1.0;1.0;39.0;59.0;40.0;60.0;98.0;2.0;0.009900990099009901;0.025;0.6;0.2625;0.025000000000000022;0.015408320493066256;0.01694915254237288;2.563833032937563E-6;0.11180339887498948;0.029160592175990215;0.6060606060606061;0.01;0.17832665222857233;0.01652892561983471;0.08601120623063385;0.42857142857142855;0.025;0.5568181818181818;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;1.0;1.0;32.0;66.0;33.0;67.0;98.0;2.0;0.020190023752969122;0.030303030303030304;0.67;0.26515151515151514;0.030303030303030276;0.028250934773577065;0.020618556701030927;3.1246680040245723E-6;0.12309149097933272;0.051648356935749484;0.6767676767676767;0.01;0.2165993278467768;0.014699331848552339;0.10024334756882056;0.5037593984962406;0.030303030303030304;0.6049382716049383;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;;X;;;X;;;;0.0;2.0;11.0;87.0;11.0;89.0;98.0;2.0;-0.03503184713375796;0.0;0.87;0.0;0.0;-0.0374468085106383;0.0;0.0;0.0;-0.050223074950760886;-0.1111111111111111;0.0;0.0;0.01685823754789272;0.0;0.7699115044247787;0.0;0.0;
CPL2Program;X;;;;;X;;;;;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;0.0;2.0;43.0;55.0;43.0;57.0;98.0;2.0;-0.03974121996303143;0.0;0.55;0.0;0.0;-0.06497922176048357;0.0;0.0;0.0;-0.12407913578432646;-0.43434343434343436;0.0;0.0;0.033268858800773696;0.0;0.3793103448275862;0.0;0.0;
Outgoing2Method;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;0.0;2.0;9.0;89.0;9.0;91.0;98.0;2.0;-0.03383458646616541;0.0;0.89;0.0;0.0;-0.035467980295566505;0.0;0.0;0.0;-0.04492649300236792;-0.09090909090909091;0.0;0.0;0.015557476231633534;0.0;0.8018018018018018;0.0;0.0;
Proxy2Select;X;;;;;;;;;;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;;X;;;X;;;;0.0;2.0;20.0;78.0;20.0;80.0;98.0;2.0;-0.03773584905660377;0.0;0.78;0.0;0.0;-0.044543429844097995;0.0;0.0;0.0;-0.07142857142857142;-0.20202020202020202;0.0;0.0;0.021367521367521368;0.0;0.639344262295082;0.0;0.0;
