In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL27;SrcBusy.allInstances()->size() = TrgResponseConstant.allInstances()->collect(rc | rc.response)->flatten()->select(r | TrgClientErrorResponse.allInstances()->select(cer|cer.errorKind=ClientErrorKind::BUSY_HERE)->includes(r))->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.06516290726817042;0.0;0.83;0.0;0.0;-0.06864686468646865;0.0;0.0;0.0;-0.07890534607899989;-0.045454545454545456;0.0;0.0;0.020883534136546186;0.0;0.7094017094017094;0.0;0.0
SubCall2Return;-0.24773139745916514;0.0;0.45;0.0;0.0;-0.30613961312026916;0.0;0.0;0.0;-0.3289445522127399;-0.4772727272727273;0.0;0.0;0.1784313725490196;0.0;0.2903225806451613;0.0;0.0
Busy2SelectCase;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
SubAction2Function;-0.1425959780621572;0.0;0.75;0.0;0.0;-0.14266117969821673;0.0;0.0;0.0;-0.14274514194391816;-0.13636363636363635;0.0;0.0;0.05473684210526316;0.0;0.6;0.0;0.0
Redirect2Return;-0.2382367508667657;0.0;0.5;0.0;0.0;-0.2778740612362796;0.0;0.0;0.0;-0.29623927566641733;-0.42045454545454547;0.0;0.0;0.1526984126984127;0.0;0.3333333333333333;0.0;0.0
StringSwitch2SelectStat;-0.2188044109112014;0.0;0.58;0.0;0.0;-0.23636363636363636;0.0;0.0;0.0;-0.24704830266521818;-0.32954545454545453;0.0;0.0;0.11818181818181818;0.0;0.4084507042253521;0.0;0.0
NoAnswer2SelectCase;-0.07784431137724551;0.0;0.82;0.0;0.0;-0.08094645080946451;0.0;0.0;0.0;-0.08868195311464146;-0.056818181818181816;0.0;0.0;0.025570416994492525;0.0;0.6949152542372882;0.0;0.0
CPL2Program;-0.2382367508667657;0.0;0.5;0.0;0.0;-0.2778740612362796;0.0;0.0;0.0;-0.29623927566641733;-0.42045454545454547;0.0;0.0;0.1526984126984127;0.0;0.3333333333333333;0.0;0.0
Outgoing2Method;-0.1190233977619532;0.0;0.78;0.0;0.0;-0.12;0.0;0.0;0.0;-0.12156613477096617;-0.10227272727272728;0.0;0.0;0.04285714285714286;0.0;0.639344262295082;0.0;0.0
Proxy2Select;0.6926229508196722;0.5909090909090909;0.91;0.7954545454545454;0.5909090909090908;0.7123287671232876;0.2222222222222222;0.5909090909090909;0.7687061147858074;0.7278602642426106;12.897727272727273;0.13;0.8328484907440908;0.0;0.7278080213886889;0.8348623853211009;18.77777777777778;0.90625
Failure2ErrorResponse;0.0;0.0;0.87;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7699115044247787;0.0;0.0
AddressSwitch2SelectStat;-0.16747181964573268;0.0;0.71;0.0;0.0;-0.16808080808080808;0.0;0.0;0.0;-0.16870672629282524;-0.18181818181818182;0.0;0.0;0.06975184439973173;0.0;0.5503875968992248;0.0;0.0
Proxy2Return;-0.07784431137724551;0.0;0.82;0.0;0.0;-0.08094645080946451;0.0;0.0;0.0;-0.08868195311464146;-0.056818181818181816;0.0;0.0;0.025570416994492525;0.0;0.6949152542372882;0.0;0.0
Default2SelectDefault;-0.08944954128440367;0.0;0.81;0.0;0.0;-0.0920353982300885;0.0;0.0;0.0;-0.09766158046714014;-0.06818181818181818;0.0;0.0;0.03009259259259259;0.0;0.680672268907563;0.0;0.0
SwitchedAddress2SelectCase;-0.08944954128440367;0.0;0.81;0.0;0.0;-0.0920353982300885;0.0;0.0;0.0;-0.09766158046714014;-0.06818181818181818;0.0;0.0;0.03009259259259259;0.0;0.680672268907563;0.0;0.0
