;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL12;SrcBusy.allInstances()->size() + SrcNoAnswer.allInstances()->size() + SrcRedirection.allInstances()->size() + SrcSwitchedAddress.allInstances()->size() =  TrgSelectCase.allInstances()->select(sc|(sc.commentsBefore=Sequence{'// busy'} or sc.commentsBefore=Sequence{'// noanswer'} or sc.commentsBefore=Sequence{'// redirection'})) -> size() + TrgSelectCase.allInstances()->select(sc|sc.values->first().oclIsTypeOf(TrgStringConstant))->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;1.0;7.0;1.0;91.0;2.0;98.0;92.0;8.0;0.17355371900826447;0.125;0.92;0.3125;0.5;0.18025751072961374;0.09090909090909091;1.4283877787141652E-5;0.25;0.22116293423234568;0.989247311827957;0.01;0.5684863886644348;0.01020408163265306;0.23953011305808766;0.8518518518518519;0.125;0.92;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;X;X;X;0.0;8.0;46.0;46.0;46.0;54.0;92.0;8.0;-0.15780445969125215;0.0;0.46;0.0;0.0;-0.22857142857142856;0.0;0.0;0.0;-0.2721655269759087;-0.4946236559139785;0.0;0.0;0.12903225806451613;0.0;0.2987012987012987;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;;X;;;;;;;;0.0;8.0;9.0;83.0;9.0;91.0;92.0;8.0;-0.09254498714652956;0.0;0.83;0.0;0.0;-0.09260450160771704;0.0;0.0;0.0;-0.09273670016027795;-0.0967741935483871;0.0;0.0;0.03469879518072289;0.0;0.7094017094017094;0.0;0.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;0.0;8.0;13.0;79.0;13.0;87.0;92.0;8.0;-0.10993657505285412;0.0;0.79;0.0;0.0;-0.11140867702196036;0.0;0.0;0.0;-0.11398904880897907;-0.13978494623655913;0.0;0.0;0.04539502400698385;0.0;0.6528925619834711;0.0;0.0;
Redirect2Return;;;X;;;X;;X;X;;;X;;X;;;;X;;;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;;;X;X;;;X;X;X;0.0;8.0;36.0;56.0;36.0;64.0;92.0;8.0;-0.1506276150627615;0.0;0.56;0.0;0.0;-0.18947368421052632;0.0;0.0;0.0;-0.2211629342323457;-0.3870967741935484;0.0;0.0;0.0989010989010989;0.0;0.3888888888888889;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;;;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;;;X;;0.0;8.0;30.0;62.0;30.0;70.0;92.0;8.0;-0.14457831325301204;0.0;0.62;0.0;0.0;-0.1692524682651622;0.0;0.0;0.0;-0.19304683562633607;-0.3225806451612903;0.0;0.0;0.08415147265077139;0.0;0.4492753623188406;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;X;X;;;;;;;0.0;8.0;7.0;85.0;7.0;93.0;92.0;8.0;-0.08069164265129683;0.0;0.85;0.0;0.0;-0.08074981975486661;0.0;0.0;0.0;-0.0809018821752896;-0.07526881720430108;0.0;0.0;0.02864450127877238;0.0;0.7391304347826086;0.0;0.0;
CPL2Program;;;;;;X;;;;;;;X;;;X;X;;;;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;0.0;8.0;40.0;52.0;40.0;60.0;92.0;8.0;-0.15384615384615385;0.0;0.52;0.0;0.0;-0.20408163265306123;0.0;0.0;0.0;-0.24077170617153842;-0.43010752688172044;0.0;0.0;0.10989010989010989;0.0;0.35135135135135137;0.0;0.0;
Outgoing2Method;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;0.0;8.0;9.0;83.0;9.0;91.0;92.0;8.0;-0.09254498714652956;0.0;0.83;0.0;0.0;-0.09260450160771704;0.0;0.0;0.0;-0.09273670016027795;-0.0967741935483871;0.0;0.0;0.03469879518072289;0.0;0.7094017094017094;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;8.0;0.0;14.0;78.0;22.0;78.0;92.0;8.0;0.47129909365558914;0.36363636363636365;0.86;0.6818181818181819;0.36363636363636365;0.5089722675367048;0.14285714285714285;0.36363636363636365;0.6030226891555273;0.5552480484044199;7.849462365591398;0.08;0.7020008006406407;0.0;0.5551986456857511;0.7543859649122807;4.571428571428571;0.8679245283018868;
