In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL5;SrcDefault.allInstances()->forAll(d|TrgSelectDefault.allInstances()->exists(sd|sd.commentsBefore=Sequence{'// default'} and if (d.contents.oclIsTypeOf(SrcSubCall)) then (sd.statements->first().oclIsTypeOf(TrgReturnStat)) else if (d.contents.oclIsTypeOf(SrcAddressSwitch)) then (sd.statements -> first().oclIsTypeOf(TrgSelectStat)) else if (d.contents.oclIsTypeOf(SrcProxy)) then (sd.statements -> first().oclIsTypeOf(TrgReturnStat) or sd.statements -> first().oclIsTypeOf(TrgCompoundStat)) else true endif endif endif))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.18533604887983707;0.1111111111111111;0.92;0.5555555555555556;0.11111111111111116;0.19825708061002179;0.25;0.1111111111111111;0.3333333333333333;0.3195816569607348;0.92;0.01;0.5684863886644348;0.0;0.3194694629164412;0.8518518518518519;0.125;0.925233644859813
SubCall2Return;-0.01997450063748406;0.0;0.52;0.0;0.0;-0.036293436293436294;0.0;0.0;0.0;-0.09464406755596073;-0.47;0.0;0.0;0.018445839874411302;0.0;0.35135135135135137;0.0;0.0
Busy2SelectCase;-0.01867572156196944;0.0;0.88;0.0;0.0;-0.02040816326530612;0.0;0.0;0.0;-0.03533326266687867;-0.11;0.0;0.0;0.009615384615384616;0.0;0.7857142857142857;0.0;0.0
SubAction2Function;-0.01867572156196944;0.0;0.88;0.0;0.0;-0.02040816326530612;0.0;0.0;0.0;-0.03533326266687867;-0.11;0.0;0.0;0.009615384615384616;0.0;0.7857142857142857;0.0;0.0
Redirect2Return;-0.0198744769874477;0.0;0.61;0.0;0.0;-0.03095723014256619;0.0;0.0;0.0;-0.07868253729267151;-0.38;0.0;0.0;0.01557377049180328;0.0;0.43884892086330934;0.0;0.0
StringSwitch2SelectStat;-0.019757807520713832;0.0;0.68;0.0;0.0;-0.02770330652368186;0.0;0.0;0.0;-0.06736568097271475;-0.31;0.0;0.0;0.013814616755793227;0.0;0.5151515151515151;0.0;0.0
NoAnswer2SelectCase;0.13793103448275862;0.08333333333333333;0.89;0.5416666666666666;0.08333333333333337;0.1523809523809524;0.18181818181818182;0.08333333333333333;0.2886751345948129;0.2721655269759087;0.89;0.01;0.48552047707349016;0.0;0.27208137791727094;0.8018018018018018;0.09090909090909091;0.8999999999999999
CPL2Program;0.028654686741136474;0.024390243902439025;0.6;0.5121951219512195;0.024390243902439046;0.04686258935663225;0.05;0.024390243902439025;0.15617376188860607;0.12056367571310009;0.6;0.01;0.17832665222857233;0.0;0.1205390441364424;0.42857142857142855;0.025;0.7122302158273381
Outgoing2Method;-0.017811704834605598;0.0;0.92;0.0;0.0;-0.018666666666666668;0.0;0.0;0.0;-0.02757337634153148;-0.07;0.0;0.0;0.008454106280193236;0.0;0.8518518518518519;0.0;0.0
Proxy2Select;0.06914893617021277;0.045454545454545456;0.79;0.5227272727272727;0.045454545454545414;0.0859504132231405;0.09523809523809523;0.045454545454545456;0.21320071635561041;0.18924236358783025;0.79;0.01;0.31888418274109553;0.0;0.18919646104235574;0.6528925619834711;0.047619047619047616;0.825
Failure2ErrorResponse;0.0;0.0;0.99;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9801980198019802;0.0;0.0
AddressSwitch2SelectStat;-0.019417475728155338;0.0;0.79;0.0;0.0;-0.023543260741612712;0.0;0.0;0.0;-0.050251890762960605;-0.2;0.0;0.0;0.011507479861910242;0.0;0.6528925619834711;0.0;0.0
Proxy2Return;-0.017811704834605598;0.0;0.92;0.0;0.0;-0.018666666666666668;0.0;0.0;0.0;-0.02757337634153148;-0.07;0.0;0.0;0.008454106280193236;0.0;0.8518518518518519;0.0;0.0
Default2SelectDefault;0.15110356536502548;0.09090909090909091;0.9;0.5454545454545454;0.09090909090909094;0.16512059369202226;0.2;0.09090909090909091;0.30151134457776363;0.2858782161229274;0.9;0.01;0.5106191037676887;0.0;0.2857864182449049;0.8181818181818182;0.1;0.908256880733945
SwitchedAddress2SelectCase;-0.018518518518518517;0.0;0.89;0.0;0.0;-0.02002002002002002;0.0;0.0;0.0;-0.0335012605086404;-0.1;0.0;0.0;0.009363295880149813;0.0;0.8018018018018018;0.0;0.0
NotPresent2ErrorResponse;0.038461538461538464;0.029411764705882353;0.67;0.5147058823529411;0.02941176470588236;0.056338028169014086;0.06060606060606061;0.029411764705882353;0.17149858514250882;0.14002800840280097;0.6699999999999999;0.01;0.2165993278467768;0.0;0.1399983058513644;0.5037593984962406;0.030303030303030304;0.75
Location2URIConstant;0.0;0.0;0.99;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9801980198019802;0.0;0.0
Otherwise2SelectDefault;-0.019664967225054626;0.0;0.72;0.0;0.0;-0.02608695652173913;0.0;0.0;0.0;-0.061122745662804616;-0.27;0.0;0.0;0.01293103448275862;0.0;0.5625;0.0;0.0
Incoming2Method;-0.01910828025477707;0.0;0.84;0.0;0.0;-0.021834061135371178;0.0;0.0;0.0;-0.04222003309207491;-0.15;0.0;0.0;0.01050420168067227;0.0;0.7241379310344828;0.0;0.0
EXAM-BC;0.21052631578947367;0.21052631578947367;0.631578947368421;0.21052631578947367;0.3157894736842105;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.05263157894736842;0.21052631578947367;0.631578947368421;0.21052631578947367;0.631578947368421;0.21052631578947367;0.21052631578947367
EXAM-WC;0.21052631578947367;0.21052631578947367;0.6842105263157895;0.21052631578947367;0.3157894736842105;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.3157894736842105;0.21052631578947367;1.0;0.21052631578947367;0.6842105263157895;0.21052631578947367;0.21052631578947367
EXAM-AVG;0.21052631578947367;0.21052631578947367;0.6578947368421053;0.21052631578947367;0.3157894736842105;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.21052631578947367;0.18421052631578946;0.21052631578947367;0.8157894736842105;0.21052631578947367;0.6578947368421053;0.21052631578947367;0.21052631578947367

OCL14;SrcProxy.allInstances()->select(p|p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined())->forAll(p|TrgVariable.allInstances()->forAll(v|TrgSelectStat.allInstances()->one(ss|ss.matchedExp=v and TrgCompoundStat.allInstances()->one(cs|cs.statements->includes(ss)))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
