;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL34;TrgIfStat.allInstances()->size()=0

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;6.0;16.0;0.0;78.0;6.0;94.0;78.0;22.0;0.36908517350157727;0.2727272727272727;0.84;0.6363636363636364;1.0;0.4105263157894737;0.125;0.2727272727272727;0.5222329678670935;0.4757158913514795;6.0;0.06;0.6333076527839357;0.037037037037037035;0.47566754036687425;0.7241379310344828;2.25;1.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;;;X;;;;X;X;X;;X;;;;X;;;X;;;;;;;;;;X;;X;;X;;X;;X;;X;X;X;X;;;X;;;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;;;X;X;X;;;X;X;;;;;X;X;;X;X;X;2.0;20.0;39.0;39.0;41.0;59.0;78.0;22.0;-0.3122775800711744;0.04878048780487805;0.41;0.06984478935698449;0.04878048780487809;-0.339540507859734;0.0023837902264600714;5.128124919071779E-7;0.06659271582120269;-0.3445565705883444;1.5063291139240507;0.02;0.1551122402177719;0.26273630246715796;0.03828218442745408;0.2578616352201258;0.06779661016949153;0.15384615384615385;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;18.0;0.0;78.0;4.0;96.0;78.0;22.0;0.25742574257425743;0.18181818181818182;0.82;0.5909090909090909;1.0;0.29714285714285715;0.1111111111111111;0.18181818181818182;0.42640143271122083;0.3843530573929037;4.0;0.04;0.5461825069058285;0.025;0.3843057147402005;0.6949152542372882;0.8888888888888888;1.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;22.0;11.0;67.0;11.0;89.0;78.0;22.0;-0.171875;0.0;0.67;0.0;0.0;-0.17959183673469387;0.0;0.0;0.0;-0.18670905391899717;-0.13924050632911392;0.0;0.0;0.06567164179104477;0.0;0.5037593984962406;0.0;0.0;
Redirect2Return;;;X;;;X;;X;X;;;X;;X;;;;X;;;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;;;;;;X;;;X;;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;;X;;;;;;X;;;X;X;X;0.0;22.0;32.0;46.0;32.0;68.0;78.0;22.0;-0.3527054108216433;0.0;0.46;0.0;0.0;-0.3617677286742035;0.0;0.0;0.0;-0.36432130747865443;-0.4050632911392405;0.0;0.0;0.20137299771167047;0.0;0.2987012987012987;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;;X;;;;;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;0.0;22.0;24.0;54.0;24.0;76.0;78.0;22.0;-0.2979683972911964;0.0;0.54;0.0;0.0;-0.2983050847457627;0.0;0.0;0.0;-0.2984440079997103;-0.3037974683544304;0.0;0.0;0.1437908496732026;0.0;0.3698630136986301;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;X;X;;;X;;;;6.0;16.0;0.0;78.0;6.0;94.0;78.0;22.0;0.36908517350157727;0.2727272727272727;0.84;0.6363636363636364;1.0;0.4105263157894737;0.125;0.2727272727272727;0.5222329678670935;0.4757158913514795;6.0;0.06;0.6333076527839357;0.037037037037037035;0.47566754036687425;0.7241379310344828;2.25;1.0;
CPL2Program;;;;;;X;;;;;;;X;;;X;X;;;;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;;;;X;;;;;X;X;;X;X;;X;;;X;;X;;;;X;;;;X;X;;;;;;X;X;;;;X;;;;;;2.0;20.0;33.0;45.0;35.0;65.0;78.0;22.0;-0.27403846153846156;0.05714285714285714;0.47;0.07402597402597402;0.05714285714285716;-0.28564269606614884;0.002805049088359046;6.060505052188524E-7;0.07207499701564471;-0.28848651240543716;1.5822784810126582;0.02;0.17812679658152378;0.21052631578947367;0.04554819668850604;0.30718954248366015;0.07547169811320754;0.17687074829931973;
Outgoing2Method;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;0.0;22.0;7.0;71.0;7.0;93.0;78.0;22.0;-0.11882716049382716;0.0;0.71;0.0;0.0;-0.13012251795521756;0.0;0.0;0.0;-0.14570403697549603;-0.08860759493670886;0.0;0.0;0.04252968793151063;0.0;0.5503875968992248;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;22.0;0.0;0.0;78.0;22.0;78.0;78.0;22.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;22.0;0.22;1.0;0.0;0.9999417283375095;1.0;1.0;1.0;
