;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL1;SrcCPL.allInstances()->size() = TrgProgram.allInstances()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;36.0;5.0;59.0;5.0;95.0;64.0;36.0;-0.0962566844919786;0.0;0.59;0.0;0.0;-0.12954300107952502;0.0;0.0;0.0;-0.17206180040292132;-0.07692307692307693;0.0;0.0;0.03962139555359894;0.0;0.41843971631205673;0.0;0.0;
SubCall2Return;X;;X;;;;;X;;;X;X;;X;X;;;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;;;X;;;;;;;;;X;X;;X;;X;;;X;;X;X;X;X;;;;;;;;;;;X;;;;;X;;;X;X;;;X;;;X;X;;;X;X;X;X;X;0.0;36.0;36.0;28.0;36.0;64.0;64.0;36.0;-0.5625;0.0;0.28;0.0;0.0;-0.5625;0.0;0.0;0.0;-0.5625;-0.5538461538461539;0.0;0.0;0.42857142857142855;0.0;0.16279069767441862;0.0;0.0;
Busy2SelectCase;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;X;;;;;;;;0.0;36.0;9.0;55.0;9.0;91.0;64.0;36.0;-0.16822429906542055;0.0;0.55;0.0;0.0;-0.207492795389049;0.0;0.0;0.0;-0.2358640882624316;-0.13846153846153847;0.0;0.0;0.07272727272727272;0.0;0.3793103448275862;0.0;0.0;
SubAction2Function;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;0.0;36.0;2.0;62.0;2.0;98.0;64.0;36.0;-0.03938730853391685;0.0;0.62;0.0;0.0;-0.0576;0.0;0.0;0.0;-0.10714285714285714;-0.03076923076923077;0.0;0.0;0.015693112467306015;0.0;0.4492753623188406;0.0;0.0;
Redirect2Return;;;X;;;;;X;X;;;X;;X;;;;X;;;;;;;X;;X;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;X;;;;;;;X;;;;X;;X;;;;X;;;X;;;;X;;;;X;;;X;;X;;;;X;X;X;0.0;36.0;24.0;40.0;24.0;76.0;64.0;36.0;-0.4044943820224719;0.0;0.4;0.0;0.0;-0.4186046511627907;0.0;0.0;0.0;-0.42146361521176234;-0.36923076923076925;0.0;0.0;0.225;0.0;0.25;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;;;;;;;;;;X;;;;;;;;;X;X;;;;;;;;;;;;X;;;;;;X;;;;X;;;;;;;;X;;;X;X;;X;X;;;;;;X;;;;;;;;;;;;;;;X;X;;X;X;;X;;0.0;36.0;22.0;42.0;22.0;78.0;64.0;36.0;-0.3757115749525617;0.0;0.42;0.0;0.0;-0.3940298507462687;0.0;0.0;0.0;-0.39831375340784575;-0.3384615384615385;0.0;0.0;0.2006079027355623;0.0;0.26582278481012656;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;X;X;;;X;;;;0.0;36.0;9.0;55.0;9.0;91.0;64.0;36.0;-0.16822429906542055;0.0;0.55;0.0;0.0;-0.207492795389049;0.0;0.0;0.0;-0.2358640882624316;-0.13846153846153847;0.0;0.0;0.07272727272727272;0.0;0.3793103448275862;0.0;0.0;
CPL2Program;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;X;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;0.0;36.0;7.0;57.0;7.0;93.0;64.0;36.0;-0.1327713382507903;0.0;0.57;0.0;0.0;-0.17055837563451776;0.0;0.0;0.0;-0.20576372293827538;-0.1076923076923077;0.0;0.0;0.05596269153897402;0.0;0.3986013986013986;0.0;0.0;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;0.0;36.0;3.0;61.0;3.0;97.0;64.0;36.0;-0.05863192182410423;0.0;0.61;0.0;0.0;-0.08323699421965318;0.0;0.0;0.0;-0.13189733589612357;-0.046153846153846156;0.0;0.0;0.02360655737704918;0.0;0.43884892086330934;0.0;0.0;
Proxy2Select;X;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;X;X;X;;;X;;;;0.0;36.0;14.0;50.0;14.0;86.0;64.0;36.0;-0.25250501002004005;0.0;0.5;0.0;0.0;-0.28734321550741165;0.0;0.0;0.0;-0.30260496929472336;-0.2153846153846154;0.0;0.0;0.1172093023255814;0.0;0.3333333333333333;0.0;0.0;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;36.0;0.0;64.0;0.0;100.0;64.0;36.0;0.0;0.0;0.64;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;
AddressSwitch2SelectStat;X;;;X;;;;;X;;;X;X;;;;;X;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;0.0;36.0;13.0;51.0;13.0;87.0;64.0;36.0;-0.23612512613521694;0.0;0.51;0.0;0.0;-0.2724890829694323;0.0;0.0;0.0;-0.28991675380690063;-0.2;0.0;0.0;0.10795847750865052;0.0;0.3422818791946309;0.0;0.0;
Proxy2Return;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;0.0;36.0;4.0;60.0;4.0;96.0;64.0;36.0;-0.07758620689655173;0.0;0.6;0.0;0.0;-0.10714285714285714;0.0;0.0;0.0;-0.15309310892394862;-0.06153846153846154;0.0;0.0;0.031578947368421054;0.0;0.42857142857142855;0.0;0.0;
Default2SelectDefault;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;0.0;36.0;7.0;57.0;7.0;93.0;64.0;36.0;-0.1327713382507903;0.0;0.57;0.0;0.0;-0.17055837563451776;0.0;0.0;0.0;-0.20576372293827538;-0.1076923076923077;0.0;0.0;0.05596269153897402;0.0;0.3986013986013986;0.0;0.0;
