;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL2;SrcCPL.allInstances()->size() = TrgService.allInstances()->select(s|s.name='unnamed')->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;37.0;5.0;58.0;5.0;95.0;63.0;37.0;-0.09660574412532637;0.0;0.58;0.0;0.0;-0.13186029935851745;0.0;0.0;0.0;-0.17581413440897828;-0.078125;0.0;0.0;0.04037538192928852;0.0;0.4084507042253521;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;;;X;;;;;;;;;X;X;;X;;X;;;X;;X;X;X;X;;;;;;;;;;;X;;;;;X;;;X;X;;;X;;;X;X;;;X;X;X;X;X;0.0;37.0;35.0;28.0;35.0;65.0;63.0;37.0;-0.561822125813449;0.0;0.28;0.0;0.0;-0.5623100303951368;0.0;0.0;0.0;-0.5623515948579823;-0.546875;0.0;0.0;0.4243119266055046;0.0;0.16279069767441862;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;X;;;;;;;;0.0;37.0;8.0;55.0;8.0;92.0;63.0;37.0;-0.15148413510747186;0.0;0.55;0.0;0.0;-0.19302249755461362;0.0;0.0;0.0;-0.2259860686936615;-0.125;0.0;0.0;0.06563192904656319;0.0;0.3793103448275862;0.0;0.0;
SubAction2Function;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;0.0;37.0;2.0;61.0;2.0;98.0;63.0;37.0;-0.039445628997867806;0.0;0.61;0.0;0.0;-0.05856747130985358;0.0;0.0;0.0;-0.10947943496211619;-0.03125;0.0;0.0;0.015962036238136326;0.0;0.43884892086330934;0.0;0.0;
Redirect2Return;;;X;;;;;X;X;;;X;;X;;;;X;;;;;;;X;;X;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;X;;;;;;;X;;;;X;;X;;;;X;;;X;;;;X;;;;X;;;X;;X;;;;X;X;X;0.0;37.0;24.0;39.0;24.0;76.0;63.0;37.0;-0.4107308048103608;0.0;0.39;0.0;0.0;-0.42743682310469316;0.0;0.0;0.0;-0.43065491887109525;-0.375;0.0;0.0;0.23233908948194662;0.0;0.2422360248447205;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;;;;;;;;;;X;;;;;;;;;X;X;;;;;;;;;;;;X;;;;;;X;;;;X;;;;;;;;X;;;X;X;;X;X;;;;;;X;;;;;;;;;;;;;;;X;X;;X;X;;X;;0.0;37.0;22.0;41.0;22.0;78.0;63.0;37.0;-0.38108614232209737;0.0;0.41;0.0;0.0;-0.40227328885594266;0.0;0.0;0.0;-0.40700020350015265;-0.34375;0.0;0.0;0.2068089430894309;0.0;0.2578616352201258;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;X;X;;;X;;;;0.0;37.0;9.0;54.0;9.0;91.0;63.0;37.0;-0.16929334011184544;0.0;0.54;0.0;0.0;-0.21142857142857144;0.0;0.0;0.0;-0.2410078263677067;-0.140625;0.0;0.0;0.07429718875502007;0.0;0.3698630136986301;0.0;0.0;
CPL2Program;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;X;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;0.0;37.0;7.0;56.0;7.0;93.0;63.0;37.0;-0.1334363730036064;0.0;0.56;0.0;0.0;-0.17370892018779344;0.0;0.0;0.0;-0.21025103048118227;-0.109375;0.0;0.0;0.05709876543209876;0.0;0.3888888888888889;0.0;0.0;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;0.0;37.0;3.0;60.0;3.0;97.0;63.0;37.0;-0.058761249338274216;0.0;0.6;0.0;0.0;-0.08466819221967964;0.0;0.0;0.0;-0.13477376086454984;-0.046875;0.0;0.0;0.024025974025974027;0.0;0.42857142857142855;0.0;0.0;
Proxy2Select;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;X;X;X;;;X;;;;0.0;37.0;13.0;50.0;13.0;87.0;63.0;37.0;-0.2382367508667657;0.0;0.5;0.0;0.0;-0.2778740612362796;0.0;0.0;0.0;-0.29623927566641733;-0.203125;0.0;0.0;0.11057471264367816;0.0;0.3333333333333333;0.0;0.0;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;37.0;0.0;63.0;0.0;100.0;63.0;37.0;0.0;0.0;0.63;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45985401459854014;0.0;0.0;
AddressSwitch2SelectStat;;;;X;;;;;X;;;X;X;;;;;X;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;0.0;37.0;12.0;51.0;12.0;88.0;63.0;37.0;-0.2213359920239282;0.0;0.51;0.0;0.0;-0.26217891939769705;0.0;0.0;0.0;-0.28299572450229715;-0.1875;0.0;0.0;0.1012311901504788;0.0;0.3422818791946309;0.0;0.0;
Proxy2Return;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;0.0;37.0;4.0;59.0;4.0;96.0;63.0;37.0;-0.07781282860147214;0.0;0.59;0.0;0.0;-0.10902394106813997;0.0;0.0;0.0;-0.15643177257481763;-0.0625;0.0;0.0;0.03215993046501521;0.0;0.41843971631205673;0.0;0.0;
Default2SelectDefault;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;0.0;37.0;7.0;56.0;7.0;93.0;63.0;37.0;-0.1334363730036064;0.0;0.56;0.0;0.0;-0.17370892018779344;0.0;0.0;0.0;-0.21025103048118227;-0.109375;0.0;0.0;0.05709876543209876;0.0;0.3888888888888889;0.0;0.0;
SwitchedAddress2SelectCase;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;37.0;6.0;57.0;6.0;94.0;63.0;37.0;-0.11514522821576763;0.0;0.57;0.0;0.0;-0.1533678756476684;0.0;0.0;0.0;-0.19361646458830867;-0.09375;0.0;0.0;0.04868421052631579;0.0;0.3986013986013986;0.0;0.0;
