;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL3;SrcCPL.allInstances()->forAll(c|TrgService.allInstances()->exists(s|s.name='unnamed' and s.declarations->forAll(d|SrcSubAction.allInstances()->one(sA|d.name=sA.id))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;28.0;5.0;67.0;5.0;95.0;72.0;28.0;-0.09271523178807947;0.0;0.67;0.0;0.0;-0.11240465676435167;0.0;0.0;0.0;-0.14306584587982535;-0.0684931506849315;0.0;0.0;0.0342549547345241;0.0;0.5037593984962406;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;;;X;;;;;;;;;X;X;;X;;X;;;X;;X;X;X;X;;;;;;;X;;;;X;;;;;X;;X;X;X;;;X;;;X;X;;;X;X;X;X;X;0.0;28.0;38.0;34.0;38.0;62.0;72.0;28.0;-0.47584973166368516;0.0;0.34;0.0;0.0;-0.4867337602927722;0.0;0.0;0.0;-0.4882123047202792;-0.5205479452054794;0.0;0.0;0.33291614518147683;0.0;0.20481927710843373;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;X;;;;;;;;0.0;28.0;8.0;64.0;8.0;92.0;72.0;28.0;-0.14213197969543148;0.0;0.64;0.0;0.0;-0.16279069767441862;0.0;0.0;0.0;-0.18389242812245682;-0.1095890410958904;0.0;0.0;0.0546875;0.0;0.47058823529411764;0.0;0.0;
SubAction2Function;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;0.0;28.0;3.0;69.0;3.0;97.0;72.0;28.0;-0.0572987721691678;0.0;0.69;0.0;0.0;-0.07282184655396619;0.0;0.0;0.0;-0.10966992025589654;-0.0410958904109589;0.0;0.0;0.020633750921149593;0.0;0.5267175572519084;0.0;0.0;
Redirect2Return;;;X;;;;;X;X;;;X;;X;;;;X;;;;;;;X;;X;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;X;;X;;;;;;;X;;;;X;X;X;;;;X;;;X;;X;X;X;;;;X;;;X;;X;;;;X;X;X;0.0;28.0;28.0;44.0;28.0;72.0;72.0;28.0;-0.3888888888888889;0.0;0.44;0.0;0.0;-0.3888888888888889;0.0;0.0;0.0;-0.3888888888888889;-0.3835616438356164;0.0;0.0;0.21212121212121213;0.0;0.28205128205128205;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;;;;;;;X;;;;;;;;;X;X;;;X;;;;;;;;;X;;;;;;X;;;;X;;;;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;;;;;;;X;X;;X;X;;X;;0.0;28.0;26.0;46.0;26.0;74.0;72.0;28.0;-0.3691683569979716;0.0;0.46;0.0;0.0;-0.3695431472081218;0.0;0.0;0.0;-0.3696439322329485;-0.3561643835616438;0.0;0.0;0.19300106044538706;0.0;0.2987012987012987;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;X;X;;;X;;;;0.0;28.0;9.0;63.0;9.0;91.0;72.0;28.0;-0.15769712140175218;0.0;0.63;0.0;0.0;-0.17777777777777778;0.0;0.0;0.0;-0.19611613513818402;-0.1232876712328767;0.0;0.0;0.06153846153846154;0.0;0.45985401459854014;0.0;0.0;
CPL2Program;;;;;;;;;;;;;X;;;X;X;;;;;;X;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;;;;X;X;;X;X;;;;;X;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;0.0;28.0;16.0;56.0;16.0;84.0;72.0;28.0;-0.2557077625570776;0.0;0.56;0.0;0.0;-0.26666666666666666;0.0;0.0;0.0;-0.2721655269759087;-0.2191780821917808;0.0;0.0;0.1111111111111111;0.0;0.3888888888888889;0.0;0.0;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;0.0;28.0;6.0;66.0;6.0;94.0;72.0;28.0;-0.10966057441253264;0.0;0.66;0.0;0.0;-0.13023255813953488;0.0;0.0;0.0;-0.1575521978122203;-0.0821917808219178;0.0;0.0;0.04105571847507331;0.0;0.4925373134328358;0.0;0.0;
Proxy2Select;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;X;X;X;;;X;;;;0.0;28.0;13.0;59.0;13.0;87.0;72.0;28.0;-0.2158956109134045;0.0;0.59;0.0;0.0;-0.23133142675564028;0.0;0.0;0.0;-0.24105981409580265;-0.1780821917808219;0.0;0.0;0.08941292065831491;0.0;0.41843971631205673;0.0;0.0;
