;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL14;SrcProxy.allInstances()->select(p|p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined())->forAll(p|TrgVariable.allInstances()->forAll(v|TrgSelectStat.allInstances()->one(ss|ss.matchedExp=v and TrgCompoundStat.allInstances()->one(cs|cs.statements->includes(ss)))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;2.0;9.0;89.0;9.0;91.0;98.0;2.0;-0.03383458646616541;0.0;0.89;0.0;0.0;-0.035467980295566505;0.0;0.0;0.0;-0.04492649300236792;-0.09090909090909091;0.0;0.0;0.015557476231633534;0.0;0.8018018018018018;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;0.0;2.0;49.0;49.0;49.0;51.0;98.0;2.0;-0.0399673735725938;0.0;0.49;0.0;0.0;-0.07272727272727272;0.0;0.0;0.0;-0.140028008402801;-0.494949494949495;0.0;0.0;0.03773584905660377;0.0;0.32450331125827814;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;;;;;X;X;;;;;;;;0.0;2.0;12.0;86.0;12.0;88.0;98.0;2.0;-0.03550295857988166;0.0;0.86;0.0;0.0;-0.038338658146964855;0.0;0.0;0.0;-0.05275349613399974;-0.12121212121212122;0.0;0.0;0.01744186046511628;0.0;0.7543859649122807;0.0;0.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;0.0;2.0;12.0;86.0;12.0;88.0;98.0;2.0;-0.03550295857988166;0.0;0.86;0.0;0.0;-0.038338658146964855;0.0;0.0;0.0;-0.05275349613399974;-0.12121212121212122;0.0;0.0;0.01744186046511628;0.0;0.7543859649122807;0.0;0.0;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;0.0;2.0;40.0;58.0;40.0;60.0;98.0;2.0;-0.039603960396039604;0.0;0.58;0.0;0.0;-0.061633281972265024;0.0;0.0;0.0;-0.11664236870396086;-0.40404040404040403;0.0;0.0;0.03134796238244514;0.0;0.4084507042253521;0.0;0.0;
StringSwitch2SelectStat;;;;;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;0.0;2.0;32.0;66.0;32.0;68.0;98.0;2.0;-0.039119804400977995;0.0;0.66;0.0;0.0;-0.05396290050590219;0.0;0.0;0.0;-0.09799919151000505;-0.32323232323232326;0.0;0.0;0.026936026936026935;0.0;0.4925373134328358;0.0;0.0;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;X;;;X;;;;0.0;2.0;11.0;87.0;11.0;89.0;98.0;2.0;-0.03503184713375796;0.0;0.87;0.0;0.0;-0.0374468085106383;0.0;0.0;0.0;-0.050223074950760886;-0.1111111111111111;0.0;0.0;0.01685823754789272;0.0;0.7699115044247787;0.0;0.0;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;;;;X;X;;;X;X;;X;X;;;;X;;;;;;0.0;2.0;43.0;55.0;43.0;57.0;98.0;2.0;-0.03974121996303143;0.0;0.55;0.0;0.0;-0.06497922176048357;0.0;0.0;0.0;-0.12407913578432646;-0.43434343434343436;0.0;0.0;0.033268858800773696;0.0;0.3793103448275862;0.0;0.0;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;0.0;2.0;9.0;89.0;9.0;91.0;98.0;2.0;-0.03383458646616541;0.0;0.89;0.0;0.0;-0.035467980295566505;0.0;0.0;0.0;-0.04492649300236792;-0.09090909090909091;0.0;0.0;0.015557476231633534;0.0;0.8018018018018018;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;;;X;;;;;X;X;;;;X;X;X;;;X;;;;0.0;2.0;21.0;77.0;21.0;79.0;98.0;2.0;-0.03790613718411552;0.0;0.77;0.0;0.0;-0.045283018867924525;0.0;0.0;0.0;-0.07365429242103544;-0.21212121212121213;0.0;0.0;0.02181818181818182;0.0;0.6260162601626016;0.0;0.0;
