;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL8;SrcAddressSwitch.allInstances()->forAll(as|TrgSelectStat.allInstances()->exists(ss|TrgSIPHeaderPlace.allInstances()->one(shp|shp=ss.matchedExp and if as.field='origin' then shp.header=SIPHeader::FROM else shp.header=SIPHeader::TO endif and if (not as.otherwise.oclIsUndefined()) then TrgSelectDefault.allInstances()->one(sd|sd=ss.selectDefault) else true endif)))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;10.0;8.0;82.0;8.0;92.0;90.0;10.0;-0.0975609756097561;0.0;0.82;0.0;0.0;-0.097799511002445;0.0;0.0;0.0;-0.09829463743659808;-0.08791208791208792;0.0;0.0;0.03484320557491289;0.0;0.6949152542372882;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;;;;;;;X;;X;;;;X;;;;X;X;X;X;X;;X;;X;;;X;X;X;X;;;;;;;;;;;X;;X;;;;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;0.0;10.0;41.0;49.0;41.0;59.0;90.0;10.0;-0.19158878504672897;0.0;0.49;0.0;0.0;-0.24706236818318772;0.0;0.0;0.0;-0.2778719237821003;-0.45054945054945056;0.0;0.0;0.13716962194713953;0.0;0.32450331125827814;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;;;;;;;;0.0;10.0;8.0;82.0;8.0;92.0;90.0;10.0;-0.0975609756097561;0.0;0.82;0.0;0.0;-0.097799511002445;0.0;0.0;0.0;-0.09829463743659808;-0.08791208791208792;0.0;0.0;0.03484320557491289;0.0;0.6949152542372882;0.0;0.0;
SubAction2Function;;;;X;;X;;;X;;;X;X;;;X;;X;;;;;X;;;X;;;;X;X;;;X;;X;X;;;;;X;;;;X;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;0.0;10.0;19.0;71.0;19.0;81.0;90.0;10.0;-0.15079365079365079;0.0;0.71;0.0;0.0;-0.15580155801558015;0.0;0.0;0.0;-0.16144070161261753;-0.2087912087912088;0.0;0.0;0.06861682918020946;0.0;0.5503875968992248;0.0;0.0;
Redirect2Return;;;X;;;X;;X;;X;;;;X;;;;;X;X;;;;;X;;X;;X;;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;;;;;;;;;;;;X;;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;0.0;10.0;33.0;57.0;33.0;67.0;90.0;10.0;-0.1813186813186813;0.0;0.57;0.0;0.0;-0.21215043394406943;0.0;0.0;0.0;-0.23393667553251238;-0.3626373626373626;0.0;0.0;0.10923535253227408;0.0;0.3986013986013986;0.0;0.0;
StringSwitch2SelectStat;;;;;X;;;;;;;;;;X;X;;;X;X;;;;;X;;;;;;;;;;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;;;X;;X;X;;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;0.0;10.0;25.0;65.0;25.0;75.0;90.0;10.0;-0.16666666666666666;0.0;0.65;0.0;0.0;-0.18018018018018017;0.0;0.0;0.0;-0.19245008972987526;-0.27472527472527475;0.0;0.0;0.08547008547008547;0.0;0.48148148148148145;0.0;0.0;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;X;;;X;;;;0.0;10.0;9.0;81.0;9.0;91.0;90.0;10.0;-0.10465116279069768;0.0;0.81;0.0;0.0;-0.10471204188481675;0.0;0.0;0.0;-0.10482848367219183;-0.0989010989010989;0.0;0.0;0.038314176245210725;0.0;0.680672268907563;0.0;0.0;
CPL2Program;X;;;X;;X;;;X;X;;X;X;;;X;X;X;X;X;;;X;;;X;;;;X;X;;X;X;;X;X;X;X;;;X;X;;X;X;;X;;;;X;;;X;X;;;X;X;;;;X;X;;;;;;;;;;X;;;;X;;;;X;X;;;X;X;;X;X;;;;X;;;;;;0.0;10.0;43.0;47.0;43.0;57.0;90.0;10.0;-0.19369369369369369;0.0;0.47;0.0;0.0;-0.25663980901223515;0.0;0.0;0.0;-0.2895179834967617;-0.4725274725274725;0.0;0.0;0.14522120905099628;0.0;0.30718954248366015;0.0;0.0;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;0.0;10.0;7.0;83.0;7.0;93.0;90.0;10.0;-0.08974358974358974;0.0;0.83;0.0;0.0;-0.09026434558349453;0.0;0.0;0.0;-0.09145054352812239;-0.07692307692307693;0.0;0.0;0.031236055332440876;0.0;0.7094017094017094;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X;X;X;;;X;;;;0.0;10.0;16.0;74.0;16.0;84.0;90.0;10.0;-0.14035087719298245;0.0;0.74;0.0;0.0;-0.14260249554367202;0.0;0.0;0.0;-0.14547859349066158;-0.17582417582417584;0.0;0.0;0.06006006006006006;0.0;0.5873015873015873;0.0;0.0;
