In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL19;SrcCPL.allInstances()->size() = TrgProgram.allInstances()->collect(p|p.service)->flatten()->collect(s|s.sessions)->flatten()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.09865470852017937;0.0;0.51;0.0;0.0;-0.1497107859816264;0.0;0.0;0.0;-0.2033553133277973;-0.08771929824561403;0.0;0.0;0.04638414505587181;0.0;0.3422818791946309;0.0;0.0
SubCall2Return;-0.5716680637049455;0.0;0.25;0.0;0.0;-0.592656962850315;0.0;0.0;0.0;-0.5941397734484494;-0.543859649122807;0.0;0.0;0.4584873949579832;0.0;0.14285714285714285;0.0;0.0
Busy2SelectCase;-0.11806797853309481;0.0;0.5;0.0;0.0;-0.17437252311756934;0.0;0.0;0.0;-0.22394636787385183;-0.10526315789473684;0.0;0.0;0.05617021276595745;0.0;0.3333333333333333;0.0;0.0
SubAction2Function;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
Redirect2Return;-0.41509433962264153;0.0;0.34;0.0;0.0;-0.4631578947368421;0.0;0.0;0.0;-0.47075654176200427;-0.38596491228070173;0.0;0.0;0.25882352941176473;0.0;0.20481927710843373;0.0;0.0
StringSwitch2SelectStat;-0.3793103448275862;0.0;0.36;0.0;0.0;-0.4330708661417323;0.0;0.0;0.0;-0.44320263021395917;-0.3508771929824561;0.0;0.0;0.22633744855967078;0.0;0.21951219512195122;0.0;0.0
NoAnswer2SelectCase;-0.15658362989323843;0.0;0.48;0.0;0.0;-0.22;0.0;0.0;0.0;-0.2613866510869666;-0.14035087719298245;0.0;0.0;0.0763888888888889;0.0;0.3157894736842105;0.0;0.0
CPL2Program;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;44.0;0.44;1.0;0.0;0.9999594172314435;1.0;1.0;1.0
Outgoing2Method;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
Proxy2Select;-0.21359223300970873;0.0;0.45;0.0;0.0;-0.28115015974440893;0.0;0.0;0.0;-0.3116259848185404;-0.19298245614035087;0.0;0.0;0.10864197530864197;0.0;0.2903225806451613;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
AddressSwitch2SelectStat;-0.1756876663708962;0.0;0.47;0.0;0.0;-0.24124276576302162;0.0;0.0;0.0;-0.27876155810913894;-0.15789473684210525;0.0;0.0;0.08686115376178986;0.0;0.30718954248366015;0.0;0.0
Proxy2Return;-0.059513074842200184;0.0;0.53;0.0;0.0;-0.09582577132486389;0.0;0.0;0.0;-0.15588598983300272;-0.05263157894736842;0.0;0.0;0.0273688575575368;0.0;0.36054421768707484;0.0;0.0
Default2SelectDefault;-0.11806797853309481;0.0;0.5;0.0;0.0;-0.17437252311756934;0.0;0.0;0.0;-0.22394636787385183;-0.10526315789473684;0.0;0.0;0.05617021276595745;0.0;0.3333333333333333;0.0;0.0
SwitchedAddress2SelectCase;-0.09865470852017937;0.0;0.51;0.0;0.0;-0.1497107859816264;0.0;0.0;0.0;-0.2033553133277973;-0.08771929824561403;0.0;0.0;0.04638414505587181;0.0;0.3422818791946309;0.0;0.0
NotPresent2ErrorResponse;-0.45051194539249145;0.0;0.32;0.0;0.0;-0.4925373134328358;0.0;0.0;0.0;-0.4981167541368988;-0.42105263157894735;0.0;0.0;0.29464285714285715;0.0;0.19047619047619047;0.0;0.0
Location2URIConstant;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
Otherwise2SelectDefault;-0.28820960698689957;0.0;0.41;0.0;0.0;-0.35303557100829097;0.0;0.0;0.0;-0.3723646897664626;-0.2631578947368421;0.0;0.0;0.1562869997632015;0.0;0.2578616352201258;0.0;0.0
Incoming2Method;0.0;0.0;0.56;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3888888888888889;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.868421052631579;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL19;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL19;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL19;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.868421052631579;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842
