;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL7;SrcSwitchedAddress.allInstances()->select(sa|not sa.is.oclIsUndefined())->forAll(sa | TrgStringConstant.allInstances()->one(st | st.value=sa.is))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;7.0;8.0;85.0;8.0;92.0;93.0;7.0;-0.08069164265129683;0.0;0.85;0.0;0.0;-0.08074981975486661;0.0;0.0;0.0;-0.0809018821752896;-0.0851063829787234;0.0;0.0;0.029946524064171122;0.0;0.7391304347826086;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;;;;;;;X;;X;;;;X;;X;;X;X;X;X;X;;X;;X;;;X;X;X;X;;;;;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;0.0;7.0;44.0;49.0;44.0;56.0;93.0;7.0;-0.13737734165923282;0.0;0.49;0.0;0.0;-0.19775280898876405;0.0;0.0;0.0;-0.24318672855696005;-0.46808510638297873;0.0;0.0;0.10837438423645321;0.0;0.32450331125827814;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;0.0;7.0;9.0;84.0;9.0;91.0;93.0;7.0;-0.08548168249660787;0.0;0.84;0.0;0.0;-0.08571428571428572;0.0;0.0;0.0;-0.08627959628145762;-0.09574468085106383;0.0;0.0;0.03260869565217391;0.0;0.7241379310344828;0.0;0.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;0.0;7.0;13.0;80.0;13.0;87.0;93.0;7.0;-0.1001100110011001;0.0;0.8;0.0;0.0;-0.10213243546576879;0.0;0.0;0.0;-0.10605217885419964;-0.13829787234042554;0.0;0.0;0.04212962962962963;0.0;0.6666666666666666;0.0;0.0;
Redirect2Return;;;X;;;X;;X;X;X;;;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;0.0;7.0;38.0;55.0;38.0;62.0;93.0;7.0;-0.13407258064516128;0.0;0.55;0.0;0.0;-0.1769205187894912;0.0;0.0;0.0;-0.21478477801546428;-0.40425531914893614;0.0;0.0;0.09300699300699301;0.0;0.3793103448275862;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;0.0;7.0;31.0;62.0;31.0;69.0;93.0;7.0;-0.1289364230540701;0.0;0.62;0.0;0.0;-0.15555555555555556;0.0;0.0;0.0;-0.1838924281224568;-0.32978723404255317;0.0;0.0;0.07777777777777778;0.0;0.4492753623188406;0.0;0.0;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;0.0;7.0;10.0;83.0;10.0;90.0;93.0;7.0;-0.08974358974358974;0.0;0.83;0.0;0.0;-0.09026434558349453;0.0;0.0;0.0;-0.09145054352812239;-0.10638297872340426;0.0;0.0;0.035140562248995984;0.0;0.7094017094017094;0.0;0.0;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;;X;;;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;0.0;7.0;41.0;52.0;41.0;59.0;93.0;7.0;-0.13582584003786086;0.0;0.52;0.0;0.0;-0.18697068403908795;0.0;0.0;0.0;-0.22870384614970263;-0.43617021276595747;0.0;0.0;0.10034965034965035;0.0;0.35135135135135137;0.0;0.0;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;0.0;7.0;10.0;83.0;10.0;90.0;93.0;7.0;-0.08974358974358974;0.0;0.83;0.0;0.0;-0.09026434558349453;0.0;0.0;0.0;-0.09145054352812239;-0.10638297872340426;0.0;0.0;0.035140562248995984;0.0;0.7094017094017094;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;0.0;7.0;18.0;75.0;18.0;82.0;93.0;7.0;-0.11209964412811388;0.0;0.75;0.0;0.0;-0.11847672778561354;0.0;0.0;0.0;-0.12853957868590132;-0.19148936170212766;0.0;0.0;0.0525;0.0;0.6;0.0;0.0;
