;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL13;SrcOtherwise.allInstances()->size() + SrcDefault.allInstances()->size() + SrcAddressSwitch.allInstances()->size() = TrgSelectDefault.allInstances()->size() + TrgSIPHeaderPlace.allInstances()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;12.0;7.0;81.0;7.0;93.0;88.0;12.0;-0.09699769053117784;0.0;0.81;0.0;0.0;-0.0984182776801406;0.0;0.0;0.0;-0.10131105378372257;-0.07865168539325842;0.0;0.0;0.03345280764635603;0.0;0.680672268907563;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;;;X;X;X;X;X;X;3.0;9.0;44.0;44.0;47.0;53.0;88.0;12.0;-0.11064543168482817;0.06382978723404255;0.47;0.15691489361702127;0.06382978723404253;-0.148858190019735;0.006309148264984227;2.2726308580848087E-6;0.12632278815997786;-0.16277402550827513;2.50561797752809;0.03;0.2146882957832993;0.15353901996370237;0.08138199499848235;0.30718954248366015;0.16981132075471697;0.3333333333333333;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;;;;;;;;;0.0;12.0;11.0;77.0;11.0;89.0;88.0;12.0;-0.12966601178781925;0.0;0.77;0.0;0.0;-0.12972972972972974;0.0;0.0;0.0;-0.12982269672237465;-0.12359550561797752;0.0;0.0;0.04897959183673469;0.0;0.6260162601626016;0.0;0.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;;X;;;;;;X;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;0.0;12.0;10.0;78.0;10.0;90.0;88.0;12.0;-0.12244897959183673;0.0;0.78;0.0;0.0;-0.12269938650306748;0.0;0.0;0.0;-0.12309149097933274;-0.11235955056179775;0.0;0.0;0.04524886877828054;0.0;0.639344262295082;0.0;0.0;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;4.0;8.0;35.0;53.0;39.0;61.0;88.0;12.0;-0.03266090297790586;0.10256410256410256;0.57;0.21794871794871795;0.10256410256410253;-0.039592430858806406;0.01092896174863388;5.71390206657553E-6;0.1849000654084097;-0.042902216740582755;3.606741573033708;0.04;0.3014969706951049;0.11407678244972577;0.1337455316327195;0.3986013986013986;0.37209302325581395;0.45595854922279794;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;;X;;X;X;;X;;5.0;7.0;27.0;61.0;32.0;68.0;88.0;12.0;0.06387665198237885;0.15625;0.66;0.28645833333333337;0.15625;0.07178217821782178;0.01824817518248175;1.3226148624877327E-5;0.2551551815399144;0.07652380997938578;4.696629213483146;0.05;0.3978490729304945;0.08832807570977919;0.201191572837446;0.4925373134328358;0.7352941176470589;0.5759162303664922;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;;X;;;X;;;;0.0;12.0;10.0;78.0;10.0;90.0;88.0;12.0;-0.12244897959183673;0.0;0.78;0.0;0.0;-0.12269938650306748;0.0;0.0;0.0;-0.12309149097933274;-0.11235955056179775;0.0;0.0;0.04524886877828054;0.0;0.639344262295082;0.0;0.0;
CPL2Program;X;;;;;X;;;;;;;;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;;;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;3.0;9.0;36.0;52.0;39.0;61.0;88.0;12.0;-0.08069164265129683;0.07692307692307693;0.55;0.16346153846153846;0.07692307692307687;-0.09781659388646288;0.007662835249042145;2.777654326474379E-6;0.13867504905630726;-0.1059937119473221;2.595505617977528;0.03;0.2560753351284245;0.12380952380952381;0.0984165232769068;0.3793103448275862;0.2;0.3793103448275862;
Outgoing2Method;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;0.0;12.0;9.0;79.0;9.0;91.0;88.0;12.0;-0.11464968152866242;0.0;0.79;0.0;0.0;-0.1152;0.0;0.0;0.0;-0.11613144917081457;-0.10112359550561797;0.0;0.0;0.04142692750287687;0.0;0.6528925619834711;0.0;0.0;
Proxy2Select;X;;;;;;;;;;;;;;X;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;;X;;;X;;;;0.0;12.0;18.0;70.0;18.0;82.0;88.0;12.0;-0.16822429906542055;0.0;0.7;0.0;0.0;-0.17061611374407584;0.0;0.0;0.0;-0.1730129508244783;-0.20224719101123595;0.0;0.0;0.07346938775510205;0.0;0.5384615384615384;0.0;0.0;
