In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL14;SrcProxy.allInstances()->select(p|p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined())->forAll(p|TrgVariable.allInstances()->forAll(v|TrgSelectStat.allInstances()->one(ss|ss.matchedExp=v and TrgCompoundStat.allInstances()->one(cs|cs.statements->includes(ss)))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.08396946564885496;0.1111111111111111;0.88;0.15555555555555556;0.11111111111111116;0.08500772797527048;0.02631578947368421;3.1248730520322614E-6;0.14907119849998599;0.08818077954471167;0.9166666666666666;0.01;0.4625432760617778;0.025787965616045846;0.1394636003543669;0.7857142857142857;0.08333333333333333;0.7037037037037037
SubCall2Return;-0.09936575052854123;0.0;0.48;0.0;0.0;-0.15846257585974377;0.0;0.0;0.0;-0.21604001247700055;-0.4895833333333333;0.0;0.0;0.08589181286549707;0.0;0.3157894736842105;0.0;0.0
Busy2SelectCase;-0.0738255033557047;0.0;0.84;0.0;0.0;-0.07565337001375516;0.0;0.0;0.0;-0.08065374517945526;-0.11458333333333333;0.0;0.0;0.031179138321995464;0.0;0.7241379310344828;0.0;0.0
SubAction2Function;-0.0738255033557047;0.0;0.84;0.0;0.0;-0.07565337001375516;0.0;0.0;0.0;-0.08065374517945526;-0.11458333333333333;0.0;0.0;0.031179138321995464;0.0;0.7241379310344828;0.0;0.0
Redirect2Return;-0.09693877551020408;0.0;0.57;0.0;0.0;-0.1342281879194631;0.0;0.0;0.0;-0.1796053020267749;-0.3958333333333333;0.0;0.0;0.06944444444444445;0.0;0.3986013986013986;0.0;0.0
StringSwitch2SelectStat;-0.09422492401215805;0.0;0.64;0.0;0.0;-0.11859219586840092;0.0;0.0;0.0;-0.15377279246014755;-0.3229166666666667;0.0;0.0;0.05907012195121951;0.0;0.47058823529411764;0.0;0.0
NoAnswer2SelectCase;0.17721518987341772;0.16666666666666666;0.87;0.2833333333333333;0.16666666666666663;0.18288700195950358;0.046511627906976744;1.3332000133320001E-5;0.2581988897471611;0.19767387315371676;1.8958333333333333;0.02;0.5363502279139795;0.02635431918008785;0.23999867349569773;0.7699115044247787;0.3076923076923077;0.7916666666666666
CPL2Program;-0.09785202863961814;0.0;0.54;0.0;0.0;-0.14167242570836214;0.0;0.0;0.0;-0.19124457394948602;-0.4270833333333333;0.0;0.0;0.07443718228031954;0.0;0.3698630136986301;0.0;0.0
Outgoing2Method;-0.061946902654867256;0.0;0.88;0.0;0.0;-0.06216696269982238;0.0;0.0;0.0;-0.06294058066909786;-0.07291666666666667;0.0;0.0;0.02339572192513369;0.0;0.7857142857142857;0.0;0.0
Proxy2Select;0.31451612903225806;0.22727272727272727;0.83;0.6136363636363636;0.2272727272727273;0.35600182565038796;0.11764705882352941;0.22727272727272727;0.4767312946227962;0.43197554423068574;4.822916666666667;0.05;0.5927989381727179;0.0;0.4319277026398098;0.7094017094017094;1.4705882352941178;0.8482142857142856
Failure2ErrorResponse;0.0;0.0;0.95;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9047619047619048;0.0;0.0
AddressSwitch2SelectStat;-0.08695652173913043;0.0;0.75;0.0;0.0;-0.0963855421686747;0.0;0.0;0.0;-0.11470786693528089;-0.20833333333333334;0.0;0.0;0.044444444444444446;0.0;0.6;0.0;0.0
Proxy2Return;0.8230088495575221;0.7142857142857143;0.98;0.8571428571428572;0.7142857142857143;0.8259325044404974;1.0;0.7142857142857143;0.8451542547285166;0.8362105717465858;4.979166666666667;0.05;0.9299814487843855;0.0;0.8360602228440139;0.9607843137254902;12.5;0.979381443298969
Default2SelectDefault;0.19463087248322147;0.18181818181818182;0.88;0.2909090909090909;0.18181818181818177;0.19944979367262725;0.05128205128205128;1.4813278622957619E-5;0.26967994498529685;0.21263260092765476;1.90625;0.02;0.5574385243020007;0.02546296296296296;0.2521892758164988;0.7857142857142857;0.3333333333333333;0.8085106382978723
SwitchedAddress2SelectCase;-0.07142857142857142;0.0;0.85;0.0;0.0;-0.07272727272727272;0.0;0.0;0.0;-0.07647191129018725;-0.10416666666666667;0.0;0.0;0.029411764705882353;0.0;0.7391304347826086;0.0;0.0
NotPresent2ErrorResponse;-0.09550561797752809;0.0;0.61;0.0;0.0;-0.1250459727841118;0.0;0.0;0.0;-0.16466097788958203;-0.3541666666666667;0.0;0.0;0.06333830104321908;0.0;0.43884892086330934;0.0;0.0
Location2URIConstant;0.0;0.0;0.95;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9047619047619048;0.0;0.0
Otherwise2SelectDefault;-0.09215017064846416;0.0;0.68;0.0;0.0;-0.11038430089942763;0.0;0.0;0.0;-0.1395223079123588;-0.28125;0.0;0.0;0.053656597774244835;0.0;0.5151515151515151;0.0;0.0
Incoming2Method;-0.08108108108108109;0.0;0.8;0.0;0.0;-0.08571428571428572;0.0;0.0;0.0;-0.09637388493048532;-0.15625;0.0;0.0;0.0375;0.0;0.6666666666666666;0.0;0.0
EXAM-BC;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.21052631578947367;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684
EXAM-WC;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.21052631578947367;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;1.0;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684
EXAM-AVG;0.10526315789473684;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.21052631578947367;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.07894736842105263;0.10526315789473684;0.9210526315789473;0.10526315789473684;0.5789473684210527;0.10526315789473684;0.10526315789473684

OCL15;SrcRedirect.allInstances()->size() + SrcRedirection.allInstances()->size() = TrgRedirectionErrorResponse.allInstances() -> select(rer | rer.errorKind=RedirectionErrorKind::MOVED_PERMANENTLY or rer.errorKind=RedirectionErrorKind::MOVED_TEMPORARILY or rer.errorKind=RedirectionErrorKind::MULTIPLE_CHOICES)->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.057483731019522775;0.058823529411764705;0.61;0.14052287581699346;0.2222222222222222;-0.06921318968331701;0.0076045627376425855;1.7856489182092441E-6;0.1143323900950059;-0.07819022954349819;1.8955223880597014;0.02;0.24801563605681923;0.06771690571361393;0.08703553352168242;0.43884892086330934;0.10256410256410256;0.3567567567567567
SubCall2Return;0.041598694942903754;0.3617021276595745;0.53;0.4308510638297872;0.36170212765957444;0.04308342133051742;0.018691588785046728;5.665458035619068E-5;0.42526587428312096;0.04314215965768519;16.55223880597015;0.17;0.47035470333644674;0.30813729271114537;0.25884200990364314;0.36054421768707484;6.148936170212766;0.5238095238095238
Busy2SelectCase;-0.09275053304904052;0.058823529411764705;0.59;0.12032085561497327;0.18181818181818177;-0.10797393732547317;0.0060790273556231;1.3888474163618726E-6;0.10341753799900383;-0.1173941555292538;1.8656716417910448;0.02;0.23617303073964482;0.08331360946745563;0.07690822340655705;0.41843971631205673;0.0975609756097561;0.3013698630136986
SubAction2Function;-0.09275053304904052;0.058823529411764705;0.59;0.12032085561497327;0.18181818181818177;-0.10797393732547317;0.0060790273556231;1.3888474163618726E-6;0.10341753799900383;-0.1173941555292538;1.8656716417910448;0.02;0.23617303073964482;0.08331360946745563;0.07690822340655705;0.41843971631205673;0.0975609756097561;0.3013698630136986
Redirect2Return;0.22010398613518198;0.47368421052631576;0.64;0.5015479876160991;0.4736842105263158;0.22086956521739132;0.027950310559006212;1.0121925465139964E-4;0.5007733956671915;0.22093506191571033;17.701492537313435;0.18;0.5650860196530401;0.22686567164179106;0.36009109368385894;0.47058823529411764;9.0;0.6359743040685224
StringSwitch2SelectStat;0.06648451730418943;0.35294117647058826;0.59;0.3700189753320683;0.3870967741935484;0.06662103582021446;0.018072289156626505;3.444451992471959E-5;0.3696246621802185;0.06664016093375447;11.716417910447761;0.12;0.4657888869207613;0.21147286821705427;0.2574201048966831;0.41843971631205673;3.5121951219512195;0.5507649513212796
NoAnswer2SelectCase;-0.10993657505285412;0.058823529411764705;0.58;0.11274509803921567;0.16666666666666663;-0.12606060606060607;0.0055248618784530384;1.2499656259452865E-6;0.09901475429766744;-0.13512009738500697;1.8507462686567164;0.02;0.23052972601910704;0.09125475285171103;0.07275224941354907;0.4084507042253521;0.09523809523809523;0.2796610169491526
CPL2Program;-0.08234295415959253;0.2926829268292683;0.49;0.32281205164992827;0.29268292682926833;-0.08320823504181857;0.012711864406779662;2.256785873021943E-5;0.3214029504033481;-0.08326689485060214;11.567164179104477;0.12;0.3933721085931856;0.30421585160202363;0.19056141529863055;0.32450331125827814;2.823529411764706;0.4454443194600675
Outgoing2Method;-0.076158940397351;0.029411764705882353;0.61;0.0861344537815126;0.1428571428571429;-0.09533678756476684;0.004597701149425287;5.050403022161169E-7;0.06482037235521644;-0.11417661566106167;0.9104477611940298;0.01;0.1831770785741419;0.05306685044796692;0.04963789993421304;0.43884892086330934;0.02564102564102564;0.24444444444444444
