In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL18;SrcCPL.allInstances()->collect(c | c.subActions)->flatten()->size() = TrgService.allInstances()->collect(s|s.declarations)->flatten()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.08418367346938775;0.0;0.83;0.0;0.0;-0.08554763447828904;0.0;0.0;0.0;-0.08882046400846719;-0.06666666666666667;0.0;0.0;0.028399311531841654;0.0;0.7094017094017094;0.0;0.0
SubCall2Return;-0.023731968357375524;0.0975609756097561;0.56;0.23059866962305986;0.09756097560975607;-0.03001765744555621;0.011527377521613832;6.177148257735334E-6;0.18835264373920443;-0.03314064037497294;3.588888888888889;0.04;0.2951226261839991;0.10708955223880597;0.1351530449440895;0.3888888888888889;0.36363636363636365;0.46657929226736566
Busy2SelectCase;-0.06232294617563739;0.0;0.85;0.0;0.0;-0.06456346294937637;0.0;0.0;0.0;-0.07176219571670307;-0.044444444444444446;0.0;0.0;0.019909502262443438;0.0;0.7391304347826086;0.0;0.0
SubAction2Function;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;11.0;0.11;1.0;0.0;0.9998978653865795;1.0;1.0;1.0
Redirect2Return;0.026696329254727477;0.125;0.65;0.24431818181818182;0.125;0.030427892234548337;0.015037593984962405;8.162615628552013E-6;0.21320071635561041;0.03288671131032637;3.688888888888889;0.04;0.3592149391648127;0.08648648648648649;0.16716266284783626;0.48148148148148145;0.45714285714285713;0.536144578313253
StringSwitch2SelectStat;0.024226110363391656;0.125;0.71;0.19886363636363635;0.125;0.025686764181234393;0.014184397163120567;5.35683675218559E-6;0.1846372364689991;0.026940071118289614;2.7666666666666666;0.03;0.3734181083603479;0.07559055118110236;0.15264897974150124;0.5503875968992248;0.3103448275862069;0.536144578313253
NoAnswer2SelectCase;-0.08418367346938775;0.0;0.83;0.0;0.0;-0.08554763447828904;0.0;0.0;0.0;-0.08882046400846719;-0.06666666666666667;0.0;0.0;0.028399311531841654;0.0;0.7094017094017094;0.0;0.0
CPL2Program;0.3733681462140992;0.3142857142857143;0.76;0.6571428571428571;0.3142857142857143;0.43945912722802705;0.08333333333333333;0.3142857142857143;0.5606119105813882;0.47909760011232244;10.733333333333333;0.11;0.6112698312584411;0.0;0.47906549953454297;0.6129032258064516;5.041666666666667;0.7876106194690266
Outgoing2Method;0.14945321992709598;0.18181818181818182;0.86;0.23376623376623376;0.2857142857142857;0.150920245398773;0.03389830508474576;8.888256835069507E-6;0.2279211529192759;0.15407184074557842;1.9444444444444444;0.02;0.5165993131297737;0.03230769230769231;0.21041323064943768;0.7543859649122807;0.2857142857142857;0.7639484978540773
Proxy2Select;-0.171875;0.0;0.67;0.0;0.0;-0.17959183673469387;0.0;0.0;0.0;-0.18670905391899717;-0.24444444444444444;0.0;0.0;0.08208955223880597;0.0;0.5037593984962406;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
AddressSwitch2SelectStat;0.1755976916735367;0.23529411764705882;0.8;0.2994652406417112;0.23529411764705888;0.17824267782426778;0.030534351145038167;1.7580562929625007E-5;0.29250896965085227;0.1812277717330617;3.8555555555555556;0.04;0.5173232186884335;0.05721153846153846;0.2586317158774365;0.6666666666666666;0.8;0.7134268537074148
Proxy2Return;-0.03503184713375796;0.0;0.87;0.0;0.0;-0.0374468085106383;0.0;0.0;0.0;-0.050223074950760886;-0.022222222222222223;0.0;0.0;0.01053639846743295;0.0;0.7699115044247787;0.0;0.0
Default2SelectDefault;-0.10208816705336426;0.0;0.81;0.0;0.0;-0.10262390670553936;0.0;0.0;0.0;-0.10366983780795878;-0.08888888888888889;0.0;0.0;0.03621399176954732;0.0;0.680672268907563;0.0;0.0
