In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL9;SrcSubCall.allInstances()->size() = TrgFunctionCallExp.allInstances()->size() and SrcSubCall.allInstances()->size() = TrgFunctionCall.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.11970684039087948;0.0;0.45;0.0;0.0;-0.19196865817825662;0.0;0.0;0.0;-0.24764219818702873;-0.11538461538461539;0.0;0.0;0.06282051282051282;0.0;0.2903225806451613;0.0;0.0
SubCall2Return;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;49.0;0.49;1.0;0.0;0.9999599855948141;1.0;1.0;1.0
Busy2SelectCase;-0.11970684039087948;0.0;0.45;0.0;0.0;-0.19196865817825662;0.0;0.0;0.0;-0.24764219818702873;-0.11538461538461539;0.0;0.0;0.06282051282051282;0.0;0.2903225806451613;0.0;0.0
SubAction2Function;-0.1793411956079707;0.0;0.42;0.0;0.0;-0.26582278481012656;0.0;0.0;0.0;-0.30825739964255383;-0.17307692307692307;0.0;0.0;0.09813084112149532;0.0;0.26582278481012656;0.0;0.0
Redirect2Return;-0.3967611336032389;0.0;0.31;0.0;0.0;-0.47816540619663334;0.0;0.0;0.0;-0.4900980294098034;-0.38461538461538464;0.0;0.0;0.26790595954073265;0.0;0.1834319526627219;0.0;0.0
StringSwitch2SelectStat;-0.436084142394822;0.0;0.29;0.0;0.0;-0.5115065243179122;0.0;0.0;0.0;-0.5205674283520202;-0.4230769230769231;0.0;0.0;0.30977011494252876;0.0;0.1695906432748538;0.0;0.0
NoAnswer2SelectCase;-0.1594792514239219;0.0;0.43;0.0;0.0;-0.24234930448222566;0.0;0.0;0.0;-0.28904404865536687;-0.15384615384615385;0.0;0.0;0.08600263273365512;0.0;0.27388535031847133;0.0;0.0
CPL2Program;-0.5145395799676898;0.0;0.25;0.0;0.0;-0.576079583992765;0.0;0.0;0.0;-0.5810102124615639;-0.5;0.0;0.0;0.41096774193548385;0.0;0.14285714285714285;0.0;0.0
Outgoing2Method;-0.1793411956079707;0.0;0.42;0.0;0.0;-0.26582278481012656;0.0;0.0;0.0;-0.30825739964255383;-0.17307692307692307;0.0;0.0;0.09813084112149532;0.0;0.26582278481012656;0.0;0.0
Proxy2Select;-0.2388302193338749;0.0;0.39;0.0;0.0;-0.3308016877637131;0.0;0.0;0.0;-0.36196138299651337;-0.23076923076923078;0.0;0.0;0.13706293706293707;0.0;0.2422360248447205;0.0;0.0
