In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL10;SrcRedirect.allInstances()->forAll(r|TrgHeadedMessageField.allInstances()->exists(hmf|hmf.headerId='#contact:'and TrgConstantExp.allInstances()->exists(ce|ce=hmf.exp and TrgRedirectionErrorResponse.allInstances()->exists(rer|rer.errorKind=if r.permanent='true' then RedirectionErrorKind::MOVED_PERMANENTLY else RedirectionErrorKind::MOVED_TEMPORARILY endif and TrgConstantExp.allInstances()->exists(cep|TrgConstantExp.allInstances()->exists(cep2|TrgReasonMessageField.allInstances()->exists(rmf|rmf.exp=cep2 and TrgWithExp.allInstances()->exists(we|we.exp=cep and we.msgFields->includes(rmf) and we.msgFields->includes(hmf)))))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.04509283819628647;0.11428571428571428;0.64;0.27936507936507937;0.4444444444444444;0.054945054945054944;0.01762114537444934;1.032151519843113E-5;0.2253744679276044;0.06227106227106227;3.9242424242424243;0.04;0.3512570601866677;0.06732625482625483;0.17581129587576003;0.47058823529411764;0.4444444444444444;0.5977011494252874
SubCall2Return;0.0778688524590164;0.391304347826087;0.55;0.4527950310559006;0.3913043478260869;0.07984870771170414;0.02043132803632236;6.805101473724538E-5;0.44860030765130415;0.07992582075224146;17.575757575757574;0.18;0.49328304906168774;0.3007692307692308;0.2801492500269403;0.3793103448275862;7.2;0.5441860465116278
Busy2SelectCase;-0.06217616580310881;0.08571428571428572;0.59;0.16785714285714287;0.25;-0.0720504353047133;0.008583690987124463;3.1248567773977025E-6;0.14638501094227999;-0.07742096611387637;2.8636363636363638;0.03;0.28021534913430124;0.09177820267686425;0.10838236000357594;0.41843971631205673;0.21951219512195122;0.38235294117647056
SubAction2Function;0.1122715404699739;0.17142857142857143;0.66;0.35844155844155845;0.5454545454545454;0.13214505224339274;0.024291497975708502;2.4823477493380406E-5;0.30578831486257535;0.14406431332048858;5.924242424242424;0.06;0.4234714860277011;0.08067779463834092;0.2412078039614482;0.4925373134328358;1.0588235294117647;0.6902654867256637
Redirect2Return;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;35.0;0.35;1.0;0.0;0.9999560458880928;1.0;1.0;1.0
StringSwitch2SelectStat;0.11363636363636363;0.37142857142857144;0.61;0.4023809523809524;0.43333333333333335;0.11428571428571428;0.020717131474103586;4.517899973159932E-5;0.401188709901439;0.11437725271791939;12.742424242424242;0.13;0.4933748498798799;0.20535158680771623;0.2854725621569725;0.43884892086330934;4.333333333333333;0.5868055555555556
NoAnswer2SelectCase;0.007832898172323759;0.11428571428571428;0.62;0.23896103896103896;0.36363636363636365;0.00921942224953903;0.013651877133105802;7.372701099638369E-6;0.20385887657505022;0.010050998603755017;3.893939393939394;0.04;0.33603051961204766;0.08264663111972854;0.15544502921959996;0.4492753623188406;0.42105263157894735;0.5148514851485149
CPL2Program;-0.0995850622406639;0.29545454545454547;0.47;0.3334415584415584;0.2954545454545454;-0.10128719139058873;0.012664393570384803;2.4776941551927924E-5;0.3312706744344566;-0.10136783931241417;12.530303030303031;0.13;0.39097117787591157;0.34132581100141046;0.18667788609454575;0.30718954248366015;3.188679245283019;0.43782383419689114
Outgoing2Method;0.04891304347826087;0.08571428571428572;0.65;0.29285714285714287;0.5;0.06340260655160268;0.020202020202020204;9.373886850936451E-6;0.20701966780270628;0.07945335801632392;2.9545454545454546;0.03;0.3222069629527066;0.0451764705882353;0.16418911170454206;0.48148148148148145;0.2571428571428571;0.65
Proxy2Select;0.0;0.2;0.59;0.275;0.35;0.0;0.013793103448275862;1.3460295972679445E-5;0.2645751311064591;0.0;6.803030303030303;0.07;0.3887784253411832;0.14799154334038056;0.1907778408075041;0.41843971631205673;1.1951219512195121;0.5
