;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL21;SrcSubAction.allInstances()->size() = TrgLocalFunctionDeclaration.allInstances()->collect(lfd|TrgSimpleType.allInstances()->select(st|st=lfd.returnType)->asSequence()->first())->flatten()->select(st | st.type = PrimitiveType::response)->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;23.0;7.0;70.0;7.0;93.0;77.0;23.0;-0.12023898431665422;0.0;0.7;0.0;0.0;-0.1329479768786127;0.0;0.0;0.0;-0.14994296732636506;-0.08974358974358974;0.0;0.0;0.04339622641509434;0.0;0.5384615384615384;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;;;X;;;;X;;;X;;;;;;;;;;;;X;;X;;X;;X;;;X;X;X;X;;X;;X;X;;;X;;X;;;;X;;;X;;;;X;;X;;;X;;;X;X;;;X;X;;X;;;;X;X;X;X;X;1.0;22.0;39.0;38.0;40.0;60.0;77.0;23.0;-0.36771300448430494;0.025;0.39;0.034239130434782605;0.025000000000000022;-0.39319108127547353;0.0011254924029262803;1.1654927435256295E-7;0.03296902366978935;-0.39773970833722394;0.5;0.01;0.10510490125620271;0.2770780856423174;0.01843094615231684;0.2422360248447205;0.01639344262295082;0.07905544147843943;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;0.0;23.0;10.0;67.0;10.0;90.0;77.0;23.0;-0.1619718309859155;0.0;0.67;0.0;0.0;-0.1722201422688132;0.0;0.0;0.0;-0.18217857500000703;-0.1282051282051282;0.0;0.0;0.06130063965884861;0.0;0.5037593984962406;0.0;0.0;
SubAction2Function;;;;;;X;X;;;X;;;;;;;;X;;;;;X;;;X;X;;;;;;;;;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;X;;X;;;;;;15.0;8.0;1.0;76.0;16.0;84.0;77.0;23.0;0.7155499367888748;0.6521739130434783;0.91;0.7948369565217391;0.9375;0.7268057784911718;0.1986754966887417;0.002799900447984072;0.7819290527140305;0.7337320873046345;14.987179487179487;0.15;0.8441933079957192;0.0906515580736544;0.7388695815329089;0.8348623853211009;25.0;0.9804753820033956;
Redirect2Return;;;X;;;;;X;X;;;X;;X;;;;;X;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;X;;;;;;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;;;X;;;;X;;;X;;X;;;;X;X;X;0.0;23.0;29.0;48.0;29.0;71.0;77.0;23.0;-0.3450594930160372;0.0;0.48;0.0;0.0;-0.3483028720626632;0.0;0.0;0.0;-0.3492917917838504;-0.3717948717948718;0.0;0.0;0.1852777777777778;0.0;0.3157894736842105;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;;;;X;X;;;;;X;;;;;;;;;X;X;;;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;;X;;X;X;;X;;0.0;23.0;28.0;49.0;28.0;72.0;77.0;23.0;-0.3378803777544596;0.0;0.49;0.0;0.0;-0.34011090573012936;0.0;0.0;0.0;-0.3408249054303634;-0.358974358974359;0.0;0.0;0.1776061776061776;0.0;0.32450331125827814;0.0;0.0;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;X;;;X;;;;0.0;23.0;9.0;68.0;9.0;91.0;77.0;23.0;-0.14860014357501794;0.0;0.68;0.0;0.0;-0.15984555984555984;0.0;0.0;0.0;-0.1718775339733027;-0.11538461538461539;0.0;0.0;0.055347593582887704;0.0;0.5151515151515151;0.0;0.0;
CPL2Program;X;;;;;;;;;;;;X;;;X;X;;X;X;;;;;;X;;;;X;X;;X;;;;;X;X;;;;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;;;X;X;;X;;;X;;X;;;;X;X;;;;;;;X;X;;X;X;;;;;;;;;;8.0;15.0;27.0;50.0;35.0;65.0;77.0;23.0;-0.002386634844868735;0.22857142857142856;0.58;0.28819875776397513;0.22857142857142854;-0.002471576866040534;0.013961605584642234;1.5800908552241753E-5;0.28196295074009653;-0.002490978753236271;7.653846153846154;0.08;0.4;0.17676767676767677;0.1992683727932453;0.4084507042253521;1.5238095238095237;0.49797898140662894;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;23.0;3.0;74.0;3.0;97.0;77.0;23.0;-0.056051990251827784;0.0;0.74;0.0;0.0;-0.06692531522793405;0.0;0.0;0.0;-0.09611547479941228;-0.038461538461538464;0.0;0.0;0.019029233314947602;0.0;0.5873015873015873;0.0;0.0;
Proxy2Select;X;;;;;;;;;;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;;;X;;;;;X;;;;;X;;X;;;X;;;;0.0;23.0;17.0;60.0;17.0;83.0;77.0;23.0;-0.2430080795525171;0.0;0.6;0.0;0.0;-0.245757385292269;0.0;0.0;0.0;-0.24734547513821703;-0.21794871794871795;0.0;0.0;0.10343915343915344;0.0;0.42857142857142855;0.0;0.0;
