In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcCPL.allInstances()->forAll(c|TrgService.allInstances()->exists(s|s.name='unnamed' and s.declarations->forAll(d|SrcSubAction.allInstances()->one(sA|d.name=sA.id))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.11464968152866242;0.0;0.79;0.0;0.0;-0.1152;0.0;0.0;0.0;-0.11613144917081457;-0.10112359550561797;0.0;0.0;0.04142692750287687;0.0;0.6528925619834711;0.0;0.0
SubCall2Return;-0.23509369676320271;0.0;0.42;0.0;0.0;-0.31186440677966104;0.0;0.0;0.0;-0.3408249054303634;-0.5168539325842697;0.0;0.0;0.18775510204081633;0.0;0.26582278481012656;0.0;0.0
Busy2SelectCase;-0.13636363636363635;0.0;0.76;0.0;0.0;-0.13636363636363635;0.0;0.0;0.0;-0.13636363636363635;-0.1348314606741573;0.0;0.0;0.05263157894736842;0.0;0.6129032258064516;0.0;0.0
SubAction2Function;0.9542961608775137;0.9230769230769231;0.99;0.9615384615384616;0.9230769230769231;0.9547325102880658;2.0;0.9230769230769231;0.9607689228305227;0.9552944114708368;11.98876404494382;0.12;0.9779302984653634;0.0;0.9552070068812324;0.9801980198019802;144.0;0.9887640449438201
Redirect2Return;-0.21761658031088082;0.0;0.53;0.0;0.0;-0.25217652356649656;0.0;0.0;0.0;-0.2709733813985673;-0.39325842696629215;0.0;0.0;0.1343140390150304;0.0;0.36054421768707484;0.0;0.0
StringSwitch2SelectStat;-0.20689655172413793;0.0;0.58;0.0;0.0;-0.22813688212927757;0.0;0.0;0.0;-0.24174688920761409;-0.33707865168539325;0.0;0.0;0.11494252873563218;0.0;0.4084507042253521;0.0;0.0
NoAnswer2SelectCase;-0.12966601178781925;0.0;0.77;0.0;0.0;-0.12972972972972974;0.0;0.0;0.0;-0.12982269672237465;-0.12359550561797752;0.0;0.0;0.04897959183673469;0.0;0.6260162601626016;0.0;0.0
CPL2Program;0.29577464788732394;0.2727272727272727;0.68;0.6363636363636364;0.2727272727272727;0.38181818181818183;0.0625;0.2727272727272727;0.5222329678670935;0.4165977904505309;11.640449438202246;0.12;0.5423534884463656;0.0;0.41657196560522813;0.5151515151515151;4.5;0.7333333333333333
Outgoing2Method;-0.08695652173913043;0.0;0.82;0.0;0.0;-0.08888888888888889;0.0;0.0;0.0;-0.09329556203566844;-0.06741573033707865;0.0;0.0;0.02926829268292683;0.0;0.6949152542372882;0.0;0.0
Proxy2Select;-0.17647058823529413;0.0;0.68;0.0;0.0;-0.18072289156626506;0.0;0.0;0.0;-0.1846372364689991;-0.2247191011235955;0.0;0.0;0.08021390374331551;0.0;0.5151515151515151;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.88;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7857142857142857;0.0;0.0
AddressSwitch2SelectStat;-0.15894039735099338;0.0;0.72;0.0;0.0;-0.16;0.0;0.0;0.0;-0.16116459280507606;-0.1797752808988764;0.0;0.0;0.06666666666666667;0.0;0.5625;0.0;0.0
Proxy2Return;-0.0759493670886076;0.0;0.83;0.0;0.0;-0.07838014369693011;0.0;0.0;0.0;-0.08471737420873575;-0.056179775280898875;0.0;0.0;0.024927295388450354;0.0;0.7094017094017094;0.0;0.0
Default2SelectDefault;-0.12244897959183673;0.0;0.78;0.0;0.0;-0.12269938650306748;0.0;0.0;0.0;-0.12309149097933274;-0.11235955056179775;0.0;0.0;0.04524886877828054;0.0;0.639344262295082;0.0;0.0
SwitchedAddress2SelectCase;-0.11464968152866242;0.0;0.79;0.0;0.0;-0.1152;0.0;0.0;0.0;-0.11613144917081457;-0.10112359550561797;0.0;0.0;0.04142692750287687;0.0;0.6528925619834711;0.0;0.0
NotPresent2ErrorResponse;-0.21761658031088082;0.0;0.53;0.0;0.0;-0.25217652356649656;0.0;0.0;0.0;-0.2709733813985673;-0.39325842696629215;0.0;0.0;0.1343140390150304;0.0;0.36054421768707484;0.0;0.0
Location2URIConstant;0.0;0.0;0.88;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7857142857142857;0.0;0.0
Otherwise2SelectDefault;-0.1964735516372796;0.0;0.62;0.0;0.0;-0.20939597315436242;0.0;0.0;0.0;-0.2188870665698362;-0.29213483146067415;0.0;0.0;0.10064516129032258;0.0;0.4492753623188406;0.0;0.0
Incoming2Method;-0.1425959780621572;0.0;0.75;0.0;0.0;-0.14266117969821673;0.0;0.0;0.0;-0.14274514194391816;-0.14606741573033707;0.0;0.0;0.05621621621621622;0.0;0.6;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.9210526315789473;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842

OCL20;SrcSubAction.allInstances()->forAll(sa | TrgLocalFunctionDeclaration.allInstances()->exists(lfd | lfd.name = sa.id))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.1190233977619532;0.0;0.78;0.0;0.0;-0.12;0.0;0.0;0.0;-0.12156613477096617;-0.10227272727272728;0.0;0.0;0.04285714285714286;0.0;0.639344262295082;0.0;0.0
