In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL22;TrgLocalFunctionDeclaration.allInstances()->collect(lfd|lfd.statements)->flatten()->size() <= SrcSubAction.allInstances()->collect(sa|sa.contents)->flatten()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.09254498714652956;0.0;0.83;0.0;0.0;-0.09260450160771704;0.0;0.0;0.0;-0.09273670016027795;-0.0967741935483871;0.0;0.0;0.03469879518072289;0.0;0.7094017094017094;0.0;0.0
SubCall2Return;0.0032546786004882017;0.08163265306122448;0.51;0.29081632653061223;0.08163265306122447;0.004945904173106646;0.014388489208633094;8.887842098597276E-6;0.20203050891044214;0.005898858135823814;3.5161290322580645;0.04;0.26549185457432367;0.07818109293976865;0.138612945465596;0.3422818791946309;0.32653061224489793;0.5054945054945055
Busy2SelectCase;-0.004228329809725159;0.07692307692307693;0.81;0.10096153846153846;0.07692307692307687;-0.004284949116229245;0.0106951871657754;1.1904478464798456E-6;0.09805806756909202;-0.0043841941849607335;0.8709677419354839;0.01;0.34356614465620006;0.043603258265452804;0.08767427417313965;0.680672268907563;0.05263157894736842;0.4893617021276595
SubAction2Function;0.7357293868921776;0.6153846153846154;0.95;0.8076923076923077;0.6153846153846154;0.7455811462238886;0.4;0.6153846153846154;0.7844645405527362;0.7628497881831676;7.946236559139785;0.08;0.8730378376039294;0.0;0.762766185306315;0.9047619047619048;12.8;0.9484536082474226
Redirect2Return;-0.0549558390578999;0.05128205128205128;0.57;0.15064102564102563;0.05128205128205132;-0.07191011235955057;0.007547169811320755;1.8017287587440149E-6;0.11322770341445956;-0.08464121608674431;1.6021505376344085;0.02;0.22505890585543872;0.08644255633542668;0.08312348394879639;0.3986013986013986;0.09302325581395349;0.3833333333333333
StringSwitch2SelectStat;-0.03583426651735722;0.06060606060606061;0.63;0.1553030303030303;0.06060606060606055;-0.043434000678656264;0.008968609865470852;2.1504474543540646E-6;0.12309149097933272;-0.05017029971910849;1.6666666666666667;0.02;0.2606707345503421;0.07514231499051234;0.0956296373277275;0.45985401459854014;0.10810810810810811;0.425925925925926
NoAnswer2SelectCase;0.004424778761061947;0.08333333333333333;0.82;0.10416666666666666;0.08333333333333337;0.004464285714285714;0.011627906976744186;1.29866925361582E-6;0.10206207261596577;0.004537212554003923;0.8817204301075269;0.01;0.35714285714285715;0.04133858267716536;0.09186813358735381;0.6949152542372882;0.05555555555555555;0.5111111111111111
CPL2Program;0.199288256227758;0.18181818181818182;0.64;0.5909090909090909;0.18181818181818177;0.28;0.05555555555555555;0.18181818181818182;0.42640143271122083;0.33267391956523024;7.612903225806452;0.08;0.4475647698834692;0.0;0.33264921784220797;0.47058823529411764;1.7777777777777777;0.71875
Outgoing2Method;0.03598971722365039;0.1111111111111111;0.85;0.11805555555555555;0.11111111111111116;0.0360128617363344;0.015748031496062992;1.7856632667638067E-6;0.11785113019775793;0.036064272284552536;0.9139784946236559;0.01;0.4039376212132279;0.033962264150943396;0.1081788833082895;0.7391304347826086;0.06666666666666667;0.5897435897435898
Proxy2Select;-0.05740181268882175;0.045454545454545456;0.72;0.08522727272727273;0.045454545454545414;-0.06199021207177814;0.006211180124223602;6.802586887741671E-7;0.07537783614444091;-0.06762636486976908;0.7741935483870968;0.01;0.2518599917518676;0.06179775280898876;0.06317164077514155;0.5625;0.03571428571428571;0.3538461538461538
