In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL25;SrcProxy.allInstances()->select(p|not (p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined()))->size() = TrgVariable.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.08284023668639054;0.3111111111111111;0.38;0.6555555555555556;1.0;0.19204389574759945;0.03225806451612903;0.3111111111111111;0.5577733510227171;0.20786985482077452;28.0;0.28;0.41911233157317823;0.5833333333333334;0.20785442386759126;0.2345679012345679;12.64516129032258;1.0
SubCall2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Busy2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubAction2Function;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Redirect2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
StringSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NoAnswer2SelectCase;0.08284023668639054;0.3111111111111111;0.38;0.6555555555555556;1.0;0.19204389574759945;0.03225806451612903;0.3111111111111111;0.5577733510227171;0.20786985482077452;28.0;0.28;0.41911233157317823;0.5833333333333334;0.20785442386759126;0.2345679012345679;12.64516129032258;1.0
CPL2Program;0.08256880733944955;0.6;0.6;0.7655172413793103;0.9310344827586207;0.1079136690647482;0.04411764705882353;0.0020178869485065146;0.7474093186836598;0.12156613477096617;53.63636363636363;0.54;0.6428571428571429;0.87;0.2188042652606285;0.42857142857142855;72.9;0.6
Outgoing2Method;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Proxy2Select;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;90.0;0.9;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
