In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL32;SrcFailure.allInstances()->size()+SrcNotPresent.allInstances()->size()+SrcBusy.allInstances()->size()+SrcNoAnswer.allInstances()->size()+SrcRedirect.allInstances()->size()+SrcRedirection.allInstances()->size()=TrgErrorResponse.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.12060301507537688;0.36363636363636365;0.44;0.6818181818181819;1.0;0.2376237623762376;0.047619047619047616;0.36363636363636365;0.6030226891555273;0.2533201985524494;24.0;0.32;0.4795341582563674;0.5714285714285714;0.2532904931829936;0.28205128205128205;13.714285714285714;1.0
SubCall2Return;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
Busy2SelectCase;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
SubAction2Function;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
Redirect2Return;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
StringSwitch2SelectStat;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
NoAnswer2SelectCase;0.12060301507537688;0.36363636363636365;0.44;0.6818181818181819;1.0;0.2376237623762376;0.047619047619047616;0.36363636363636365;0.6030226891555273;0.2533201985524494;24.0;0.32;0.4795341582563674;0.5714285714285714;0.2532904931829936;0.28205128205128205;13.714285714285714;1.0
CPL2Program;0.09850483729111698;0.3939393939393939;0.4533333333333333;0.6784511784511784;0.962962962962963;0.17777777777777778;0.04537521815008726;0.0016826719635985284;0.6159131805828746;0.19147565263451757;25.9;0.3466666666666667;0.4964518591861935;0.6398104265402843;0.2370380776542729;0.29310344827586204;16.48780487804878;0.7800000000000001
Outgoing2Method;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
Proxy2Select;0.12060301507537688;0.36363636363636365;0.44;0.6818181818181819;1.0;0.2376237623762376;0.047619047619047616;0.36363636363636365;0.6030226891555273;0.2533201985524494;24.0;0.32;0.4795341582563674;0.5714285714285714;0.2532904931829936;0.28205128205128205;13.714285714285714;1.0
Failure2ErrorResponse;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
Proxy2Return;0.0;0.0;0.12;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06382978723404255;0.0;0.0
