In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL27;SrcBusy.allInstances()->size() = TrgResponseConstant.allInstances()->collect(rc | rc.response)->flatten()->select(r | TrgClientErrorResponse.allInstances()->select(cer|cer.errorKind=ClientErrorKind::BUSY_HERE)->includes(r))->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.3205944798301486;0.6455696202531646;0.68;0.7864211737629458;0.9272727272727272;0.3652636671504596;0.05495689655172414;0.002313577345621415;0.7737047902246508;0.3725942573344797;50.81818181818182;0.51;0.715416080922861;0.6290849673202614;0.4278454037548971;0.5151515151515151;81.28125;0.772170151405912
SubCall2Return;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
Busy2SelectCase;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;79.0;0.79;1.0;0.0;0.9999397263576638;1.0;1.0;1.0
SubAction2Function;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
Redirect2Return;-0.06420716566158212;0.3670886075949367;0.4;0.5553391755923401;0.7435897435897436;-0.08964834076275384;0.021167883211678833;1.6811321995585876E-4;0.5224589204868025;-0.09110834566473984;28.545454545454547;0.29;0.43852068744665945;0.7330827067669173;0.16056408505102648;0.25;14.016666666666667;0.4353109363831308
StringSwitch2SelectStat;0.1319964082609997;0.26582278481012656;0.42;0.6329113924050633;1.0;0.26582278481012656;0.034482758620689655;0.26582278481012656;0.5155800469472481;0.26582278481012656;21.0;0.21;0.42;0.3333333333333333;0.2658067627026701;0.26582278481012656;7.603448275862069;1.0
NoAnswer2SelectCase;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
CPL2Program;0.09938887101962046;0.3291139240506329;0.44;0.612832824094282;0.896551724137931;0.16621839698762775;0.029312288613303268;4.245879110526012E-4;0.5432013034275552;0.16718877400377136;25.863636363636363;0.26;0.45963318870778463;0.4601796407185629;0.2532042490063709;0.28205128205128205;12.071428571428571;0.6973180076628352
Outgoing2Method;-0.020147921448610048;0.0;0.2;0.0;0.0;-0.08987485779294653;0.0;0.0;0.0;-0.1949334194001583;-0.045454545454545456;0.0;0.0;0.024842767295597486;0.0;0.1111111111111111;0.0;0.0
Proxy2Select;0.8703823720025924;0.9518072289156626;0.96;0.9759036144578312;0.9518072289156626;0.8749185667752443;0.5;0.9518072289156626;0.9756060828611426;0.8777873397834511;78.81818181818181;0.79;0.9665683118670158;0.0;0.8777299711865445;0.9230769230769231;1560.25;0.84
Failure2ErrorResponse;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
Proxy2Return;-0.2631871182676291;0.0;0.09;0.0;0.0;-0.6983425414364641;0.0;0.0;0.0;-0.7162311170195086;-0.5454545454545454;0.0;0.0;0.6196078431372549;0.0;0.04712041884816754;0.0;0.0
Default2SelectDefault;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
NotPresent2ErrorResponse;-0.040596094552929084;0.0;0.19;0.0;0.0;-0.17035040431266846;0.0;0.0;0.0;-0.27708043339341903;-0.09090909090909091;0.0;0.0;0.05197368421052632;0.0;0.10497237569060773;0.0;0.0
Location2URIConstant;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
Otherwise2SelectDefault;-0.06135128138752265;0.0;0.18;0.0;0.0;-0.24307692307692308;0.0;0.0;0.0;-0.34109759593966266;-0.13636363636363635;0.0;0.0;0.08178053830227744;0.0;0.0989010989010989;0.0;0.0
Incoming2Method;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.47368421052631576;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5789473684210527;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.10526315789473684
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5526315789473684;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.07894736842105263


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL27;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.47368421052631576;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL27;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5789473684210527;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.10526315789473684

