;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL27;SrcBusy.allInstances()->size() = TrgResponseConstant.allInstances()->collect(rc | rc.response)->flatten()->select(r | TrgClientErrorResponse.allInstances()->select(cer|cer.errorKind=ClientErrorKind::BUSY_HERE)->includes(r))->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;;;;;;;;X;X;X;;;;;;51.0;28.0;4.0;17.0;55.0;45.0;21.0;79.0;0.3205944798301486;0.6455696202531646;0.68;0.7864211737629458;0.9272727272727272;0.3652636671504596;0.05495689655172414;0.002313577345621415;0.7737047902246508;0.3725942573344797;50.81818181818182;0.51;0.715416080922861;0.6290849673202614;0.4278454037548971;0.5151515151515151;81.28125;0.772170151405912;
SubCall2Return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;79.0;0.0;21.0;0.0;100.0;21.0;79.0;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0;
Busy2SelectCase;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;79.0;0.0;0.0;21.0;79.0;21.0;21.0;79.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;79.0;0.79;1.0;0.0;0.9999397263576638;1.0;1.0;1.0;
SubAction2Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;79.0;0.0;21.0;0.0;100.0;21.0;79.0;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0;
Redirect2Return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;X;;X;;;X;X;X;X;X;X;X;X;29.0;50.0;10.0;11.0;39.0;61.0;21.0;79.0;-0.06420716566158212;0.3670886075949367;0.4;0.5553391755923401;0.7435897435897436;-0.08964834076275384;0.021167883211678833;1.6811321995585876E-4;0.5224589204868025;-0.09110834566473984;28.545454545454547;0.29;0.43852068744665945;0.7330827067669173;0.16056408505102648;0.25;14.016666666666667;0.4353109363831308;
StringSwitch2SelectStat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;21.0;58.0;0.0;21.0;21.0;79.0;21.0;79.0;0.1319964082609997;0.26582278481012656;0.42;0.6329113924050633;1.0;0.26582278481012656;0.034482758620689655;0.26582278481012656;0.5155800469472481;0.26582278481012656;21.0;0.21;0.42;0.3333333333333333;0.2658067627026701;0.26582278481012656;7.603448275862069;1.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;79.0;0.0;21.0;0.0;100.0;21.0;79.0;0.0;0.0;0.21;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11731843575418995;0.0;0.0;
CPL2Program;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;X;;X;;;;;;;;26.0;53.0;3.0;18.0;29.0;71.0;21.0;79.0;0.09938887101962046;0.3291139240506329;0.44;0.612832824094282;0.896551724137931;0.16621839698762775;0.029312288613303268;4.245879110526012E-4;0.5432013034275552;0.16718877400377136;25.863636363636363;0.26;0.45963318870778463;0.4601796407185629;0.2532042490063709;0.28205128205128205;12.071428571428571;0.6973180076628352;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;0.0;79.0;1.0;20.0;1.0;99.0;21.0;79.0;-0.020147921448610048;0.0;0.2;0.0;0.0;-0.08987485779294653;0.0;0.0;0.0;-0.1949334194001583;-0.045454545454545456;0.0;0.0;0.024842767295597486;0.0;0.1111111111111111;0.0;0.0;
Proxy2Select;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;;;;;;;;X;X;X;;;;;;79.0;0.0;4.0;17.0;83.0;17.0;21.0;79.0;0.8703823720025924;0.9518072289156626;0.96;0.9759036144578312;0.9518072289156626;0.8749185667752443;0.5;0.9518072289156626;0.9756060828611426;0.8777873397834511;78.81818181818181;0.79;0.9665683118670158;0.0;0.8777299711865445;0.9230769230769231;1560.25;0.84;
