In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL2;SrcCPL.allInstances()->size() = TrgService.allInstances()->select(s|s.name='unnamed')->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407
SubCall2Return;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
Busy2SelectCase;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
SubAction2Function;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
Redirect2Return;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407
StringSwitch2SelectStat;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
CPL2Program;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;58.0;0.90625;1.0;0.0;0.9997127262280953;1.0;1.0;1.0
Outgoing2Method;0.11688311688311688;0.41379310344827586;0.46875;0.7068965517241379;1.0;0.22018348623853212;0.058823529411764705;0.41379310344827586;0.6432675209026768;0.24913643956121992;24.0;0.375;0.5142857142857142;0.6666666666666666;0.2490933435690427;0.30612244897959184;16.941176470588236;1.0
Proxy2Select;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407
Failure2ErrorResponse;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
Proxy2Return;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407
Default2SelectDefault;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
NotPresent2ErrorResponse;0.13220338983050847;0.4482758620689655;0.5;0.7241379310344828;1.0;0.23353293413173654;0.0625;0.4482758620689655;0.6695340634119862;0.26604585934392433;26.0;0.40625;0.5460348727860029;0.6842105263157895;0.2660004950296384;0.3333333333333333;21.125;1.0
Location2URIConstant;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
Otherwise2SelectDefault;0.13220338983050847;0.4482758620689655;0.5;0.7241379310344828;1.0;0.23353293413173654;0.0625;0.4482758620689655;0.6695340634119862;0.26604585934392433;26.0;0.40625;0.5460348727860029;0.6842105263157895;0.2660004950296384;0.3333333333333333;21.125;1.0
Incoming2Method;0.0;0.0;0.09375;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04918032786885246;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.631578947368421;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.42105263157894735;0.05263157894736842;0.05263157894736842;0.42105263157894735;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.7894736842105263;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.42105263157894735;0.21052631578947367
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.7105263157894737;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.7105263157894737;0.05263157894736842;0.05263157894736842;0.42105263157894735;0.13157894736842105

OCL3;SrcCPL.allInstances()->forAll(c|TrgService.allInstances()->exists(s|s.name='unnamed' and s.declarations->forAll(d|SrcSubAction.allInstances()->one(sA|d.name=sA.id))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0998185117967332;0.4827586206896552;0.515625;0.7241379310344828;0.9655172413793104;0.16140865737344093;0.0603448275862069;0.0025990213888852057;0.682723788731839;0.18508449659368734;27.857142857142858;0.4375;0.5623456888812259;0.759825327510917;0.23552245788691614;0.3473684210526316;25.29032258064516;0.743362831858407
