In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL14;SrcProxy.allInstances()->select(p|p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined())->forAll(p|TrgVariable.allInstances()->forAll(v|TrgSelectStat.allInstances()->one(ss|ss.matchedExp=v and TrgCompoundStat.allInstances()->one(cs|cs.statements->includes(ss)))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.8529411764705882;0.9666666666666667;0.97;0.9833333333333334;0.9666666666666667;0.8567208271787297;0.6666666666666666;0.9666666666666667;0.983192080250175;0.8623164985025763;86.78571428571429;0.87;0.9748945072230312;0.0;0.8622310368877912;0.941747572815534;2523.0;0.8125
SubCall2Return;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
Busy2SelectCase;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
SubAction2Function;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
Redirect2Return;0.06822488945041061;0.3448275862068966;0.41;0.6411637931034483;0.9375;0.13063199274266707;0.03003003003003003;7.876289742445326E-4;0.5685735326841775;0.13768702085628698;29.857142857142858;0.3;0.4494517488276264;0.6108506363027462;0.2103417627292015;0.2578616352201258;15.254237288135593;0.6914893617021277
StringSwitch2SelectStat;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
CPL2Program;0.08545298656759075;0.26436781609195403;0.36;0.632183908045977;1.0;0.20606478290833907;0.03125;0.26436781609195403;0.5141671091113803;0.2112664843086761;23.0;0.23;0.3863361009368084;0.46938775510204084;0.21125155776221685;0.21951219512195122;8.265625;1.0
Outgoing2Method;0.08545298656759075;0.26436781609195403;0.36;0.632183908045977;1.0;0.20606478290833907;0.03125;0.26436781609195403;0.5141671091113803;0.2112664843086761;23.0;0.23;0.3863361009368084;0.46938775510204084;0.21125155776221685;0.21951219512195122;8.265625;1.0
Proxy2Select;0.8529411764705882;0.9666666666666667;0.97;0.9833333333333334;0.9666666666666667;0.8567208271787297;0.6666666666666666;0.9666666666666667;0.983192080250175;0.8623164985025763;86.78571428571429;0.87;0.9748945072230312;0.0;0.8622310368877912;0.941747572815534;2523.0;0.8125
Failure2ErrorResponse;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
Proxy2Return;0.5986238532110092;0.925531914893617;0.93;0.9627659574468085;0.925531914893617;0.6159292035398231;0.2857142857142857;0.925531914893617;0.962045692726503;0.6535813462031687;86.5;0.87;0.9400927634379531;0.0;0.6534995233874141;0.8691588785046729;1081.2857142857142;0.65
Default2SelectDefault;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
NotPresent2ErrorResponse;0.08545298656759075;0.26436781609195403;0.36;0.632183908045977;1.0;0.20606478290833907;0.03125;0.26436781609195403;0.5141671091113803;0.2112664843086761;23.0;0.23;0.3863361009368084;0.46938775510204084;0.21125155776221685;0.21951219512195122;8.265625;1.0
Location2URIConstant;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
Otherwise2SelectDefault;0.08545298656759075;0.26436781609195403;0.36;0.632183908045977;1.0;0.20606478290833907;0.03125;0.26436781609195403;0.5141671091113803;0.2112664843086761;23.0;0.23;0.3863361009368084;0.46938775510204084;0.21125155776221685;0.21951219512195122;8.265625;1.0
Incoming2Method;0.0;0.0;0.13;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06951871657754011;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3157894736842105;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.2631578947368421
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8947368421052632;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;1.0;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.3157894736842105
EXAM-AVG;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.868421052631579;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.10526315789473684;0.07894736842105263;0.6578947368421053;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.2894736842105263

OCL34;TrgIfStat.allInstances()->size()=0
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;90.0;0.9;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
SubCall2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Busy2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubAction2Function;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Redirect2Return;0.06832298136645963;0.34444444444444444;0.4;0.6565972222222223;0.96875;0.14304291287386217;0.03134479271991911;0.0016210626816526405;0.5776508941874456;0.1572070363806331;30.90909090909091;0.31;0.4429139696712577;0.6510344827586206;0.1993528599225745;0.25;16.016666666666666;0.775
StringSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
CPL2Program;0.06424581005586592;0.25555555555555554;0.33;0.6277777777777778;1.0;0.1722201422688132;0.029850746268656716;0.25555555555555554;0.5055250296034367;0.18217857500000703;23.0;0.23;0.3629104586407761;0.5348837209302325;0.18216414612846019;0.19760479041916168;7.895522388059701;1.0
Outgoing2Method;0.06424581005586592;0.25555555555555554;0.33;0.6277777777777778;1.0;0.1722201422688132;0.029850746268656716;0.25555555555555554;0.5055250296034367;0.18217857500000703;23.0;0.23;0.3629104586407761;0.5348837209302325;0.18216414612846019;0.19760479041916168;7.895522388059701;1.0
Proxy2Select;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;90.0;0.9;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
Failure2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Proxy2Return;0.32432432432432434;0.925531914893617;0.9;0.9460992907801418;0.925531914893617;0.32786885245901637;0.19078947368421054;0.03465040583412303;0.9458757059274913;0.3368607684266076;86.36363636363636;0.87;0.9116260323801962;0.94;0.36628467444022955;0.8181818181818182;756.9;0.5800000000000001
Default2SelectDefault;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NotPresent2ErrorResponse;0.06424581005586592;0.25555555555555554;0.33;0.6277777777777778;1.0;0.1722201422688132;0.029850746268656716;0.25555555555555554;0.5055250296034367;0.18217857500000703;23.0;0.23;0.3629104586407761;0.5348837209302325;0.18216414612846019;0.19760479041916168;7.895522388059701;1.0
