In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL7;SrcSwitchedAddress.allInstances()->select(sa|not sa.is.oclIsUndefined())->forAll(sa | TrgStringConstant.allInstances()->one(st | st.value=sa.is))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
SubCall2Return;0.06896551724137931;0.25;0.3333333333333333;0.625;1.0;0.18181818181818182;0.03333333333333333;0.25;0.5;0.1889822365046136;20.0;0.2222222222222222;0.3626658286167511;0.5;0.18896438104893845;0.2;6.666666666666667;1.0
Busy2SelectCase;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
SubAction2Function;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
Redirect2Return;0.06896551724137931;0.25;0.3333333333333333;0.625;1.0;0.18181818181818182;0.03333333333333333;0.25;0.5;0.1889822365046136;20.0;0.2222222222222222;0.3626658286167511;0.5;0.18896438104893845;0.2;6.666666666666667;1.0
StringSwitch2SelectStat;0.06896551724137931;0.25;0.3333333333333333;0.625;1.0;0.18181818181818182;0.03333333333333333;0.25;0.5;0.1889822365046136;20.0;0.2222222222222222;0.3626658286167511;0.5;0.18896438104893845;0.2;6.666666666666667;1.0
NoAnswer2SelectCase;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
CPL2Program;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
Outgoing2Method;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
Proxy2Select;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
AddressSwitch2SelectStat;0.5423728813559322;0.9302325581395349;0.9333333333333333;0.9651162790697674;0.9302325581395349;0.5594405594405595;0.3333333333333333;0.9302325581395349;0.9644856443408243;0.6099942813304187;79.45454545454545;0.8888888888888888;0.9422457974731473;0.0;0.6098780244219166;0.875;1066.6666666666667;0.625
Proxy2Return;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
Default2SelectDefault;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
SwitchedAddress2SelectCase;0.8767123287671232;0.975609756097561;0.9777777777777777;0.9878048780487805;0.975609756097561;0.8791208791208791;1.0;0.975609756097561;0.9877295966495896;0.8834522085987723;79.81818181818181;0.8888888888888888;0.9813603620254264;0.0;0.8833302742110107;0.9565217391304348;3200.0;0.8333333333333334
NotPresent2ErrorResponse;0.06896551724137931;0.25;0.3333333333333333;0.625;1.0;0.18181818181818182;0.03333333333333333;0.25;0.5;0.1889822365046136;20.0;0.2222222222222222;0.3626658286167511;0.5;0.18896438104893845;0.2;6.666666666666667;1.0
Location2URIConstant;0.0;0.0;0.1111111111111111;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0
Otherwise2SelectDefault;0.21359223300970873;0.55;0.6;0.775;1.0;0.311614730878187;0.05555555555555555;0.55;0.7416198487095663;0.3457820374040623;44.0;0.4888888888888889;0.6434802635373338;0.6875;0.34575486562636265;0.42857142857142855;53.77777777777778;1.0
